t,400g_1w_free,actual_vid_time,400g_1w_free,actual_vid_time,400g_3w_free,actual_vid_time,400g_3w_free,actual_vid_time
0,20.41,12,20.51,5,21.1,1,21.2,6
1,20.4,,20.5,,21.04,,21.1,
2,20.4,,20.49,,20.95,,21,
3,20.35,,20.45,,20.8,,20.9,
4,20.35,,20.42,,20.75,5,20.83,
5,20.33,17,20.4,10,20.65,,20.79,11
6,20.33,,20.4,,20.55,,20.65,
7,20.32,,20.4,,20.45,,20.6,
8,20.32,,20.38,,20.4,9,20.5,
9,20.3,21,20.36,,20.3,,20.4,
10,20.3,,20.32,15,20.3,,20.35,
11,20.33,,20.34,,20.35,,20.4,17
12,20.35,,20.35,,20.4,,20.45,
13,20.35,25,20.35,,20.45,14,20.5,
14,20.37,,20.38,,20.5,,20.55,
15,20.37,,20.4,20,20.53,,20.6,
16,20.4,,20.4,,20.57,,20.65,
17,20.4,,20.41,,20.64,,20.7,23
18,20.41,30,20.44,,20.7,19,20.74,
19,20.41,,20.44,,20.74,,20.8,
20,20.4,,20.44,25,20.8,21,20.8,26
22,20.35,34,20.4,27,20.6,23,20.65,28
24,20.32,,20.36,,20.45,,20.5,
26,20.31,,20.34,,20.3,,20.4,
28,20.3,40,20.32,,20.15,,20.3,
30,20.31,,20.3,35,20.1,31,20.12,
32,20.32,,20.3,,20.25,,20.2,38
34,20.35,,20.38,,20.4,,20.4,
36,20.35,48,20.4,,20.5,,20.5,
38,20.4,,20.4,,20.6,,20.6,
40,20.4,,20.43,45,20.65,41,20.7,46
42,20.37,,20.43,,20.5,,20.55,
44,20.35,,20.4,,20.35,,20.45,
46,20.32,,20.35,,20.2,,20.35,
48,20.3,60,20.32,,20.05,,20.25,
50,20.31,,20.3,55,20,,20.15,
52,20.34,,20.32,,20.2,,20.25,
54,20.35,,20.35,,20.4,,20.4,
56,20.37,,20.4,,20.55,57,20.5,62
58,20.4,,20.43,,20.6,,20.6,
60,20.4,72,20.45,65,20.65,,20.7,
