t,400g_1w_free,actual_vid_time,400g_1w_free,actual_vid_time
0,20.41,12,20.51,5
1,20.4,,20.5,
2,20.4,,20.49,
3,20.35,,20.45,
4,20.35,,20.42,
5,20.33,17,20.4,10
6,20.33,,20.4,
7,20.32,,20.4,
8,20.32,,20.38,
9,20.3,21,20.36,
10,20.3,,20.32,15
11,20.33,,20.34,
12,20.35,,20.35,
13,20.35,25,20.35,
14,20.37,,20.38,
15,20.37,,20.4,20
16,20.4,,20.4,
17,20.4,,20.41,
18,20.41,30,20.44,
19,20.41,,20.44,
20,20.4,,20.44,25
22,20.35,34,20.4,27
24,20.32,,20.36,
26,20.31,,20.34,
28,20.3,40,20.32,
30,20.31,,20.3,35
32,20.32,,20.3,
34,20.35,,20.38,
36,20.35,48,20.4,
38,20.4,,20.4,
40,20.4,,20.43,45
42,20.37,,20.43,
44,20.35,,20.4,
46,20.32,,20.35,
48,20.3,60,20.32,
50,20.31,,20.3,55
52,20.34,,20.32,
54,20.35,,20.35,
56,20.37,,20.4,
58,20.4,,20.43,
60,20.4,72,20.45,65
