Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,1
-0.0089,1
0.0000,1
0.0000,1
0.0089,1
0.0178,1
0.0445,1
0.0801,1
0.0979,1
0.3292,1
0.5872,1
0.6584,1
0.6940,1
0.7118,1
0.7207,1
0.7385,1
0.7385,1
0.8541,1
1.2189,1
1.5748,1
1.6460,1
1.7171,1
2.0552,1
2.1264,1
2.1353,1
2.1442,1
2.1620,1
2.2332,1
2.6780,1
2.7047,1
2.7403,1
2.7581,1
2.7581,1
2.7759,1
2.8026,1
2.8649,1
3.2919,1
3.3275,1
3.3453,1
3.4254,1
3.8435,1
3.8613,1
3.8791,1
3.9058,1
3.9147,1
3.9236,1
3.9236,1
3.9236,1
3.9325,1
3.9770,1
3.9770,1
4.3151,1
4.4485,1
4.4752,1
4.5375,1
4.8578,1
4.9290,1
4.9290,1
4.9290,1
4.9290,1
5.0891,1
5.2315,1
5.3560,1
5.3472,1
5.3472,1
5.3472,1
5.3560,1
5.3560,1
5.3560,1
5.4628,1
5.7119,1
5.7564,1
5.7564,1
5.7564,1
5.7564,1
5.7653,1
5.8098,1
5.8810,1
6.2369,1
6.2013,1
6.2013,1
6.2013,1
6.2369,1
6.3080,1
6.3614,1
6.3792,1
6.4059,1
6.4415,1
6.4504,1
6.4593,1
6.5127,1
6.5216,1
6.5572,1
7.0643,1
7.0198,1
7.0465,1
7.3312,1
7.6159,1
7.8116,1
7.7316,1
7.7316,1
7.7316,1
7.8472,1
8.0697,1
8.3455,1
8.4433,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3633,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3544,1
8.3633,1
8.3722,1
8.5145,1
8.6658,1
8.7903,1
8.7992,1
9.0128,1
9.3153,1
9.4131,0
9.3508,0
9.3508,0
9.4131,0
9.6089,0
9.7957,0
9.9914,0
9.9025,0
4.9379,0
4.9023,0
4.8756,0
4.8578,0
4.7421,0
4.7333,0
4.6977,0
4.6621,0
4.6354,0
4.6176,0
4.6087,0
3.7279,0
3.1140,0
3.0606,0
2.4111,0
2.3933,0
2.3933,0
2.3933,0
2.3844,0
2.3844,0
2.3755,0
2.3310,0
1.9307,0
1.8773,0
1.8684,0
1.8684,0
1.8595,0
1.8506,0
1.8061,0
1.4680,0
1.4502,0
1.4413,0
1.4324,0
1.3524,0
0.5071,0
0.5071,0
0.5071,0
0.5071,0
0.5071,0
0.5071,0
0.5071,0
0.4982,0
-0.0534,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
-0.1868,0
