Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0089,1
0.0356,1
0.0534,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
3.3631,1
7.1800,1
7.7049,1
8.3989,1
8.9594,1
9.4843,1
10.2583,1
11.3349,1
12.4648,1
13.3545,1
14.1375,1
14.8670,1
15.4364,1
16.0770,1
16.8333,1
17.4027,1
18.0077,1
18.4615,1
18.9419,1
19.6270,1
20.6235,1
21.4954,1
21.8957,1
22.3495,1
22.7321,1
22.8744,1
22.9189,1
22.9278,1
22.9189,1
24.6449,1
25.9528,1
25.9528,1
25.9528,1
25.9528,1
25.9528,1
25.9528,1
25.9528,1
25.9617,1
26.6468,1
29.8764,1
32.6701,1
32.6701,1
32.6701,1
32.6701,1
32.6701,1
32.6701,1
33.1506,1
34.8855,1
36.6204,1
37.1898,1
37.2076,1
37.2076,1
37.2076,1
37.2076,1
37.2076,1
37.2076,1
37.3055,1
38.6579,1
40.9088,1
42.1010,1
43.1242,1
43.5957,1
43.5868,1
43.5868,1
43.5868,1
43.5957,1
43.5957,1
43.6313,1
45.5175,1
47.3503,1
49.4144,1
49.4144,1
49.4144,1
49.4144,1
49.4144,1
49.4678,1
52.4305,1
55.1620,1
55.7936,1
55.7936,1
55.3577,1
55.2420,1
55.2420,1
56.1851,1
58.7475,1
60.3756,1
62.0661,1
63.8188,1
63.8188,1
63.8188,1
63.8188,1
63.0804,1
63.0804,1
63.0804,1
60.4201,1
62.6622,1
62.6622,1
62.6889,1
62.6889,1
59.9575,1
64.5128,1
64.5128,1
64.5128,1
66.3456,1
66.3901,1
70.7675,1
72.2355,1
72.2355,1
72.2444,1
72.2533,1
72.2711,1
72.2800,1
72.2800,1
72.2889,1
72.2977,1
72.2977,1
72.3066,1
72.3155,1
72.3155,1
72.3244,1
72.3333,1
72.3422,1
72.3422,1
72.3511,1
72.3511,1
72.3511,1
72.3511,1
72.3333,1
72.3066,1
72.2889,1
72.2533,1
72.1999,1
71.6127,1
68.4097,1
66.7905,1
64.4416,1
61.8704,1
58.8276,1
55.8648,0
53.3825,0
50.9803,0
48.5336,0
45.5620,0
42.3235,0
39.7344,0
37.7326,0
35.8820,0
34.2538,0
32.7235,0
31.2021,0
29.5739,0
27.8479,0
25.8016,0
24.0844,0
22.4474,0
21.0238,0
19.8227,0
18.3369,0
17.3671,0
16.5308,0
15.6678,0
14.9026,0
14.0574,0
13.2389,0
12.5004,0
11.8242,0
11.0947,0
10.4986,0
9.9292,0
9.3508,0
8.8437,0
8.3811,0
7.9629,0
7.4825,0
7.0554,0
6.6817,0
6.3792,0
6.1212,0
5.8187,0
5.5518,0
5.3916,0
5.3116,0
-2.5624,0
1.8773,0
1.8773,0
1.8773,0
1.8684,0
1.8684,0
1.8684,0
1.8595,0
1.8595,0
1.8595,0
1.8595,0
1.8595,0
1.8506,0
1.8506,0
1.8506,0
1.8506,0
1.8506,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8417,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
1.8328,0
