Force (g),Input Signal
-0.0115,0
-0.0150,0
-0.0179,0
-0.0169,0
-0.0129,0
-0.0250,0
-0.0216,0
-0.0219,0
-0.0216,0
-0.0205,0
-0.0199,0
-0.0241,0
-0.0225,0
-0.0251,0
-0.0216,0
-0.0290,0
-0.0215,0
-0.0257,0
-0.0259,0
-0.0280,0
-0.0267,0
-0.0279,0
-0.0266,0
-0.0269,0
-0.0277,0
-0.0287,0
-0.0273,0
-0.0282,0
-0.0287,0
-0.0279,0
-0.0280,0
-0.0230,0
-0.0262,0
-0.0236,0
-0.0239,0
-0.0219,0
-0.0229,0
-0.0226,0
-0.0284,0
-0.0257,0
-0.0257,0
-0.0255,0
-0.0261,0
-0.0244,0
-0.0290,0
-0.0296,0
-0.0312,0
-0.0293,0
-0.0281,0
-0.0240,0
-0.0272,0
-0.0264,0
-0.0275,0
-0.0245,0
-0.0258,0
-0.0243,0
-0.0254,0
-0.0243,0
-0.0284,0
-0.0255,0
-0.0243,0
-0.0335,0
-0.0257,0
-0.0270,0
-0.0225,0
-0.0290,0
-0.0294,0
-0.0305,0
-0.0281,0
-0.0241,0
-0.0280,0
-0.0275,0
-0.0245,0
-0.0307,0
-0.0281,0
-0.0241,0
-0.0237,0
-0.0193,0
-0.0253,0
-0.0184,0
-0.0217,0
-0.0214,0
-0.0214,0
-0.0216,0
-0.0198,0
-0.0199,0
-0.0271,0
-0.0222,0
-0.0216,0
-0.0235,0
-0.0221,0
-0.0230,0
-0.0247,0
-0.0254,0
-0.0233,0
-0.0201,0
-0.0285,0
-0.0243,0
-0.0289,0
-0.0271,0
-0.0286,0
-0.0274,0
-0.0251,0
-0.0240,0
-0.0231,0
-0.0279,0
-0.0311,0
-0.0313,0
-0.0322,0
-0.0312,0
-0.0340,0
-0.0369,0
-0.0354,0
-0.0381,0
-0.0349,0
-0.0410,0
-0.0323,0
-0.0347,0
-0.0413,0
-0.0390,1
0.1290,1
0.5455,1
0.7967,1
1.0515,1
1.2921,1
1.6367,1
1.8763,1
2.1140,1
2.3704,1
2.7780,1
3.0687,1
3.3664,1
3.6720,1
3.9934,1
4.5037,1
4.8584,1
5.1896,1
5.5010,1
5.9090,1
6.2672,1
6.6011,1
6.9328,1
7.4143,1
7.7315,1
8.0426,1
8.3627,1
8.8481,1
9.1853,1
9.5234,1
9.8344,1
10.1778,1
10.3941,1
10.6102,1
10.8240,1
11.1459,1
11.3157,1
11.4488,1
11.5510,1
11.7248,1
11.8741,1
11.9984,1
12.1104,1
12.2141,1
12.2522,1
12.3117,1
12.3900,1
12.5486,1
12.6851,1
12.8690,1
13.0770,1
13.5381,1
13.7628,1
13.9895,1
14.2299,1
14.5551,1
14.7365,1
14.8890,1
15.0140,1
15.1781,1
15.2104,1
15.2144,1
15.2265,1
15.1852,1
15.1874,1
15.1893,1
15.1469,1
15.0410,1
14.9303,1
14.8828,1
14.9181,1
14.9237,1
14.8728,1
14.8100,1
14.8333,1
14.9134,1
14.9285,1
14.8689,1
14.8305,1
14.8772,1
14.7888,1
14.7990,1
14.8484,1
14.8717,1
14.9559,1
15.1087,1
15.3041,1
15.5657,1
15.7161,1
15.8558,1
15.9719,1
16.1127,1
16.1669,1
16.2100,1
16.2849,1
16.3513,1
16.3535,1
16.3511,1
16.3575,1
16.4173,1
16.4825,1
16.5228,1
16.4959,1
16.4072,1
16.2878,1
16.1177,1
15.9417,1
15.6717,1
15.5617,1
15.4924,1
15.4730,1
15.4922,1
15.5015,1
15.4630,1
15.4163,1
15.3946,1
15.3919,1
15.4041,1
15.4366,1
15.4170,1
15.3778,1
15.3318,1
15.3246,1
15.3731,1
15.4588,1
15.5259,1
15.5454,1
15.4862,1
15.4695,1
15.4863,1
15.5209,1
15.5742,1
15.5683,1
15.5172,1
15.4504,1
15.4026,1
15.3825,1
15.2581,1
15.0984,1
14.9076,1
14.8037,1
14.7013,1
14.5372,1
14.3130,1
14.2262,1
14.1245,1
13.9706,1
13.7222,1
13.6318,1
13.5755,0
13.1695,0
11.5751,0
10.6208,0
9.7457,0
8.8640,0
7.5851,0
6.7870,0
6.0316,0
5.3534,0
4.4139,0
3.8675,0
3.3629,0
2.9146,0
2.3661,0
2.0876,0
1.8401,0
1.6317,0
1.3742,0
1.2160,0
1.0665,0
0.9263,0
0.7420,0
0.6227,0
0.5166,0
0.4156,0
0.2604,0
0.1758,0
0.1003,0
0.0449,0
-0.0434,0
-0.1083,0
-0.1706,0
-0.2191,0
-0.2969,0
-0.3425,0
-0.3818,0
-0.4211,0
-0.4716,0
-0.4971,0
-0.5243,0
-0.5538,0
-0.5860,0
-0.6066,0
-0.6260,0
-0.6441,0
-0.6692,0
-0.6828,0
-0.6907,0
-0.7058,0
-0.7213,0
-0.7324,0
-0.7409,0
-0.7457,0
-0.7507,0
-0.7563,0
-0.7611,0
-0.7662,0
-0.7685,0
-0.7677,0
-0.7701,0
-0.7749,0
-0.7726,0
-0.7766,0
-0.7781,0
-0.7823,0
-0.7797,0
-0.7818,0
-0.7827,0
-0.7822,0
-0.7862,0
-0.7847,0
-0.7832,0
-0.7815,0
-0.7852,0
-0.7819,0
-0.7837,0
-0.7825,0
-0.7851,0
-0.7840,0
-0.7841,0
-0.7843,0
-0.7830,0
-0.7874,0
-0.7808,0
-0.7846,0
-0.7797,0
-0.7886,0
-0.7833,0
-0.7896,0
-0.7846,0
-0.7866,0
-0.7911,0
-0.7855,0
-0.7849,0
-0.7901,0
-0.7849,0
-0.7877,0
-0.7863,0
-0.7873,0
-0.7906,0
-0.7896,0
-0.7890,0
-0.7882,0
-0.7898,0
-0.7853,0
-0.7910,0
-0.7869,0
-0.7837,0
-0.7863,0
-0.7891,0
-0.7916,0
-0.7881,0
