Force (g),Input Signal
0.0153,0
0.0160,0
0.0151,0
0.0169,0
0.0210,0
0.0179,0
0.0171,0
0.0227,0
0.0203,0
0.0253,0
0.0278,0
0.0215,0
0.0225,0
0.0251,0
0.0226,0
0.0281,0
0.0287,0
0.0306,0
0.0336,0
0.0312,0
0.0315,0
0.0325,0
0.0320,0
0.0312,0
0.0338,0
0.0351,0
0.0372,0
0.0311,0
0.0333,0
0.0333,0
0.0370,0
0.0360,0
0.0410,0
0.0424,0
0.0393,0
0.0400,0
0.0387,0
0.0409,0
0.0397,0
0.0362,0
0.0417,0
0.0429,0
0.0436,0
0.0472,0
0.0433,0
0.0433,0
0.0475,0
0.0452,0
0.0440,0
0.0501,0
0.0461,0
0.0496,0
0.0514,0
0.0473,0
0.0513,0
0.0523,0
0.0536,0
0.0494,0
0.0528,0
0.0492,0
0.0543,0
0.0555,0
0.0566,0
0.0554,0
0.0516,0
0.0596,0
0.0515,0
0.0606,0
0.0551,0
0.0562,0
0.0599,0
0.0575,0
0.0618,0
0.0606,0
0.0603,0
0.0598,0
0.0569,0
0.0559,0
0.0605,0
0.0671,0
0.0633,0
0.0604,0
0.0618,0
0.0636,0
0.0649,0
0.0695,0
0.0702,0
0.0668,0
0.0681,0
0.0684,0
0.0660,0
0.0665,0
0.0712,0
0.0688,0
0.0682,0
0.0742,0
0.0718,0
0.0706,0
0.0734,0
0.0750,0
0.0749,0
0.0759,0
0.0776,0
0.0778,0
0.0807,0
0.0754,0
0.0819,0
0.0801,0
0.0802,0
0.0849,0
0.0837,0
0.0841,0
0.0863,0
0.0893,0
0.0801,0
0.0867,0
0.0869,0
0.0871,0
0.0907,0
0.0923,1
0.3035,1
0.6558,1
1.1390,1
1.4631,1
1.7902,1
2.0771,1
2.4487,1
2.6845,1
2.9238,1
3.1169,1
3.4427,1
3.6139,1
3.7392,1
3.8701,1
4.2928,1
4.5521,1
4.7410,1
4.9213,1
5.2075,1
5.4353,1
5.6137,1
5.7599,1
5.8887,1
5.9627,1
6.0427,1
6.1354,1
6.1734,1
6.2232,1
6.2605,1
6.3491,1
6.3934,1
6.3919,1
6.3447,1
6.1726,1
5.9491,1
6.0577,1
6.1879,1
6.2660,1
6.3105,1
6.2263,1
6.2878,1
6.4204,1
6.4881,1
6.4896,1
6.5166,1
6.4830,1
6.3393,1
6.1990,1
6.0067,1
5.8437,1
5.6901,1
5.7216,1
5.8162,1
5.9431,1
5.9592,1
6.0884,1
6.0967,1
6.1184,1
6.0165,1
5.9096,1
5.8054,1
5.7832,1
5.7768,1
5.6596,1
5.5997,1
5.7042,1
5.9065,1
6.0414,1
6.1659,1
6.1870,1
6.0037,1
5.9361,1
5.7581,1
5.6206,1
5.4430,1
5.3235,1
5.3767,1
5.5452,1
5.6818,1
5.7939,1
5.8585,1
5.9786,1
6.3900,1
6.7083,1
6.9686,1
7.0424,1
7.0696,1
6.9986,1
7.0154,1
7.1172,1
7.4065,1
7.4985,1
7.5287,1
7.4916,1
7.4237,1
7.4373,1
7.4857,1
7.4679,1
7.4230,1
7.5244,1
7.4622,1
7.3697,1
7.2120,1
6.9786,1
6.7901,1
6.6896,1
6.9987,1
7.1490,1
7.2048,1
7.1755,1
7.1154,1
7.0581,1
6.8978,1
6.8005,1
6.5972,1
6.4219,1
6.3860,1
6.5544,1
6.5528,1
6.4848,1
6.4354,1
6.4678,1
6.5881,1
6.6513,1
6.7741,1
6.8339,1
6.8725,1
6.9187,1
7.0440,1
7.1799,1
7.0410,1
6.7746,1
6.7218,1
6.7843,1
6.7785,1
6.8616,1
6.9212,1
6.7772,1
6.4236,1
6.3955,1
6.3861,1
6.3445,1
6.4493,1
6.6181,1
6.7379,1
6.8379,1
7.0222,1
7.0483,1
7.0310,0
6.4451,0
4.6655,0
3.7669,0
3.0448,0
2.4838,0
1.8343,0
1.5151,0
1.2569,0
1.0301,0
0.7189,0
0.5478,0
0.4257,0
0.3234,0
0.2174,0
0.1719,0
0.1255,0
0.0764,0
0.0146,0
-0.0181,0
-0.0687,0
-0.1131,0
-0.1564,0
-0.1794,0
-0.1971,0
-0.2156,0
-0.2364,0
-0.2537,0
-0.2639,0
-0.2805,0
-0.2972,0
-0.3106,0
-0.3188,0
-0.3230,0
-0.3283,0
-0.3344,0
-0.3410,0
-0.3412,0
-0.3462,0
-0.3449,0
-0.3478,0
-0.3509,0
-0.3490,0
-0.3555,0
-0.3516,0
-0.3533,0
-0.3449,0
-0.3487,0
-0.3440,0
-0.3419,0
-0.3440,0
-0.3413,0
-0.3394,0
-0.3365,0
-0.3383,0
-0.3361,0
-0.3328,0
-0.3348,0
-0.3310,0
-0.3294,0
-0.3261,0
-0.3242,0
-0.3240,0
-0.3200,0
-0.3193,0
-0.3200,0
-0.3227,0
-0.3215,0
-0.3216,0
-0.3164,0
-0.3177,0
-0.3110,0
-0.3089,0
-0.3074,0
-0.3046,0
-0.3105,0
-0.3106,0
-0.3064,0
-0.3112,0
-0.3060,0
-0.3045,0
-0.3006,0
-0.3037,0
-0.3005,0
-0.3036,0
-0.3028,0
-0.2987,0
-0.2974,0
-0.2969,0
-0.2963,0
-0.2959,0
