Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0089,1
0.0445,1
0.0890,1
2.1620,1
5.7564,1
6.8686,1
8.0252,1
9.0216,1
10.5164,1
11.1836,1
12.0289,1
12.7228,1
12.8919,1
13.1855,1
13.3189,1
13.5058,1
13.8083,1
13.8884,1
13.9062,1
13.9239,1
13.9595,1
15.0717,1
15.0895,1
15.0895,1
15.0895,1
15.1073,1
15.1784,1
16.3173,1
17.0201,1
17.7853,1
18.2390,1
18.2390,1
18.2390,1
18.2390,1
18.2390,1
18.2390,1
18.2390,1
19.6537,1
21.7801,1
29.2625,1
31.8605,1
32.6701,1
33.6043,1
34.6898,1
36.0065,1
37.4745,1
38.9337,1
40.2593,1
41.3626,1
42.2701,1
43.1064,1
43.7737,1
44.5744,1
45.1794,1
45.8645,1
46.6474,1
47.4393,1
48.2578,1
49.0319,1
49.5657,1
49.9572,1
50.4910,1
50.9447,1
51.3896,1
51.8077,1
52.2615,1
52.7153,1
53.0800,1
53.4359,1
53.6850,1
53.9697,1
54.1477,1
54.5036,1
54.6548,1
54.7349,1
55.2242,1
55.9983,1
56.6300,1
56.6300,1
56.6300,1
56.6300,1
56.9770,1
58.2314,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4717,1
58.4094,1
58.8009,1
59.5571,1
59.5660,1
60.1087,1
60.1710,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,1
60.1265,0
60.1265,0
60.1265,0
60.1265,0
60.1265,0
60.1265,0
60.1176,0
59.6372,0
57.7599,0
57.1015,0
55.9182,0
54.2189,0
52.2170,0
50.0995,0
47.8041,0
46.1225,0
44.3787,0
42.5459,0
40.8554,0
39.4764,0
38.4176,0
37.2521,0
36.9318,0
35.9620,0
35.4460,0
34.3517,0
33.8712,0
33.1595,0
32.7769,0
31.1843,0
29.2714,0
26.9493,0
23.6129,0
22.3495,0
21.3441,0
20.5256,0
19.8316,0
18.9775,0
18.1945,0
17.4205,0
16.6731,0
16.0415,0
15.2852,0
14.5289,0
13.8795,0
13.2122,0
12.7317,0
12.2513,0
11.8687,0
11.3972,0
10.9167,0
10.4719,0
10.0893,0
9.7690,0
9.3686,0
9.0039,0
8.7636,0
8.5323,0
8.2298,0
8.1141,0
8.0608,0
8.0430,0
8.0252,0
8.0163,0
8.0074,0
7.9985,0
7.9362,0
7.9362,0
7.9362,0
7.9362,0
7.9362,0
7.9362,0
6.4148,0
3.9414,0
3.9414,0
3.9414,0
3.9325,0
3.9325,0
3.9325,0
3.6745,0
2.7136,0
2.7136,0
2.7136,0
2.7136,0
2.7136,0
2.7136,0
2.7136,0
2.7136,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.7047,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
2.6958,0
