Linear displacement (mm),Input Signal
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0089,1
0.5961,1
2.4823,1
3.8880,1
5.1781,1
6.3970,1
7.4558,1
8.3544,1
9.2797,1
10.3206,1
11.0502,1
11.8687,1
12.6339,1
13.3011,1
14.0396,1
15.0628,1
16.0326,1
16.8066,1
17.2070,1
17.6251,1
18.4081,1
19.2266,1
19.9295,1
20.7925,1
21.5487,1
22.5096,1
23.4883,1
24.4848,1
25.0987,1
25.5969,1
25.9706,1
26.4066,1
26.8336,1
27.0027,1
27.0294,1
27.0383,1
27.0472,1
27.0560,1
27.0560,1
27.1539,1
28.6130,1
28.7643,1
28.7643,1
28.7643,1
28.7732,1
28.8355,1
29.4138,1
29.4405,1
29.4405,1
29.4405,1
29.4405,1
29.4405,1
29.4405,1
29.4494,1
29.4583,1
29.4761,1
29.5116,1
30.4458,1
31.2199,1
31.2288,1
31.2288,1
31.2288,1
31.2288,1
31.2288,1
31.2288,1
31.2288,1
31.2377,1
31.2466,1
32.1007,1
34.2449,1
42.9907,1
46.9944,1
47.6973,1
48.5870,1
49.5034,1
50.0728,1
50.9447,1
51.7989,1
52.3861,1
53.5605,1
54.9484,1
56.3364,1
57.8934,1
58.7920,1
59.5838,1
60.4735,1
61.4611,1
62.2796,1
63.3651,1
63.9968,1
64.5929,1
65.3046,1
65.7495,1
66.2121,1
66.9150,1
67.6535,1
68.1606,1
68.5966,1
69.1927,1
69.7265,1
70.3493,1
71.3458,1
72.0753,1
72.7782,1
73.5344,1
74.1928,1
74.7711,1
75.2694,1
75.7498,1
76.1235,1
76.6484,1
77.6182,1
78.8549,1
79.6823,1
80.3140,1
80.9368,1
81.5329,1
82.0490,1
82.8230,1
83.2679,1
83.6504,1
84.1220,1
84.6202,1
84.9939,1
85.3498,1
85.7857,1
86.1861,1
86.6399,1
87.0580,1
87.4139,1
87.5741,1
87.6185,1
87.6630,1
87.6808,1
87.6986,1
87.7075,1
87.7253,1
87.7787,1
88.5082,1
89.3624,1
89.4602,1
89.4958,1
89.5314,1
89.5492,1
89.5670,1
90.5902,1
90.6524,1
90.6524,1
90.6524,1
90.6524,0
90.6524,0
90.6258,0
90.6258,0
90.6080,0
90.6080,0
90.5991,0
90.5813,0
90.5457,0
88.9887,0
83.1611,0
80.7322,0
79.2553,0
76.3014,0
73.3565,0
71.4792,0
68.3474,0
64.8776,0
61.9059,0
59.1034,0
57.2795,0
56.7011,0
55.7314,0
54.9751,0
53.5427,0
49.4144,0
47.6706,0
43.3911,0
39.0671,0
37.6525,0
35.9353,0
33.6755,0
31.7537,0
29.8942,0
28.3461,0
26.9226,0
25.9617,0
24.9385,0
24.0488,0
23.0790,0
22.2605,0
21.3530,0
20.4099,0
19.6715,0
18.9597,0
18.2746,0
17.6429,0
16.9667,0
16.3706,0
15.7923,0
15.1162,0
14.6268,0
14.1998,0
13.7727,0
13.3189,0
13.0253,0
12.6872,0
12.4114,0
12.1712,0
11.6908,0
11.4772,0
10.5875,0
10.5875,0
10.5875,0
10.5786,0
10.5342,0
10.5075,0
10.4897,0
10.4630,0
10.4541,0
10.4452,0
10.4452,0
10.4452,0
