Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,0
-0.0267,1
-0.0089,1
0.0178,1
0.0979,1
0.3915,1
0.6139,1
0.8986,1
1.1566,1
1.3790,1
1.5392,1
1.5748,1
1.5926,1
1.6015,1
1.6193,1
1.6371,1
1.6638,1
3.5588,1
3.5855,1
3.7368,1
3.9058,1
4.2350,1
4.4485,1
4.6265,1
4.8845,1
4.9824,1
5.0802,1
5.5696,1
5.6852,1
5.7564,1
5.8276,1
5.8899,1
5.9966,1
6.7796,1
6.8775,1
6.9753,1
6.9753,1
6.9753,1
8.0252,1
8.1230,1
8.1230,1
8.1408,1
8.1764,1
8.2031,1
8.2120,1
8.2120,1
8.2209,1
8.2298,1
8.2387,1
8.2387,1
8.3811,1
10.9256,1
10.7833,1
10.7833,1
10.7922,1
10.7922,1
10.8011,1
10.8100,1
10.8100,1
10.8189,1
10.8189,1
10.8189,1
10.8189,1
10.8189,1
10.8189,1
10.8278,1
10.8278,1
10.8278,1
10.8278,1
10.8278,1
10.8367,1
10.8367,1
10.8456,1
10.8633,1
11.7175,1
11.9577,1
11.9577,1
11.9577,1
11.9577,1
11.9577,1
12.2335,1
12.7762,1
12.7762,1
12.7762,1
12.7584,1
12.7673,1
12.3936,1
12.0911,1
12.8207,1
12.8385,1
12.8474,1
12.8563,1
12.8741,1
12.8919,1
12.9097,1
12.9097,1
12.9186,1
12.9186,1
12.9186,1
12.9275,1
12.9453,1
12.9453,1
12.9453,1
12.9453,1
12.9453,1
15.5076,1
15.8279,1
15.8279,1
15.8279,1
15.8279,1
15.8279,1
15.8279,1
15.8279,1
15.8368,1
15.6233,1
13.9506,1
15.1784,1
15.1784,1
15.1784,1
15.1873,1
15.1873,1
15.1962,1
15.2051,1
15.2140,1
15.2229,1
15.2318,1
15.2318,1
15.2407,1
15.2407,1
15.2496,1
15.2496,1
15.2496,1
15.2585,1
15.2585,1
15.2585,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,1
15.2674,0
15.2674,0
15.2585,0
15.2496,0
15.2407,0
15.2051,0
15.1784,0
15.1695,0
15.1517,0
15.1162,0
15.0895,0
15.0717,0
12.9275,0
12.2602,0
12.1890,0
12.1267,0
10.6765,0
10.6320,0
10.3295,0
9.9914,0
9.6800,0
9.3153,0
9.0394,0
8.7191,0
8.5234,0
8.0430,0
7.9006,0
7.8027,0
7.6871,0
7.0999,0
7.0287,0
6.9664,0
6.8952,0
6.8330,0
5.8988,0
5.0358,0
5.0446,0
5.0358,0
5.0269,0
4.9824,0
4.9646,0
4.9468,0
4.9379,0
4.9201,0
4.9023,0
4.8845,0
2.8560,0
3.1407,0
3.1407,0
3.1407,0
3.1318,0
3.1318,0
3.1229,0
1.6993,0
2.4823,0
2.4823,0
2.4734,0
2.4734,0
2.4645,0
2.4645,0
2.4556,0
2.4556,0
2.4467,0
1.0943,0
1.7082,0
1.7082,0
1.7082,0
1.7082,0
1.6993,0
1.6993,0
1.6904,0
1.6904,0
1.6904,0
1.6815,0
1.6815,0
1.6815,0
1.6727,0
1.6727,0
1.6727,0
1.6727,0
1.6727,0
1.6727,0
1.6727,0
1.6727,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6638,0
1.6549,0
1.6549,0
1.6549,0
1.6549,0
