Linear displacement (mm),Input Signal
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,1
0.0267,1
0.0890,1
0.2224,1
0.8007,1
1.4947,1
1.8684,1
1.9040,1
1.9396,1
1.9841,1
5.2938,1
5.5785,1
6.2724,1
7.0376,1
7.7049,1
8.3455,1
9.0216,1
9.5822,1
9.9736,1
10.0804,1
10.9345,1
11.2993,1
11.6374,1
12.0022,1
12.2958,1
12.3492,1
12.5894,1
14.2620,1
14.9293,1
15.8279,1
16.4952,1
17.3048,1
18.4081,1
19.2444,1
20.2053,1
21.0416,1
21.8335,1
22.6520,1
23.5862,1
24.5649,1
25.6681,1
25.6592,1
25.6503,1
25.6325,1
25.6147,1
25.6058,1
25.5880,1
25.5702,1
25.5524,1
25.5257,1
25.4902,1
20.3387,1
20.0540,1
19.4579,1
18.6394,1
17.8298,1
16.9401,1
16.0948,1
15.3653,1
14.5823,1
13.9417,1
13.3100,1
12.7317,1
12.0822,1
11.4772,1
10.9523,1
10.3473,1
9.7868,1
9.3241,1
8.9327,1
8.4789,1
8.0608,1
7.6782,1
7.3223,1
6.9308,1
6.5394,0
6.1390,0
5.8009,0
5.5251,0
5.2404,0
5.0980,0
4.6710,0
4.5286,0
4.2350,0
3.9859,0
3.8791,0
3.4432,0
3.3097,0
3.2474,0
3.1852,0
3.1229,0
2.3577,0
2.2777,0
2.1798,0
2.1086,0
2.0552,0
1.9485,0
1.4769,0
1.4146,0
-4.0571,0
0.0623,0
0.0979,0
0.0890,0
0.0801,0
0.0801,0
0.0712,0
0.0623,0
0.0534,0
0.0534,0
0.0445,0
0.0445,0
0.0356,0
0.0356,0
0.0356,0
0.0356,0
0.0267,0
0.0267,0
0.0267,0
0.0267,0
0.0178,0
0.0178,0
0.0178,0
