Force (g),Time (s)
0.0154,6.20
0.0162,6.40
0.0172,6.60
0.0128,6.80
0.0161,7.01
0.0146,7.21
0.0111,7.41
0.0156,7.61
0.0119,7.81
0.0112,8.01
0.0181,8.21
0.0168,8.41
0.0179,8.61
0.0223,8.81
0.0203,9.02
0.0188,9.22
0.0205,9.42
0.0209,9.62
0.0235,9.82
0.0655,10.02
2.0495,10.22
8.6049,10.42
12.6306,10.62
15.8166,10.82
18.5260,11.03
22.3752,11.23
24.7803,11.43
27.0500,11.63
29.1129,11.83
31.4758,12.03
32.8082,12.23
34.3102,12.43
35.9224,12.64
38.1687,12.84
39.3680,13.04
40.6031,13.24
42.2374,13.44
44.7738,13.64
45.9714,13.84
47.0863,14.04
48.3733,14.24
50.2954,14.44
51.1365,14.65
51.7118,14.85
52.1474,15.05
52.5974,15.25
53.0617,15.45
53.1236,15.65
53.3490,15.85
54.2761,16.05
55.0681,16.26
55.7426,16.46
56.3894,16.66
57.3294,16.86
58.1074,17.06
59.0456,17.26
59.8714,17.46
61.2045,17.66
61.6790,17.86
62.2479,18.07
62.9015,18.27
64.0867,18.47
65.0017,18.67
65.6723,18.87
66.0337,19.07
65.7311,19.27
65.1321,19.47
64.7866,19.67
64.7524,19.88
65.1974,20.08
65.7124,20.28
66.1692,20.48
64.8356,20.68
58.7997,20.88
55.3959,21.08
52.4508,21.28
49.2426,21.48
44.3228,21.69
41.2220,21.89
38.4982,22.09
35.5667,22.29
31.4129,22.49
29.1206,22.69
26.6847,22.89
23.9918,23.09
19.9790,23.30
17.5180,23.50
15.1476,23.70
13.1692,23.90
10.7809,24.10
9.2421,24.30
7.7668,24.50
6.4059,24.70
4.4007,24.90
3.1079,25.11
1.7701,25.31
0.7127,25.51
-0.6672,25.71
-1.4915,25.91
-2.1148,26.11
-2.6427,26.31
-3.1698,26.51
-3.5910,26.71
-3.9192,26.92
-4.2440,27.12
-4.6795,27.32
-4.9208,27.52
-4.9794,27.72
-5.1484,27.92
-5.4374,28.12
-5.5873,28.32
-5.7109,28.52
-5.8350,28.73
-5.9934,28.93
-6.0866,29.13
-6.1664,29.33
-6.2252,29.53
-6.0171,29.73
-6.0801,29.93
-6.1500,30.13
-6.2004,30.34
-6.2566,30.54
-6.2971,30.74
-6.3411,30.94
-6.3806,31.14
-6.4263,31.34
-6.4521,31.54
-6.4790,31.74
-6.5111,31.94
-6.5606,32.15
-6.5792,32.35
-6.6142,32.55
-6.6453,32.75
-6.6724,32.95
-6.6855,33.15
-6.6998,33.35
-6.6568,33.55
-6.4752,33.76
-6.5111,33.96
-6.5396,34.16
-6.5509,34.36
-6.5655,34.56
-6.5680,34.76
-6.5711,34.96
-6.5764,35.16
-6.5782,35.36
-6.5768,35.56
