Force (g),Time (s)
-0.0929,6.20
-0.0987,6.40
-0.0978,6.60
-0.1019,6.80
-0.1040,7.01
-0.1061,7.21
-0.1069,7.41
-0.1116,7.61
-0.1171,7.81
-0.1182,8.01
-0.1224,8.21
-0.1244,8.41
-0.1332,8.61
-0.1282,8.81
-0.1394,9.02
-0.1383,9.22
-0.1395,9.42
-0.1428,9.62
-0.1523,9.82
-0.1519,10.02
-0.1566,10.22
1.7945,10.42
7.6067,10.62
13.1680,10.82
17.3584,11.03
21.1166,11.23
22.0667,11.43
22.2414,11.63
22.1209,11.83
22.2774,12.03
22.7222,12.23
23.6753,12.43
24.9511,12.64
27.1911,12.84
28.8283,13.04
30.5821,13.24
32.1574,13.44
34.2405,13.64
35.8741,13.84
37.3850,14.04
38.9341,14.24
41.3868,14.44
43.0742,14.65
44.7163,14.85
46.3234,15.05
48.4521,15.25
49.5854,15.45
50.6530,15.65
51.5244,15.85
52.5931,16.05
53.1403,16.26
53.8999,16.46
54.7226,16.66
55.5572,16.86
56.0990,17.06
56.5795,17.26
57.3642,17.46
58.8912,17.66
59.6043,17.86
60.2053,18.07
60.8552,18.27
61.5338,18.47
62.0731,18.67
62.2574,18.87
62.2049,19.07
62.0468,19.27
62.0270,19.47
62.1416,19.67
61.9774,19.88
62.2813,20.08
62.7009,20.28
63.1714,20.48
61.1807,20.68
54.5671,20.88
50.3723,21.08
46.4504,21.28
42.7965,21.48
37.0158,21.69
33.3270,21.89
29.8599,22.09
26.3450,22.29
21.0586,22.49
17.7367,22.69
14.6223,22.89
11.7564,23.09
7.8568,23.30
5.2680,23.50
2.7283,23.70
0.3304,23.90
-2.7779,24.10
-4.4515,24.30
-5.9576,24.50
-7.2235,24.70
-8.7602,24.90
-9.6391,25.11
-10.2212,25.31
-10.6776,25.51
-11.2088,25.71
-11.4778,25.91
-11.6896,26.11
-11.8761,26.31
-12.0908,26.51
-12.2398,26.71
-12.3524,26.92
-12.4380,27.12
-12.5182,27.32
-12.5636,27.52
-12.6425,27.72
-12.7090,27.92
-12.7769,28.12
-12.8224,28.32
-12.8480,28.52
-12.8834,28.73
-12.9179,28.93
-12.9508,29.13
-12.9884,29.33
-13.0010,29.53
-13.0383,29.73
-13.0499,29.93
-13.0676,30.13
-13.0861,30.34
-13.0790,30.54
-13.0816,30.74
-13.1083,30.94
-13.1197,31.14
-13.1399,31.34
-13.1482,31.54
-13.1628,31.74
-13.1726,31.94
-13.1777,32.15
-13.1829,32.35
-13.1842,32.55
-13.1790,32.75
-13.1811,32.95
-13.1977,33.15
-13.2075,33.35
-13.2195,33.55
-13.2294,33.76
-13.2222,33.96
-13.2228,34.16
-13.2299,34.36
-13.2296,34.56
-13.2330,34.76
-13.2329,34.96
-13.2368,35.16
-13.2304,35.36
-13.2346,35.56
