Linear displacement (mm),Time (s)
0.0000,5.00
0.0000,5.20
0.0000,5.40
0.0000,5.60
0.0000,5.80
0.0000,6.01
0.0000,6.21
0.0000,6.41
0.0000,6.61
0.0000,6.81
0.0000,7.01
0.0000,7.21
0.0000,7.41
0.0000,7.61
0.0000,7.81
0.0000,8.02
0.0000,8.22
0.0000,8.42
0.0000,8.62
0.0000,8.82
0.0000,9.02
0.0000,9.22
0.0000,9.42
0.0000,9.62
0.0000,9.82
0.0000,10.03
0.0000,10.23
0.0000,10.43
0.0000,10.63
0.0000,10.83
0.0000,11.03
0.0000,11.23
0.0000,11.44
0.0000,11.64
0.0000,11.84
0.0000,12.04
0.0000,12.24
0.0000,12.44
0.0000,12.64
0.0000,12.84
0.0000,13.04
0.0000,13.25
0.0000,13.45
0.0000,13.65
0.0000,13.85
0.0000,14.05
0.0000,14.25
0.0000,14.45
0.0000,14.65
0.0000,14.85
0.0000,15.06
0.0000,15.26
0.0000,15.46
0.0000,15.66
0.0356,15.86
0.0534,16.06
0.0712,16.26
0.0801,16.46
0.0890,16.66
0.7563,16.86
2.3221,17.07
2.5090,17.27
2.7937,17.47
2.9716,17.67
3.3453,17.87
3.5055,18.07
3.8880,18.27
4.0304,18.47
4.0927,18.68
4.1371,18.88
4.1994,19.08
4.9112,19.28
5.1336,19.48
5.2493,19.68
5.6319,19.88
5.6941,20.08
5.7208,20.28
5.7386,20.49
5.7564,20.69
5.7742,20.89
5.7831,21.09
6.6550,21.29
7.8116,21.49
7.8205,21.69
7.8294,21.89
7.8294,22.09
7.8383,22.30
7.8650,22.50
7.9006,22.70
7.9451,22.90
7.9629,23.10
7.9718,23.30
7.9718,23.50
7.9807,23.70
7.9807,23.90
7.9896,24.11
7.9896,24.31
8.5145,24.51
8.6391,24.71
8.6658,24.91
8.6747,25.11
8.6836,25.31
8.6836,25.51
8.6925,25.72
8.6925,25.92
8.7014,26.12
8.7014,26.32
8.9683,26.52
9.4309,26.72
9.4398,26.92
9.4576,27.12
9.5021,27.32
9.5110,27.53
9.5199,27.73
9.5288,27.93
9.5377,28.13
9.5377,28.33
9.5466,28.53
9.5466,28.73
9.5466,28.93
9.5555,29.13
9.5555,29.34
9.5644,29.54
9.5644,29.74
9.5644,29.94
9.5733,30.14
9.5733,30.34
9.5733,30.54
9.5733,30.74
9.5733,30.94
9.5644,31.15
9.5466,31.35
9.5288,31.55
9.5021,31.75
9.5021,31.95
9.4932,32.15
9.4843,32.35
9.4843,32.56
9.4576,32.76
7.8828,32.96
7.8027,33.16
7.6693,33.36
7.2511,33.56
7.1266,33.76
7.0732,33.96
7.0287,34.16
6.9753,34.37
6.9308,34.57
6.8775,34.77
6.0500,34.97
5.2938,35.17
5.1603,35.37
5.0180,35.57
4.9379,35.77
4.8667,35.97
4.7333,36.18
4.2706,36.38
4.1994,36.58
4.1282,36.78
4.0927,36.98
4.0660,37.18
4.0482,37.38
4.0304,37.58
3.0873,37.78
2.8382,37.99
2.8382,38.19
1.1833,38.39
1.9663,38.59
1.9752,38.79
1.9663,38.99
1.9663,39.19
1.9663,39.39
1.9574,39.60
1.9574,39.80
1.9485,40.00
1.9485,40.20
1.9396,40.40
1.9396,40.60
1.9396,40.80
1.9307,41.00
1.9307,41.20
