Linear displacement (mm),Time (s)
0.0000,5.00
0.0000,5.20
0.0000,5.40
0.0000,5.60
0.0000,5.80
0.0000,6.01
0.0000,6.21
0.0000,6.41
0.0000,6.61
0.0000,6.81
0.0000,7.01
0.0000,7.21
0.0000,7.41
0.0000,7.61
0.0000,7.81
0.0000,8.02
0.0000,8.22
0.0000,8.42
0.0000,8.62
0.0000,8.82
0.0000,9.02
0.0000,9.22
0.0000,9.42
0.0000,9.62
0.0000,9.82
0.0000,10.03
0.0000,10.23
0.0000,10.43
0.0000,10.63
0.0000,10.83
0.0000,11.03
0.0000,11.23
0.0000,11.44
0.0000,11.64
0.0000,11.84
0.0000,12.04
0.0000,12.24
0.0000,12.44
0.0000,12.64
0.0000,12.84
0.0000,13.04
0.0000,13.25
0.0000,13.45
0.0000,13.65
0.0000,13.85
0.0000,14.05
0.0000,14.25
0.0000,14.45
0.0000,14.65
0.0000,14.85
0.0000,15.06
0.0000,15.26
0.0000,15.46
0.0089,15.66
0.4093,15.86
1.1299,16.06
1.9485,16.26
2.6780,16.46
3.3987,16.66
4.1282,16.86
4.7777,17.07
5.4005,17.27
6.0856,17.47
6.7262,17.67
7.3401,17.87
7.9362,18.07
8.5234,18.27
9.0394,18.47
9.6622,18.68
10.3473,18.88
11.0591,19.08
11.7708,19.28
12.4648,19.48
13.1410,19.68
13.8261,19.88
14.4489,20.08
15.0895,20.28
15.6945,20.49
16.3528,20.69
17.1447,20.89
17.7764,21.09
18.3458,21.29
18.8351,21.49
19.3067,21.69
19.8672,21.89
20.3921,22.09
20.7836,22.30
21.1751,22.50
21.4954,22.70
21.8335,22.90
22.0292,23.10
22.1715,23.30
22.2516,23.50
22.2961,23.70
22.3139,23.90
22.3317,24.11
22.3495,24.31
