Linear displacement (mm),Time (s)
0.0000,5.00
0.0000,5.20
0.0000,5.40
0.0000,5.60
0.0000,5.80
0.0000,6.01
0.0000,6.21
0.0000,6.41
0.0000,6.61
0.0000,6.81
0.0000,7.01
0.0000,7.21
0.0000,7.41
0.0000,7.61
0.0000,7.81
0.0000,8.02
0.0000,8.22
0.0000,8.42
0.0000,8.62
0.0000,8.82
0.0000,9.02
0.0000,9.22
0.0000,9.42
0.0000,9.62
0.0000,9.82
0.0000,10.03
0.0000,10.23
0.0000,10.43
0.0000,10.63
0.0000,10.83
0.0000,11.03
0.0000,11.23
0.0000,11.44
0.0000,11.64
0.0000,11.84
0.0000,12.04
0.0000,12.24
0.0000,12.44
0.0000,12.64
0.0000,12.84
0.0000,13.04
0.0000,13.25
0.0000,13.45
0.0000,13.65
0.0000,13.85
0.0000,14.05
0.0000,14.25
0.0000,14.45
-0.0089,14.65
-0.0089,14.85
-0.0089,15.06
-0.0089,15.26
-0.0089,15.46
-0.0089,15.66
0.0445,15.86
0.7029,16.06
1.4769,16.26
2.2954,16.46
3.0072,16.66
3.6389,16.86
4.3151,17.07
4.9646,17.27
5.6319,17.47
6.2902,17.67
6.8863,17.87
7.4558,18.07
8.0964,18.27
8.8081,18.47
9.5110,18.68
10.1605,18.88
10.9167,19.08
11.6374,19.28
12.3759,19.48
13.2567,19.68
14.0574,19.88
14.8848,20.08
15.5610,20.28
16.1660,20.49
16.7977,20.69
17.2159,20.89
17.3849,21.09
17.5006,21.29
17.6162,21.49
17.7586,21.69
17.8209,21.89
17.8476,22.09
17.8743,22.30
17.8831,22.50
17.8920,22.70
17.8920,22.90
17.8920,23.10
17.8920,23.30
17.8831,23.50
17.8831,23.70
17.3938,23.90
-23.9421,24.11
-41.6829,24.31
-41.6829,24.51
-41.6829,24.71
-41.6829,24.91
-41.6829,25.11
-41.6829,25.31
-41.7007,25.51
-41.7007,25.72
-41.7007,25.92
-41.7007,26.12
-41.7096,26.32
-41.7096,26.52
-41.7096,26.72
-41.7096,26.92
-41.7185,27.12
-41.7185,27.32
-41.7185,27.53
-41.7185,27.73
-41.7185,27.93
-41.7185,28.13
