Time (s),Force (g),Ambient temperature (c)
6.19,-0.0044,6.2500
6.40,-0.0048,6.2344
6.60,-0.0085,6.1641
6.80,-0.0042,6.2734
7.00,-0.0063,6.2109
7.20,-0.0009,6.2578
7.40,-0.0064,6.2500
7.60,-0.0021,6.2266
7.80,-0.0043,6.2891
8.00,-0.0054,6.2500
8.20,-0.0022,6.2734
8.41,-0.0048,6.2891
8.61,-0.0060,6.2734
8.81,-0.0035,6.2344
9.01,1.4697,6.2109
9.21,4.0725,6.2500
9.41,5.5514,6.2109
9.61,6.6034,6.2109
9.81,7.8710,6.2031
10.02,8.5711,6.2891
10.22,8.1782,6.2500
10.42,4.6170,6.1484
10.62,3.7801,6.1641
10.82,3.2051,6.1719
11.02,2.7834,6.2266
11.22,2.3149,6.2578
11.42,2.0772,6.2500
11.62,1.8735,6.2578
11.82,1.8171,6.1406
12.03,4.7278,6.2109
12.23,6.5376,6.2734
12.43,7.6906,6.2266
12.63,4.6385,6.2891
12.83,3.7820,6.2891
13.03,3.2407,6.2109
13.23,2.8464,6.2969
13.43,2.4045,6.2734
13.64,2.1855,6.2266
13.84,2.0006,6.2891
14.04,1.8420,6.2734
14.24,1.7636,6.2266
14.44,3.3556,6.2734
14.64,5.8664,6.2891
14.84,7.2358,6.2344
15.04,5.9445,6.2969
15.24,4.3565,6.2031
15.45,3.6728,6.2266
15.65,3.0102,6.3203
15.85,2.6918,6.2266
16.05,2.4395,6.2578
16.25,2.2379,6.2344
16.45,2.1318,6.3359
16.65,3.8189,6.2266
16.85,6.3025,6.2734
17.05,7.5878,6.2500
17.26,4.6798,6.2969
17.46,3.8678,6.2266
17.66,3.3541,6.2891
17.86,2.9701,6.2891
18.06,2.5474,6.2734
18.26,2.3759,6.1719
18.46,3.4760,6.2969
18.66,6.9916,6.2500
18.86,8.2404,6.3438
19.07,8.5959,6.2734
19.27,5.7443,6.2031
19.47,4.3313,6.2891
19.67,3.7787,6.2891
19.87,3.3612,6.2734
20.07,3.0364,6.2109
20.27,2.6519,6.2891
20.47,3.0409,6.2578
20.67,5.4852,6.2734
20.88,7.4005,6.2266
21.08,9.1856,6.2578
21.28,10.1090,6.2344
21.48,9.9356,6.2734
21.68,6.1373,6.2734
21.88,5.1961,6.2578
22.08,4.5376,6.2734
22.28,4.0255,6.3125
22.49,3.4378,6.2969
22.69,3.1209,6.3438
22.89,2.8537,6.2266
23.09,2.6170,6.2109
23.29,2.5301,6.2578
23.49,4.3422,6.2891
23.69,6.6782,6.2969
23.89,8.6863,6.2969
24.09,9.6988,6.2500
24.30,10.5475,6.3203
24.50,11.2505,6.2578
24.70,7.7736,6.2578
24.90,6.2747,6.2734
25.10,5.3625,6.2266
25.30,4.6808,6.2969
25.50,3.9220,6.2969
25.70,3.5234,6.2891
25.90,3.2048,6.2891
26.11,3.7474,6.2891
26.31,7.2450,6.2891
26.51,8.6561,6.2578
26.71,7.4194,6.2578
26.91,4.8782,6.3125
27.11,4.1957,6.2266
27.31,4.2523,6.2891
27.51,6.1854,6.1875
27.71,8.8375,6.2500
27.92,9.9625,6.2266
28.12,10.1539,6.2266
28.32,7.0030,6.2344
28.52,5.2772,6.2344
28.72,4.7663,6.2578
28.92,5.9632,6.3203
29.12,8.9841,6.2969
29.32,10.1432,6.2578
29.53,11.0850,6.2578
29.73,10.8563,6.2266
29.93,6.8221,6.2734
30.13,5.7695,6.2891
30.33,5.1221,6.2969
30.53,6.0234,6.2578
30.73,9.1074,6.2266
30.93,10.3289,6.2266
31.13,11.2590,6.2266
31.34,10.2240,6.2266
31.54,6.6351,6.2578
31.74,5.6536,6.2109
31.94,4.9845,6.3125
32.14,6.6679,6.2031
32.34,8.7887,6.2969
32.54,10.0847,6.2734
32.74,11.0589,6.3125
32.95,8.3256,6.2578
33.15,6.5612,6.2344
33.35,5.5735,6.3438
33.55,4.8604,6.2969
33.75,5.8654,6.3359
33.95,8.2145,6.2969
34.15,9.6409,6.3594
34.35,10.6954,6.2578
34.55,11.8412,6.2891
34.76,9.3988,6.2031
34.96,7.1145,6.2969
35.16,5.5466,6.2578
35.36,4.8172,6.2969
35.56,4.2508,6.2891
35.76,3.7936,6.2891
35.96,3.2375,6.2891
36.16,2.9289,6.3203
36.36,2.6584,6.2266
36.57,2.4274,6.2578
36.77,2.1251,6.2500
36.97,1.9556,6.1875
37.17,1.7976,6.2500
