Time (s),Force (g),Ambient temperature (c)
6.19,0.0122,3.1328
6.40,0.0140,3.1094
6.60,0.0157,3.0859
6.80,0.0176,3.1250
7.00,0.0163,3.1719
7.20,0.0181,3.1094
7.40,0.0163,3.1094
7.60,0.0192,3.1250
7.80,0.0180,3.1875
8.00,0.0192,3.1953
8.20,0.0193,3.1719
8.41,0.0193,3.1016
8.61,0.0206,3.1953
8.81,0.0197,3.1094
9.01,0.0192,3.1250
9.21,0.0187,3.1484
9.41,0.0189,3.1250
9.61,0.0186,3.0859
9.81,0.0210,3.0859
10.02,0.0215,3.1484
10.22,0.0242,3.1094
10.42,0.3936,3.1094
10.62,2.3088,3.1250
10.82,3.6352,3.1094
11.02,4.5602,3.1016
11.22,5.5900,3.1094
11.42,5.5951,3.1563
11.62,6.0825,3.2344
11.82,6.5451,3.1328
12.03,7.1157,3.1484
12.23,7.3226,3.1328
12.43,7.6567,3.1563
12.63,8.1144,3.1484
12.83,8.3808,3.2109
13.03,8.4786,3.0625
13.23,8.7223,3.1563
13.43,9.0741,3.1328
13.64,9.2834,3.1484
13.84,9.4709,3.1563
14.04,9.5452,3.1094
14.24,9.7781,3.1484
14.44,9.9433,3.1250
14.64,10.1013,3.1094
14.84,10.3176,3.1875
15.04,10.4437,3.1094
15.24,10.5667,3.1563
15.45,10.6779,3.1484
15.65,10.8239,3.1016
15.85,10.7914,3.0859
16.05,10.8194,3.1094
16.25,10.9098,3.1328
16.45,11.0345,3.1328
16.65,11.1081,3.1328
16.85,11.1698,3.1953
17.05,11.2564,3.1250
17.26,11.3073,3.1953
17.46,11.3562,3.1484
17.66,11.3889,3.1250
17.86,11.4463,3.1484
18.06,11.4704,3.1094
18.26,11.4943,3.1484
18.46,11.5200,3.1953
18.66,11.5438,3.1094
18.86,11.5594,3.1484
19.07,11.5717,3.0703
19.27,11.5805,3.0234
19.47,11.5889,3.1484
19.67,11.5911,3.1875
19.87,11.5873,3.1563
20.07,11.5821,3.1094
20.27,11.5730,3.1953
20.47,11.5606,3.1328
20.67,11.5456,3.1953
20.88,11.5202,3.1719
21.08,11.5039,3.0703
21.28,11.4844,3.1250
21.48,11.4587,3.1875
21.68,11.4283,3.1094
21.88,11.4022,3.1719
22.08,11.3706,3.1016
22.28,11.3251,3.1016
22.49,11.2942,3.0859
22.69,11.2591,3.1094
22.89,11.2179,3.1094
23.09,11.1527,3.1875
23.29,11.1020,3.1250
23.49,11.0602,3.1094
23.69,11.0149,3.1016
23.89,10.9467,3.1328
24.09,10.9004,3.1328
24.30,10.8539,3.0703
24.50,10.8027,3.1563
24.70,10.7347,3.1875
24.90,10.6960,3.1250
25.10,10.6568,3.1719
25.30,10.6060,3.2188
25.50,10.5727,3.2109
25.70,10.5418,3.0625
25.90,10.3427,3.0703
26.11,7.2307,3.1328
26.31,6.0578,3.0391
26.51,5.1827,3.1484
26.71,4.4789,3.1094
26.91,3.8377,3.1328
27.11,3.3784,3.1328
27.31,2.9935,3.0703
27.51,2.6012,3.1016
27.71,2.3037,3.0625
27.92,2.0972,3.1250
28.12,1.9141,3.0703
28.32,1.5928,3.1563
28.52,1.4121,3.0703
28.72,1.2870,3.1328
28.92,1.1534,3.0469
29.12,0.9373,3.0703
29.32,0.8108,3.1250
29.53,0.7044,3.1094
29.73,0.6054,3.1094
29.93,0.4748,3.0469
30.13,0.3830,3.0703
30.33,0.3022,3.1250
30.53,0.1871,3.0625
30.73,0.1185,3.1250
30.93,0.0521,3.1719
31.13,-0.0139,3.1250
31.34,-0.1025,3.1484
31.54,-0.1590,3.1484
31.74,-0.2124,3.0859
31.94,-0.2589,3.1250
32.14,-0.3257,3.1094
32.34,-0.3683,3.0469
32.54,-0.4124,3.1250
32.74,-0.4683,3.2422
32.95,-0.5032,3.0391
33.15,-0.5398,3.0859
33.35,-0.5764,3.1953
33.55,-0.6166,3.0625
33.75,-0.6518,3.1094
33.95,-0.6775,3.0625
34.15,-0.7032,3.1094
34.35,-0.7396,3.0156
34.55,-0.7654,3.1875
34.76,-0.7881,3.0859
34.96,-0.8143,3.1250
35.16,-0.8487,3.1563
35.36,-0.8696,3.1719
35.56,-0.8892,3.1016
35.76,-0.9187,3.1563
35.96,-0.9370,3.1094
36.16,-0.9566,3.1094
36.36,-0.9718,3.1250
36.57,-0.9962,3.0625
36.77,-1.0108,3.1250
36.97,-1.0249,3.1719
37.17,-1.0402,3.0859
37.37,-1.0626,3.1719
37.57,-1.0746,3.0859
37.77,-1.0891,3.1875
37.97,-1.1050,3.0625
38.18,-1.1153,3.1250
38.38,-1.1252,3.1250
38.58,-1.1377,3.1484
38.78,-1.1542,3.1250
38.98,-1.1625,3.0859
39.18,-1.1701,3.1016
39.38,-1.1855,3.0703
39.58,-1.1981,3.1484
39.78,-1.2058,3.1094
39.99,-1.2171,3.0469
40.19,-1.2252,3.0625
40.39,-1.2315,3.0703
40.59,-1.2437,3.1016
40.79,-1.2531,3.1563
