Time (s),Force (g),Ambient temperature (c)
6.19,0.0080,3.5156
6.40,0.0104,3.5547
6.60,0.0112,3.5625
6.80,0.0127,3.5391
7.00,0.0119,3.5313
7.20,0.0094,3.5156
7.40,0.0069,3.4531
7.60,0.0130,3.4922
7.80,0.0090,3.5625
8.00,0.0140,3.5547
8.20,0.0173,3.4922
8.41,0.0171,3.5547
8.61,0.0158,3.5391
8.81,0.0127,3.4531
9.01,0.0135,3.4297
9.21,0.0124,3.4688
9.41,0.0156,3.6016
9.61,0.0157,3.4688
9.81,0.0202,3.5313
10.02,0.0205,3.5313
10.22,0.0152,3.5547
10.42,0.0189,3.5156
10.62,0.0187,3.4688
10.82,0.0154,3.6250
11.02,0.0204,3.4766
11.22,1.0089,3.5625
11.42,3.1893,3.4922
11.62,4.5018,3.5156
11.82,5.4584,3.5547
12.03,6.5540,3.5313
12.23,7.1465,3.4766
12.43,7.6622,3.5313
12.63,8.3396,3.4688
12.83,8.7427,3.5625
13.03,9.1175,3.5156
13.23,9.4636,3.4922
13.43,9.9503,3.5391
13.64,10.2517,3.5000
13.84,10.5399,3.5313
14.04,10.8140,3.5313
14.24,11.1939,3.5156
14.44,11.4348,3.4766
14.64,11.6646,3.5000
14.84,11.9924,3.5391
15.04,12.1923,3.5547
15.24,12.3896,3.5859
15.45,12.5698,3.5156
15.65,12.8310,3.5000
15.85,12.9896,3.4688
16.05,13.1443,3.5625
16.25,13.2883,3.5156
16.45,13.4965,3.5313
16.65,13.6218,3.5156
16.85,13.7387,3.4922
17.05,13.9064,3.5000
17.26,14.0087,3.5625
17.46,14.1046,3.5547
17.66,14.1964,3.4766
17.86,14.3173,3.4766
18.06,14.3947,3.5156
18.26,14.4642,3.4922
18.46,14.5307,3.5391
18.66,14.6170,3.5156
18.86,14.6728,3.4766
19.07,14.7223,3.4531
19.27,14.7636,3.4688
19.47,14.8210,3.5781
19.67,14.8509,3.5156
19.87,14.8759,3.5156
20.07,14.9103,3.5313
20.27,14.9237,3.4766
20.47,14.9362,3.5391
20.67,14.9419,3.5625
20.88,14.9398,3.4922
21.08,14.9347,3.5313
21.28,14.9210,3.5391
21.48,14.9067,3.4766
21.68,14.8821,3.5547
21.88,14.8579,3.5391
22.08,14.8372,3.5859
22.28,14.7954,3.5156
22.49,14.7664,3.4922
22.69,14.7379,3.5313
22.89,14.7051,3.4766
23.09,14.6623,3.4922
23.29,14.6389,3.5781
23.49,14.6136,3.5547
23.69,14.5958,3.4922
23.89,14.5622,3.4922
24.09,14.5438,3.5156
24.30,14.5247,3.4922
24.50,14.5082,3.5625
24.70,14.4811,3.5313
24.90,14.4672,3.5000
25.10,14.4546,3.5547
25.30,14.4297,3.5391
25.50,13.7669,3.4922
25.70,11.0494,3.5156
25.90,9.4886,3.5625
26.11,7.8514,3.5000
26.31,7.0204,3.4531
26.51,6.3317,3.4531
26.71,5.7440,3.5000
26.91,5.0015,3.5781
27.11,4.5876,3.4766
27.31,4.2135,3.5391
27.51,3.7290,3.5547
27.71,3.4510,3.4531
27.92,3.1972,3.5313
28.12,2.9654,3.4453
28.32,2.6541,3.5391
28.52,2.4727,3.4922
28.72,2.3033,3.4922
28.92,2.1457,3.4531
29.12,1.9343,3.5156
29.32,1.8088,3.4688
29.53,1.6861,3.5156
29.73,1.5227,3.5156
29.93,1.4273,3.4531
30.13,1.3338,3.4531
30.33,1.2492,3.5156
30.53,1.1326,3.5391
30.73,1.0550,3.4766
30.93,0.9860,3.4531
31.13,0.9227,3.5625
31.34,0.8320,3.5156
31.54,0.7795,3.5156
31.74,0.7260,3.4688
31.94,0.6761,3.5156
32.14,0.6056,3.4922
32.34,0.5655,3.4922
32.54,0.5234,3.4922
32.74,0.4675,3.4766
32.95,0.4321,3.4297
33.15,0.3919,3.4453
33.35,0.3646,3.4297
33.55,0.3189,3.4141
33.75,0.2866,3.4688
33.95,0.2610,3.4688
34.15,0.2359,3.4688
34.35,0.2004,3.5781
34.55,0.1751,3.4688
34.76,0.1549,3.4063
34.96,0.1236,3.4922
35.16,0.0990,3.5000
35.36,0.0837,3.5156
35.56,0.0678,3.4688
35.76,0.0440,3.4688
35.96,0.0275,3.4766
36.16,0.0133,3.4453
36.36,-0.0027,3.3906
36.57,-0.0249,3.3672
36.77,-0.0416,3.4922
36.97,-0.0562,3.4766
37.17,-0.0672,3.4063
37.37,-0.0847,3.5156
37.57,-0.0970,3.4922
37.77,-0.1072,3.4531
37.97,-0.1217,3.4766
38.18,-0.1347,3.4688
38.38,-0.1422,3.4688
38.58,-0.1512,3.4922
38.78,-0.1649,3.4922
38.98,-0.1760,3.4531
39.18,-0.1790,3.4766
39.38,-0.1879,3.5391
39.58,-0.1973,3.5625
39.78,-0.2094,3.4453
39.99,-0.2127,3.4922
40.19,-0.2240,3.4766
40.39,-0.2308,3.4453
40.59,-0.2384,3.4453
40.79,-0.2436,3.4063
40.99,-0.2529,3.4922
41.19,-0.2576,3.4766
41.39,-0.2623,3.4688
41.59,-0.2680,3.4922
