Time (s),Force (g),Ambient temperature (c)
6.20,-0.0487,6.0313
6.40,-0.0491,5.9922
6.60,-0.0487,5.9766
6.80,-0.0567,6.0313
7.00,-0.0512,6.0078
7.20,-0.0531,6.0391
7.40,-0.0571,5.9688
7.60,-0.0542,6.0156
7.80,-0.0570,6.0313
8.00,-0.0582,6.0313
8.21,-0.0611,6.0391
8.41,-0.0588,6.0313
8.61,-0.0639,5.9531
8.81,-0.0650,5.9531
9.01,-0.0632,5.9766
9.21,-0.0648,5.9766
9.41,-0.0672,5.9922
9.61,-0.0645,5.9766
9.81,-0.0701,5.9766
10.02,-0.0727,5.9688
10.22,-0.0742,6.0547
10.42,-0.0284,6.0391
10.62,1.0608,5.9531
10.82,3.7360,6.0313
11.02,5.2873,5.9688
11.22,6.7123,5.9922
11.42,7.4808,5.9922
11.62,8.1745,6.0078
11.82,8.8145,6.0156
12.03,9.6790,5.9922
12.23,10.2195,5.8906
12.43,10.7242,6.0391
12.63,11.1878,6.0156
12.83,11.8327,5.9922
13.03,12.2244,5.9531
13.23,12.5836,6.0313
13.43,13.0834,6.0078
13.64,13.3896,6.0547
13.84,13.6685,5.9688
14.04,13.9334,6.0547
14.24,14.2948,5.9922
14.44,14.5096,6.0156
14.64,14.7108,5.9688
14.84,14.8939,6.0156
15.04,15.1341,6.0313
15.24,15.2732,5.9922
15.45,15.3913,6.0078
15.65,15.5372,6.0313
15.85,15.6080,6.0625
16.05,15.6597,6.0078
16.25,15.7043,6.0156
16.45,15.7427,6.0156
16.65,15.7397,5.9922
16.85,15.7274,5.9922
17.05,15.7020,6.0391
17.26,15.6481,6.0078
17.46,15.6072,6.0313
17.66,15.5688,6.0156
17.86,15.5278,6.0078
18.06,15.4777,5.9453
18.26,15.4483,5.9688
18.46,15.4207,6.0547
18.66,15.3884,6.0313
18.86,15.3637,6.1172
19.07,15.3423,5.9922
19.27,15.3229,5.9453
19.47,15.2976,5.9531
19.67,15.2816,6.0859
19.87,15.2622,5.9922
20.07,15.2461,6.0781
20.27,15.2218,5.9922
20.47,15.2110,6.0781
20.67,14.6157,5.9766
20.88,10.2764,5.9766
21.08,7.3089,6.0313
21.28,6.0160,6.1172
21.48,5.0474,5.9453
21.68,3.9218,6.0313
21.88,3.3360,6.0078
22.08,2.8482,6.0781
22.28,2.4209,6.0859
22.49,1.8908,6.0391
22.69,1.6022,6.0313
22.89,1.3495,6.0547
23.09,1.1348,6.0156
23.29,0.8579,6.0625
23.49,0.7062,6.0781
23.69,0.5661,6.1250
23.89,0.3865,6.0313
24.09,0.2781,6.0156
24.30,0.1819,5.9922
24.50,0.0991,5.9688
24.70,-0.0148,6.0547
24.90,-0.0823,5.9453
25.10,-0.1441,6.1016
25.30,-0.1957,6.0859
25.50,-0.2726,6.0547
25.70,-0.3082,6.0156
25.90,-0.3508,6.0156
26.11,-0.3905,5.9766
26.31,-0.4382,6.0547
26.51,-0.4662,6.0313
26.71,-0.4936,5.9922
26.91,-0.5310,5.9922
27.11,-0.5578,6.0781
27.31,-0.5757,6.0313
27.51,-0.5975,6.0859
27.71,-0.6208,6.0547
27.92,-0.6384,6.0547
28.12,-0.6511,6.0313
28.32,-0.6651,6.0547
28.52,-0.6873,6.0313
28.72,-0.6991,6.0078
28.92,-0.7078,6.0078
29.12,-0.7206,6.1172
29.32,-0.7341,6.0313
29.53,-0.7471,6.0547
29.73,-0.7600,6.0313
29.93,-0.7698,6.0391
30.13,-0.7790,6.0391
30.33,-0.7808,5.9922
30.53,-0.7906,6.0391
30.73,-0.7991,6.0156
30.93,-0.8030,5.9922
31.13,-0.8071,6.0547
31.34,-0.8137,6.0391
