Time (s),Force (g),Ambient temperature (c)
6.20,0.0022,8.5859
6.40,-0.0014,8.5703
6.60,-0.0032,8.5469
6.80,-0.0015,8.5234
7.00,-0.0012,8.5703
7.20,-0.0035,8.5859
7.40,-0.0006,8.5859
7.60,-0.0049,8.5625
7.80,0.0015,8.6250
8.00,-0.0035,8.6094
8.21,-0.0022,8.5234
8.41,-0.0026,8.4766
8.61,-0.0019,8.5859
8.81,-0.0022,8.5859
9.01,-0.0031,8.5391
9.21,-0.0062,8.5703
9.41,-0.0008,8.6250
9.61,-0.0035,8.5625
9.81,-0.0051,8.5469
10.02,-0.0036,8.6094
10.22,-0.0039,8.6094
10.42,-0.0004,8.6094
10.62,-0.0046,8.5703
10.82,-0.0036,8.5859
11.02,-0.0037,8.6094
11.22,-0.0020,8.6016
11.42,-0.0013,8.5859
11.62,-0.0072,8.5703
11.82,-0.0056,8.5469
12.03,-0.0030,8.5469
12.23,-0.0054,8.5156
12.43,-0.0059,8.6094
12.63,-0.0030,8.5703
12.83,-0.0031,8.5703
13.03,-0.0078,8.5859
13.23,-0.0052,8.6250
13.43,-0.0038,8.5391
13.64,-0.0265,8.5859
13.84,-0.1008,8.5859
14.04,-0.1717,8.5234
14.24,-0.1682,8.5859
14.44,-0.1866,8.5391
14.64,-0.1809,8.5000
14.84,-0.1792,8.6094
15.04,-0.1766,8.5859
15.24,-0.1785,8.5859
15.45,-0.1717,8.5625
15.65,-0.1750,8.6328
15.85,-0.1763,8.6562
16.05,-0.1748,8.5859
16.25,-0.1713,8.6719
16.45,-0.1744,8.5859
16.65,-0.1719,8.6250
16.85,-0.1745,8.5469
17.05,-0.1703,8.5469
17.26,-0.0413,8.5234
17.46,1.6639,8.5703
17.66,3.7493,8.5859
17.86,2.6268,8.5625
18.06,1.9620,8.5625
18.26,1.7263,8.6016
18.46,1.5464,8.5156
18.66,1.4001,8.5391
18.86,1.2270,8.5234
19.07,1.1328,8.6484
19.27,1.0508,8.5859
19.47,0.9834,8.5625
19.67,1.8513,8.5625
19.87,4.6239,8.5156
20.07,6.7036,8.5859
20.27,8.9810,8.5703
20.47,9.6176,8.6094
20.67,7.7738,8.5859
20.88,6.7115,8.5625
21.08,5.7636,8.5859
21.28,5.2662,8.5625
21.48,4.8419,8.5625
21.68,4.4783,8.5391
21.88,4.0266,8.6328
22.08,3.7723,8.6094
22.28,3.5507,8.6016
