Time (s),Force (g),Ambient temperature (c)
6.19,-0.0265,7.3125
6.39,-0.0267,7.3281
6.59,-0.0253,7.3516
6.80,-0.0262,7.3750
7.00,-0.0278,7.2422
7.20,-0.0298,7.3281
7.40,-0.0260,7.2656
7.60,-0.0269,7.3047
7.80,-0.0307,7.3281
8.00,-0.0297,7.2734
8.20,-0.0254,7.3594
8.40,-0.0249,7.3359
8.60,-0.0272,7.3281
8.81,-0.0289,7.2891
9.01,-0.0283,7.3984
9.21,-0.0243,7.3594
9.41,-0.0302,7.2656
9.61,-0.0303,7.3281
9.81,-0.0340,7.3125
10.01,-0.0079,7.2656
10.21,1.0706,7.3359
10.41,3.1146,7.3047
10.61,5.0278,7.3516
10.81,6.1375,7.3125
11.02,5.2475,7.3984
11.22,4.3343,7.3125
11.42,5.6202,7.3359
11.62,6.8672,7.3125
11.82,7.9113,7.3047
12.02,9.2730,7.3125
12.22,10.1330,7.3125
12.42,10.9288,7.3984
12.62,11.7210,7.2656
12.82,12.8019,7.2656
13.03,13.4965,7.3125
13.23,14.1319,7.3594
13.43,14.6892,7.3594
13.63,15.4553,7.3125
13.83,15.8019,7.2734
14.03,16.2296,7.2500
14.23,16.7025,7.3984
14.43,17.5248,7.3594
14.64,18.0012,7.2656
14.84,18.2032,7.2734
15.04,18.9411,7.3047
15.24,19.4175,7.3594
15.44,19.8534,7.3125
15.64,20.0697,7.3125
15.84,20.3560,7.3125
16.04,20.8000,7.2500
16.24,21.2029,7.3516
16.44,21.5153,7.3125
16.65,22.0641,7.2188
16.85,22.4198,7.2656
17.05,22.7626,7.3594
17.25,23.0302,7.3125
17.45,23.5222,7.3594
17.65,23.8278,7.3281
17.85,24.0800,7.3750
18.05,24.5500,7.3750
18.25,24.7761,7.3047
18.46,24.8481,7.2891
18.66,25.1429,7.2734
18.86,25.5086,7.3125
19.06,25.5129,7.3125
19.26,25.7944,7.3125
19.46,26.0693,7.3125
19.66,26.4609,7.3047
19.86,26.7082,7.2500
20.06,26.9488,7.3125
20.27,27.1813,7.3281
20.47,27.5120,7.3281
20.67,27.7228,7.4141
20.87,26.1819,7.2500
21.07,20.8043,7.3750
21.27,18.4670,7.3516
21.47,16.5541,7.2656
21.67,14.9670,7.3281
21.88,13.0048,7.3281
22.08,11.8349,7.2188
22.28,10.8198,7.3359
22.48,9.9354,7.2734
22.68,8.7802,7.3359
22.88,8.1176,7.3594
23.08,7.5210,7.3281
23.28,7.0064,7.3281
23.48,6.2092,7.2734
23.69,5.7508,7.2500
23.89,5.2988,7.2734
24.09,4.7197,7.3359
24.29,4.4319,7.3281
24.49,4.1607,7.3125
24.69,3.8108,7.2891
24.89,3.3740,7.3594
25.09,3.1131,7.2734
25.29,2.8983,7.3750
25.50,2.7104,7.2734
25.70,2.3779,7.2734
25.90,2.1727,7.3125
26.10,1.9902,7.3281
26.30,1.8267,7.3047
26.50,1.5941,7.3047
26.70,1.4727,7.3281
26.90,1.6988,7.3594
27.10,1.5083,7.2656
27.31,1.3656,7.3125
27.51,1.2362,7.3359
27.71,1.1213,7.2891
27.91,0.9693,7.3594
28.11,0.8672,7.3750
28.31,0.7926,7.3594
28.51,0.7351,7.3047
28.71,0.6346,7.4141
28.92,0.5591,7.3516
29.12,0.4781,7.3125
29.32,0.4138,7.2422
29.52,0.4218,7.3594
29.72,0.3867,7.3594
29.92,0.3156,7.2734
30.12,0.2295,7.3750
30.32,0.1808,7.2734
30.52,0.1421,7.3750
30.73,0.1045,7.3750
30.93,0.0246,7.3281
31.13,-0.0231,7.3359
31.33,-0.0693,7.3125
31.53,-0.1197,7.3984
31.73,-0.1957,7.3750
31.93,-0.2435,7.3125
