Time (s),Force (g),Ambient temperature (c)
6.20,0.0260,17.9062
6.40,0.0297,17.8672
6.60,0.0272,17.8906
6.80,0.0270,17.9375
7.00,0.0309,17.8906
7.20,0.0270,17.9531
7.40,0.0285,17.9062
7.60,0.0295,17.9531
7.80,0.0344,17.8437
8.00,0.0342,17.8906
8.21,0.0330,17.8828
8.41,0.0331,17.9062
8.61,0.0371,17.8672
8.81,0.0334,17.8828
9.01,0.0406,17.9141
9.21,0.0416,17.8906
9.41,0.0404,17.9062
9.61,0.0406,17.8672
9.81,0.0398,17.8594
10.02,0.0414,17.8281
10.22,0.0479,17.8906
10.42,0.0496,17.8828
10.62,0.0691,17.8906
10.82,1.0067,17.9141
11.02,2.8490,17.8906
11.22,4.3600,17.9609
11.42,5.1168,17.8281
11.62,5.7236,17.8672
11.82,6.1986,17.8203
12.03,6.8685,17.8594
12.23,7.2710,17.8203
12.43,7.6175,17.9062
12.63,7.6489,17.9297
12.83,8.1336,17.8672
13.03,8.4205,17.8906
13.23,8.6822,17.8828
13.43,9.0377,17.9141
13.64,9.2647,17.8906
13.84,9.4816,17.9141
14.04,9.6854,17.9141
14.24,9.9654,17.9141
14.44,10.1407,17.8906
14.64,10.3057,17.9141
14.84,10.4537,17.8906
15.04,10.6598,17.8906
15.24,10.7875,17.8828
15.45,10.9018,17.8906
15.65,11.0069,17.8906
15.85,11.1467,17.8828
16.05,11.2312,17.8906
16.25,11.3067,17.9375
16.45,11.4030,17.8437
16.65,11.4609,17.8906
16.85,11.5117,17.8906
17.05,11.5544,17.9531
17.26,11.6001,17.9609
17.46,11.6271,17.8594
17.66,11.6438,17.9297
17.86,11.6501,17.9609
18.06,11.6518,17.9609
18.26,11.6513,17.8906
18.46,11.6458,17.8437
18.66,11.6243,17.9531
18.86,11.6105,17.9297
19.07,11.5934,17.8906
19.27,11.5678,17.9531
19.47,11.5476,17.8594
19.67,11.5287,17.7969
19.87,11.5101,17.9141
20.07,11.4980,17.9531
20.27,11.4777,17.8906
20.47,11.4534,17.8906
20.67,9.8945,17.8828
20.88,8.0599,17.8906
21.08,6.4887,17.9297
21.28,5.7175,17.8906
21.48,5.0830,17.9141
21.68,4.3027,17.9062
21.88,3.8731,17.9297
22.08,3.4972,17.8672
22.28,3.1638,17.8906
22.49,2.7328,17.9141
22.69,2.4815,17.9297
22.89,2.2578,17.9141
23.09,2.0558,17.9141
23.29,1.7834,17.9141
23.49,1.6264,17.9844
23.69,1.4883,17.8906
23.89,1.3987,17.8906
24.09,1.2479,17.9297
24.30,1.1339,17.9141
24.50,1.0338,17.8906
24.70,0.8978,17.9609
24.90,0.8160,17.9297
25.10,0.7372,17.9531
25.30,0.6684,17.8828
25.50,0.5751,17.9609
25.70,0.5114,17.9297
25.90,0.4610,17.9141
26.11,0.4050,17.9375
26.31,0.3317,17.9609
26.51,0.2941,17.9062
26.71,0.2499,17.9766
26.91,0.2151,17.9609
27.11,0.1615,17.8437
27.31,0.1261,17.9297
27.51,0.0946,17.8437
27.71,0.0557,17.8906
27.92,0.0325,17.8594
28.12,0.0051,17.9297
28.32,-0.0180,17.9297
28.52,-0.0536,17.9297
28.72,-0.0725,17.9062
28.92,-0.0902,17.9609
29.12,-0.1095,17.9062
29.32,-0.1335,17.9141
29.53,-0.1519,17.9062
29.73,-0.1615,17.8672
29.93,-0.1782,17.9297
30.13,-0.1988,17.8281
30.33,-0.2082,17.9141
30.53,-0.2223,17.9531
30.73,-0.2380,17.9531
30.93,-0.2478,17.9531
31.13,-0.2580,17.9609
31.34,-0.2662,17.8906
31.54,-0.2800,17.9062
31.74,-0.2834,17.9297
31.94,-0.2941,17.9062
32.14,-0.3003,17.8828
32.34,-0.3104,18.0078
32.54,-0.3162,17.9062
32.74,-0.3205,17.9141
32.95,-0.3330,17.9062
33.15,-0.3401,17.9062
33.35,-0.3432,17.8828
33.55,-0.3464,17.8906
33.75,-0.3510,17.9531
33.95,-0.3569,18.0078
34.15,-0.3590,17.8281
