Time (s),Force (g)
6.20,-0.0006
6.40,-0.0002
6.61,0.0019
6.81,-0.0021
7.01,-0.0011
7.21,-0.0038
7.41,-0.0035
7.61,-0.0015
7.81,-0.0040
8.01,-0.0051
8.21,-0.0059
8.41,-0.0027
8.61,-0.0020
8.82,-0.0009
9.02,-0.0031
9.22,-0.0067
9.42,-0.0059
9.62,-0.0046
9.82,-0.0046
10.02,-0.0067
10.22,-0.0080
10.42,0.3585
10.63,1.4367
10.83,2.5314
11.03,3.5581
11.23,4.9654
11.43,5.7937
11.63,6.5749
11.83,7.3455
12.03,8.5415
12.23,9.3455
12.43,10.1514
12.64,10.9469
12.84,12.0577
13.04,12.8013
13.24,13.5062
13.44,14.2409
13.64,15.2746
13.84,15.9351
14.04,16.6304
14.24,17.3200
14.44,18.3660
14.65,19.0521
14.85,19.7016
15.05,20.3064
15.25,21.1171
15.45,21.5375
15.65,22.0557
15.85,22.4782
16.05,22.9777
16.26,23.3612
16.46,23.7130
16.66,24.1243
16.86,24.9064
17.06,25.4040
17.26,25.8537
17.46,26.1869
17.66,26.8657
17.86,27.3282
18.07,27.8228
18.27,28.2414
18.47,28.7421
18.67,29.0862
18.87,29.4417
19.07,29.6810
19.27,30.1795
19.47,30.5137
19.67,30.7601
19.88,31.0442
20.08,31.5020
20.28,31.8024
20.48,32.0767
20.68,32.3730
20.88,32.7599
21.08,32.6174
21.28,31.6586
21.48,30.6867
21.69,29.3203
21.89,28.4004
22.09,27.5416
22.29,26.6087
22.49,25.3013
22.69,24.5902
22.89,23.9716
23.09,23.3738
23.30,22.4875
23.50,21.9200
23.70,21.3022
23.90,20.6767
24.10,19.8149
24.30,19.2368
24.50,18.6236
24.70,17.9952
24.90,17.1343
25.11,16.5560
25.31,16.0552
25.51,15.5844
25.71,14.8874
25.91,14.4102
26.11,13.9346
26.31,13.4897
26.51,12.7920
26.71,12.3119
26.92,11.8359
27.12,11.4095
27.32,10.8095
27.52,10.4550
27.72,10.1315
27.92,9.6606
28.12,9.3575
28.32,9.0281
28.52,8.7299
28.73,8.4359
28.93,8.0668
29.13,7.8594
29.33,7.6403
29.53,7.3171
29.73,7.1239
29.93,6.9242
30.13,6.6996
30.34,6.3874
30.54,6.2020
30.74,6.0027
30.94,5.7881
31.14,5.4789
31.34,5.2699
31.54,5.0805
31.74,4.8932
31.94,4.6519
32.15,4.4894
32.35,4.3025
32.55,4.1057
32.75,3.8720
32.95,3.7260
33.15,3.5793
33.35,3.4192
33.55,3.2355
33.76,3.1262
33.96,3.0175
34.16,2.9065
34.36,2.7262
34.56,2.6200
34.76,2.4963
34.96,2.3662
35.16,2.1747
35.36,2.0602
35.56,1.9551
35.77,1.8678
35.97,1.7398
36.17,1.6529
36.37,1.5834
36.57,1.5206
36.77,1.4338
36.97,1.3714
37.17,1.3039
37.38,1.2385
37.58,1.1410
37.78,1.0751
37.98,0.9995
38.18,0.9351
38.38,0.8439
38.58,0.7911
38.78,0.7453
38.99,0.7055
39.19,0.6409
39.39,0.5990
39.59,0.5607
39.79,0.5218
39.99,0.4607
40.19,0.4243
40.39,0.3872
40.59,0.3490
40.79,0.2908
41.00,0.2568
41.20,0.2290
41.40,0.1967
41.60,0.1449
41.80,0.1103
42.00,0.0816
42.20,0.0602
42.40,0.0218
42.61,-0.0005
42.81,-0.0341
43.01,-0.0626
43.21,-0.1056
43.41,-0.1369
43.61,-0.1596
43.81,-0.1853
44.01,-0.2077
44.21,-0.2242
44.42,-0.2461
44.62,-0.2638
44.82,-0.2859
45.02,-0.3045
45.22,-0.3258
45.42,-0.3477
