.Time (s),Force (g)
6.20,-0.0035
6.40,-0.0013
6.60,-0.0066
6.80,-0.0066
7.00,-0.0074
7.21,-0.0041
7.41,-0.0064
7.61,-0.0056
7.81,-0.0062
8.01,-0.0038
8.21,-0.0054
8.41,-0.0053
8.61,-0.0039
8.81,-0.0040
9.01,-0.0071
9.22,-0.0027
9.42,-0.0039
9.62,0.0027
9.82,-0.0007
10.02,-0.0041
10.22,0.0001
10.42,0.3847
10.62,1.5501
10.82,2.8007
11.03,3.9428
11.23,5.5659
11.43,6.6220
11.63,7.6476
11.83,8.6773
12.03,10.1934
12.23,11.1602
12.43,12.0911
12.64,12.9523
12.84,14.2536
13.04,15.0819
13.24,15.8978
13.44,16.7067
13.64,17.9006
13.84,18.6339
14.04,19.3240
14.24,19.9617
14.44,20.8317
14.65,21.3972
14.85,21.9657
15.05,22.5007
15.25,23.2307
15.45,23.7216
15.65,24.2653
15.85,24.7695
16.05,25.4524
16.26,25.9180
16.46,26.4521
16.66,27.0251
16.86,27.7898
17.06,28.2600
17.26,28.6541
17.46,28.9726
17.66,29.5531
17.86,29.9858
18.07,30.3809
18.27,30.8470
18.47,31.3729
18.67,31.7173
18.87,32.0298
19.07,32.2973
19.27,32.8471
19.47,33.2181
19.67,33.5607
19.88,33.8929
20.08,34.2361
20.28,34.3732
20.48,34.6508
20.68,34.3732
20.88,34.1510
21.08,32.9713
21.28,31.8964
21.48,30.9153
21.69,29.5411
21.89,28.7028
22.09,27.9472
22.29,26.8980
22.49,26.2330
22.69,25.5507
22.89,24.8635
23.09,24.2477
23.30,23.3477
23.50,22.6965
23.70,22.0427
23.90,21.1569
24.10,20.5266
24.30,19.9046
24.50,19.2639
24.70,18.2855
24.90,17.6257
25.11,17.0690
25.31,16.5905
25.51,15.8862
25.71,15.3651
25.91,14.8766
26.11,14.3815
26.31,13.6527
26.51,13.1425
26.71,12.6792
26.92,12.2668
27.12,11.6352
27.32,11.2392
27.52,10.8670
27.72,10.5277
27.92,10.0678
28.12,9.7631
28.32,9.4578
28.52,9.1655
28.73,8.7327
28.93,8.4518
29.13,8.1657
29.33,7.8758
29.53,7.4774
29.73,7.2455
29.93,7.0374
30.13,6.8403
30.34,6.5257
30.54,6.2926
30.74,6.0974
30.94,5.9311
31.14,5.6996
31.34,5.5289
31.54,5.3752
31.74,5.2542
31.94,5.0723
32.15,4.9456
32.35,4.8179
32.55,4.6976
32.75,4.4760
32.95,4.3401
33.15,4.2212
33.35,4.1103
33.55,3.9603
33.76,3.8524
33.96,3.7609
34.16,3.6679
34.36,3.5312
34.56,3.4472
34.76,3.3653
34.96,3.2916
35.16,3.1720
35.36,3.0850
35.56,3.0197
35.77,2.9466
35.97,2.8166
36.17,2.7454
36.37,2.6774
36.57,2.6154
36.77,2.5207
36.97,2.4580
37.17,2.3769
37.38,2.2938
37.58,2.1980
37.78,2.1315
37.98,2.0633
38.18,2.0113
38.38,1.9433
38.58,1.8932
38.78,1.8499
38.99,1.8183
39.19,1.7557
39.39,1.7184
39.59,1.6850
39.79,1.6456
39.99,1.6033
40.19,1.5745
40.39,1.5326
40.59,1.4936
40.79,1.4491
41.00,1.4208
41.20,1.3899
41.40,1.3586
41.60,1.3106
41.80,1.2765
42.00,1.2505
42.20,1.2172
42.40,1.1836
42.61,1.1601
42.81,1.1327
43.01,1.1141
43.21,1.0767
43.41,1.0586
43.61,1.0374
43.81,1.0203
44.01,0.9831
44.21,0.9683
44.42,0.9522
44.62,0.9326
44.82,0.9098
45.02,0.8952
45.22,0.8790
45.42,0.8623
