Force (g),Input Signal
0.0063,0
0.0121,0
0.0132,0
0.0137,0
0.0118,0
0.0084,0
0.0142,0
0.0164,0
0.0151,0
0.0191,0
0.0188,0
0.0182,0
0.0190,0
0.0192,0
0.0217,0
0.0195,0
0.0166,0
0.0193,0
0.0175,0
0.0222,0
0.0169,0
0.0201,0
0.0203,0
0.0170,0
0.0196,0
0.0201,0
0.0207,0
0.0225,0
0.0233,0
0.0187,0
0.0173,0
0.0201,0
0.0177,0
0.0178,0
-0.0190,0
-0.0255,0
-0.0240,0
-0.0219,0
-0.0193,0
-0.0295,0
-0.0252,0
-0.0607,0
0.0287,0
0.0599,0
0.0718,0
0.0729,0
0.0637,0
0.0619,0
0.0601,0
0.0630,0
0.0594,0
0.0594,0
0.0637,0
0.0631,0
0.0585,0
0.0562,0
0.0588,0
0.0632,0
0.0579,0
0.0512,0
0.0516,0
0.0531,0
0.0544,0
0.0562,0
0.0590,0
0.0577,0
0.0572,0
0.0560,0
0.0548,0
0.0619,0
0.0638,0
0.0602,0
0.0599,0
0.0575,0
0.0541,0
0.0554,0
0.0544,0
0.0552,0
0.0535,0
0.0582,0
0.0516,0
0.0625,0
0.0668,0
0.0664,0
0.0678,0
0.0673,0
0.0636,0
0.0652,0
0.0696,0
0.0697,0
0.0743,0
0.0744,0
0.0764,0
0.0800,0
0.0796,0
0.0771,0
0.0858,0
0.0819,0
0.0799,0
0.0805,0
0.0833,0
0.0828,0
0.0845,0
0.0828,0
0.0812,0
0.0839,0
0.0794,0
0.0804,0
0.0854,0
0.0838,0
0.0730,0
0.0792,0
0.0755,0
0.0775,0
0.0811,0
0.0786,0
0.0793,0
0.0822,0
0.0799,0
0.0836,1
0.2677,1
0.7661,1
1.0610,1
1.4054,1
1.7711,1
2.3994,1
2.8267,1
3.3200,1
3.8433,1
4.6869,1
5.1934,1
5.7632,1
6.3001,1
6.8220,1
7.1556,1
7.4589,1
7.5478,1
7.6974,1
7.7385,1
7.8121,1
7.9181,1
8.1718,1
8.2297,1
8.2378,1
8.2301,1
8.6019,1
8.8737,1
9.0950,1
9.0430,1
8.8430,1
9.0739,1
9.4860,1
9.7799,1
9.7878,1
9.8796,1
10.0270,1
10.2352,1
10.4840,1
10.8431,1
11.1580,1
11.4031,1
11.8790,1
12.1341,1
12.2161,1
12.2021,1
11.9930,1
12.0387,1
12.3583,1
12.6340,1
12.9793,1
13.0429,1
13.1354,1
13.4257,1
13.2393,1
13.1296,1
13.2590,1
13.2860,1
13.1814,1
13.3321,1
13.5146,1
13.6160,1
13.6857,1
13.7627,1
13.8329,1
13.9480,1
13.4656,1
13.0032,1
13.0867,1
13.0726,1
12.9675,1
12.5081,1
12.1099,1
11.9128,1
11.5720,1
11.0756,1
11.4458,1
11.6865,1
11.6209,1
11.3340,1
11.1338,1
10.9638,1
10.7982,1
11.0078,1
11.1740,1
11.1177,1
11.1763,1
11.3693,1
11.5062,1
11.3678,1
11.1163,1
11.1911,1
11.6373,1
12.0006,1
12.2567,1
12.3085,1
12.2511,1
12.1661,1
11.9199,1
11.7412,1
11.9227,1
12.0986,1
12.0793,1
12.2777,1
12.6405,1
12.8451,1
12.6528,1
12.4543,1
12.4046,1
12.3184,1
12.1217,1
11.9025,1
11.8265,1
11.8493,1
11.7994,1
11.3840,1
11.2158,1
11.2555,1
11.1980,1
11.0054,1
10.9001,1
10.9596,1
10.9381,1
11.1459,1
11.5124,1
11.8348,1
11.9072,1
11.8727,1
11.7254,1
11.5731,1
11.4713,1
11.9781,1
12.4985,1
12.9981,1
13.1828,1
12.9513,1
12.8154,1
12.4925,1
12.3516,1
12.7643,1
12.7604,1
12.9173,1
13.1022,1
13.2963,1
13.3553,1
13.2790,1
13.1828,1
13.1422,1
12.8512,1
12.5838,0
12.0637,0
9.3998,0
7.8459,0
6.5143,0
5.2720,0
3.6323,0
2.7745,0
2.1671,0
1.7609,0
1.3531,0
1.1411,0
0.9289,0
0.7412,0
0.5190,0
0.3907,0
0.2762,0
0.1879,0
0.0836,0
0.0107,0
-0.0501,0
-0.1025,0
-0.1660,0
-0.1944,0
-0.2210,0
-0.2432,0
-0.2704,0
-0.2778,0
-0.2890,0
-0.3037,0
-0.3174,0
-0.3241,0
-0.3303,0
-0.3369,0
-0.3384,0
-0.3443,0
-0.3431,0
-0.3410,0
-0.3406,0
-0.3466,0
-0.3437,0
-0.3449,0
-0.3410,0
-0.3500,0
-0.3483,0
-0.3463,0
-0.3413,0
-0.3416,0
-0.3470,0
-0.3411,0
-0.3369,0
-0.3436,0
-0.3454,0
-0.3440,0
-0.3401,0
-0.3346,0
-0.3272,0
-0.3341,0
-0.3322,0
-0.3355,0
-0.3370,0
-0.3354,0
-0.3313,0
-0.3286,0
-0.3263,0
-0.3228,0
-0.3211,0
-0.3119,0
-0.3124,0
-0.3090,0
-0.3077,0
-0.3110,0
-0.3063,0
-0.3131,0
-0.3097,0
-0.3052,0
-0.3022,0
-0.2981,0
-0.2974,0
-0.2998,0
-0.2941,0
-0.2957,0
-0.2898,0
-0.2859,0
