Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,1
-0.0089,1
0.0000,1
0.0089,1
0.0267,1
0.0534,1
0.0712,1
0.0890,1
0.0979,1
0.1068,1
0.1157,1
0.1157,1
0.1246,1
0.1335,1
0.1335,1
0.1335,1
0.1335,1
0.1424,1
0.1424,1
0.1513,1
0.1513,1
0.1513,1
0.1513,1
0.6495,1
2.4022,1
3.2652,1
3.3186,1
3.3720,1
3.5055,1
3.9681,1
3.9681,1
3.9681,1
3.9681,1
3.9770,1
3.9948,1
3.9948,1
3.9948,1
3.9948,1
3.9948,1
4.0838,1
4.1727,1
4.2528,1
4.4663,1
4.5731,1
4.5998,1
4.5998,1
4.5998,1
4.5998,1
4.7955,1
4.9735,1
4.9646,1
5.3205,1
5.5607,1
5.5518,1
5.5518,1
5.5518,1
5.5518,1
5.5251,1
5.5340,1
5.5340,1
5.5340,1
5.5340,1
5.5340,1
5.5340,1
5.5518,1
5.6497,1
5.6941,1
5.7564,1
5.8009,1
5.9255,1
6.3881,1
6.3703,1
6.4059,1
7.0287,1
7.4736,1
7.4291,1
7.4024,1
7.8739,1
8.7103,1
8.7992,1
8.7725,1
7.6871,1
7.4113,1
7.4291,1
7.5002,1
7.5180,1
7.5269,1
8.0608,1
8.0875,1
8.0608,1
8.0608,1
8.0608,1
8.0608,1
8.0608,1
8.0608,1
8.0608,1
8.0875,1
8.1497,1
8.2298,1
8.5056,1
8.5412,1
8.5857,1
8.5946,1
8.6213,1
9.2441,1
9.3597,1
9.3064,1
9.3064,1
9.3064,1
9.4131,1
9.7512,1
10.0092,1
10.3384,1
10.8011,1
11.1036,1
11.1392,1
9.3597,1
9.2441,1
9.2352,1
9.2352,1
9.2352,1
9.2352,1
9.2352,1
9.2352,1
9.2352,1
9.3241,1
9.7512,1
10.1783,1
10.4274,1
10.3562,1
10.3562,1
10.3473,1
10.3473,1
10.3829,1
10.4452,1
10.7833,1
10.8722,1
11.0146,1
11.3082,1
11.4772,1
11.3438,1
11.3438,1
11.3438,1
11.3438,1
11.3438,1
11.3438,1
11.3438,1
11.3438,1
11.3438,1
11.3438,0
11.3438,0
11.3438,0
11.3260,0
11.2993,0
11.2904,0
11.2904,0
11.2815,0
11.2815,0
11.2815,0
11.2815,0
11.2548,0
11.2370,0
11.2103,0
11.2103,0
11.1925,0
9.5644,0
4.4396,0
4.0927,0
4.0838,0
4.0482,0
4.0393,0
4.0215,0
3.3186,0
3.1763,0
3.1496,0
3.1140,0
3.1051,0
3.0428,0
2.2777,0
2.2599,0
2.2510,0
2.2332,0
2.1709,0
1.7438,0
1.6638,0
1.6638,0
1.6104,0
1.1566,0
1.1655,0
1.1655,0
1.0765,0
0.6584,0
0.6584,0
0.6584,0
0.4093,0
0.2135,0
0.2046,0
0.2046,0
0.2046,0
0.2046,0
0.2224,0
0.1335,0
-0.3114,0
-0.3114,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.2936,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
-0.3025,0
