Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,1
0.0000,1
0.0356,1
0.8986,1
2.5357,1
3.6834,1
4.7244,1
5.7475,1
6.6639,1
7.6604,1
8.3188,1
9.0483,1
9.5555,1
10.2583,1
10.9345,1
11.5306,1
11.9488,1
12.4559,1
13.3990,1
14.2887,1
15.3653,1
16.1037,1
16.5219,1
16.7888,1
17.2959,1
17.7675,1
18.3458,1
19.1465,1
19.8583,1
20.7569,1
21.4598,1
21.7623,1
22.0826,1
22.1538,1
22.1893,1
22.2338,1
22.2605,1
22.2783,1
22.2872,1
22.2961,1
22.3050,1
22.3139,1
22.3228,1
22.3317,1
22.3495,1
22.3673,1
22.3673,1
22.3762,1
22.3762,1
22.3762,1
22.3762,1
22.3762,1
22.3762,1
22.3762,1
23.9510,1
28.9956,1
29.6629,1
30.6683,1
31.6292,1
32.1808,1
32.8925,1
33.8979,1
34.7698,1
35.7930,1
36.4603,1
36.9407,1
37.2343,1
37.3055,1
37.3144,1
37.3144,1
37.3411,1
37.3678,1
37.3678,1
39.2806,1
40.5618,1
41.0868,1
41.5316,1
41.7985,1
42.2256,1
42.4836,1
42.5904,1
42.6349,1
42.6526,1
42.6615,1
42.6882,1
43.2932,1
44.9926,1
45.4107,1
45.8467,1
46.5051,1
47.1635,1
47.8219,1
48.7560,1
49.7703,1
50.7935,1
51.6743,1
52.6174,1
53.3558,1
54.2900,1
55.0730,1
56.0961,1
57.4218,1
58.4895,1
59.2368,1
60.0820,1
60.6781,1
61.3810,1
62.0750,1
62.4576,1
62.8846,1
63.4629,1
63.9523,1
64.5662,1
65.0377,1
65.5804,1
66.2299,1
66.8171,1
67.4488,1
67.8937,1
68.3385,1
68.7033,1
68.9969,1
69.6909,1
70.3938,1
70.9899,1
71.3547,1
71.7105,1
72.3066,1
72.8583,1
73.7035,1
74.8334,1
75.9456,1
76.6217,1
77.2445,1
77.9029,1
78.3656,1
78.8193,1
79.2731,1
79.9048,1
80.3941,1
80.8479,1
81.3461,1
82.0401,1
82.6540,1
83.1522,1
83.5971,1
84.1754,1
84.6914,1
84.9850,1
85.2697,0
85.2608,0
85.2519,0
85.2341,0
85.2252,0
85.2163,0
85.2074,0
85.2074,0
85.2074,0
85.1985,0
85.1985,0
85.1985,0
85.1985,0
85.1985,0
85.1985,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1896,0
85.1807,0
78.8994,0
49.1831,0
46.7720,0
45.1082,0
42.7772,0
40.9800,0
39.5831,0
38.3554,0
36.9140,0
35.6062,0
34.3961,0
32.8925,0
31.4156,0
30.2768,0
29.0935,0
27.9369,0
26.9315,0
25.7571,0
24.6627,0
23.6307,0
22.7410,0
21.8513,0
21.1484,0
20.5345,0
19.8405,0
19.3779,0
18.9864,0
18.7106,0
18.3280,0
18.0433,0
17.7052,0
17.3582,0
17.0201,0
16.7799,0
16.4151,0
16.2372,0
16.1304,0
16.0770,0
16.0503,0
16.0326,0
14.7247,0
14.4133,0
14.3688,0
14.3154,0
14.2798,0
14.2709,0
14.2620,0
13.5770,0
11.6374,0
11.6374,0
11.6374,0
11.6374,0
11.6374,0
11.6374,0
11.6374,0
11.6374,0
10.9523,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.7636,0
8.9327,0
7.8116,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
7.8383,0
