Force (g),Input Signal
-0.0090,0
-0.0137,0
-0.0104,0
-0.0116,0
-0.0132,0
-0.0132,0
-0.0145,0
-0.0125,0
-0.0198,0
-0.0157,0
-0.0166,0
-0.0218,0
-0.0213,0
-0.0114,0
-0.0005,0
0.0045,0
-0.0065,0
-0.0001,0
-0.0028,0
-0.0005,0
-0.0039,0
-0.0075,0
-0.0033,0
-0.0024,0
-0.0032,0
-0.0072,0
-0.0038,0
-0.0111,0
-0.0055,0
-0.0067,0
-0.0069,0
-0.0054,0
-0.0095,0
-0.0027,0
-0.0010,0
-0.0057,0
-0.0080,0
-0.0099,0
-0.0103,0
-0.0108,0
-0.0048,0
-0.0156,0
-0.0132,0
-0.0096,0
-0.0143,0
-0.0147,0
-0.0158,0
-0.0067,0
-0.0137,0
-0.0101,0
-0.0111,0
-0.0119,0
-0.0103,0
-0.0153,0
-0.0138,0
-0.0234,0
-0.0259,0
-0.0202,0
-0.0220,0
-0.0229,0
-0.0249,0
-0.0224,0
-0.0228,0
-0.0195,0
-0.0179,0
-0.0189,0
-0.0188,0
-0.0223,0
-0.0248,0
-0.0211,0
-0.0243,0
-0.0223,0
-0.0199,0
-0.0224,0
-0.0200,0
-0.0221,0
-0.0257,0
-0.0242,0
-0.0255,0
-0.0217,0
-0.0284,0
-0.0320,0
-0.0286,0
-0.0262,0
-0.0283,0
-0.0301,0
-0.0290,0
-0.0312,0
-0.0270,0
-0.0306,0
-0.0296,0
-0.0278,0
-0.0332,0
-0.0325,0
-0.0360,0
-0.0309,0
-0.0419,0
-0.0394,0
-0.0348,0
-0.0419,0
-0.0416,0
-0.0394,0
-0.0402,0
-0.0391,0
-0.0443,0
-0.0445,0
-0.0456,0
-0.0457,0
-0.0435,0
-0.0449,0
-0.0409,0
-0.0466,0
-0.0431,0
-0.0461,0
-0.0474,0
-0.0494,0
-0.0492,0
-0.0497,0
-0.0530,1
0.0305,1
2.2355,1
3.6487,1
5.0760,1
6.5834,1
8.8090,1
10.0717,1
11.3071,1
12.5095,1
14.1174,1
15.0302,1
15.9277,1
16.7306,1
17.8055,1
18.3815,1
18.9836,1
19.6137,1
20.5068,1
21.0426,1
21.5288,1
22.0461,1
23.0023,1
23.6735,1
24.2811,1
24.7687,1
25.2855,1
25.7568,1
26.2595,1
26.7913,1
27.5928,1
27.9421,1
28.1308,1
28.3551,1
28.9371,1
29.0307,1
29.2656,1
29.5461,1
30.1087,1
30.3339,1
30.5403,1
30.7352,1
31.3445,1
31.9407,1
32.4625,1
32.9567,1
33.6959,1
34.0704,1
34.1377,1
34.0000,1
34.1229,1
34.3851,1
34.7480,1
35.1471,1
35.8932,1
36.0999,1
36.2850,1
36.1445,1
36.1691,1
36.4382,1
36.4465,1
36.5023,1
36.6980,1
36.7905,1
36.8047,1
36.9116,1
37.3003,1
37.5044,1
37.6980,1
38.0111,1
38.7046,1
39.0398,1
39.1597,1
39.2387,1
39.6825,1
40.2129,1
40.5140,1
40.4228,1
40.5205,1
40.5941,1
40.6893,1
41.0396,1
41.1367,1
41.2685,1
41.6706,1
42.1100,1
42.3085,1
42.5880,1
42.9545,1
43.0256,1
43.0878,1
43.3215,1
43.4943,1
43.8335,1
43.6325,1
43.5569,1
43.3657,1
43.0698,1
42.6420,1
42.1607,1
41.8654,1
41.5698,1
41.0977,1
40.6621,1
40.2070,1
39.5577,1
39.3425,1
39.4698,1
39.7102,1
39.8730,1
39.7521,1
39.7628,1
39.6702,1
39.5900,1
39.7609,1
39.8889,1
39.9375,1
40.0751,1
40.2395,1
40.3700,1
40.4254,1
40.4872,1
40.4305,1
40.3924,1
40.4722,1
40.6792,1
40.7602,1
40.9526,1
41.1685,1
41.1390,1
41.2322,1
41.4334,1
41.7560,1
42.0020,1
42.0007,1
42.1853,1
42.4176,1
42.5469,1
42.5429,1
42.6002,1
42.7317,1
42.8719,1
42.8422,1
42.7292,1
42.7540,1
43.1861,1
43.6507,1
44.0218,1
44.4908,1
45.1807,1
45.4201,0
43.6479,0
41.6582,0
38.6838,0
36.8346,0
35.1845,0
33.7409,0
31.6033,0
30.1435,0
28.6296,0
27.2380,0
25.3239,0
24.1875,0
23.0841,0
22.0189,0
20.2774,0
19.0032,0
17.6956,0
16.4407,0
14.7251,0
13.6829,0
12.6589,0
11.6673,0
10.0967,0
9.0337,0
8.0918,0
7.2678,0
6.1960,0
5.4959,0
4.7058,0
3.8577,0
2.6312,0
1.9343,0
1.3633,0
0.9521,0
0.3497,0
-0.0463,0
-0.3782,0
-0.6586,0
-0.9881,0
-1.1689,0
-1.3205,0
-1.4620,0
-1.6585,0
-1.7905,0
-1.9050,0
-1.9832,0
-2.0939,0
-2.1388,0
-2.2530,0
-2.3166,0
-2.3977,0
-2.4239,0
-2.4471,0
-2.4636,0
-2.5117,0
-2.5628,0
-2.5877,0
-2.6063,0
-2.6492,0
-2.6842,0
-2.7020,0
-2.7316,0
-2.7660,0
-2.7918,0
-2.7843,0
-2.7888,0
-2.8158,0
-2.8351,0
-2.8213,0
-2.8279,0
-2.8340,0
-2.8437,0
-2.8516,0
-2.8645,0
-2.8826,0
-2.8839,0
-2.8956,0
-2.9071,0
-2.9145,0
-2.9246,0
-2.9294,0
-2.9355,0
-2.9410,0
-2.9482,0
-2.9567,0
