Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,1
0.0178,1
0.0979,1
0.1424,1
0.2669,1
0.7207,1
1.1655,1
1.6282,1
2.1353,1
2.6335,1
3.1318,1
3.6300,1
4.1727,1
4.7333,1
5.2938,1
5.8454,1
6.5483,1
7.2066,1
7.8739,1
8.5501,1
9.1818,1
9.8580,1
10.4007,1
10.8900,1
11.4239,1
12.0111,1
12.4737,1
12.9364,1
13.4346,1
13.8973,1
14.4133,1
14.9738,1
15.5076,1
15.9703,1
16.4863,1
16.9756,1
17.4828,1
17.8743,1
18.3280,1
18.8262,1
19.3423,1
19.8494,1
20.6146,1
21.2018,1
21.6733,1
22.0114,1
22.5363,1
22.9456,1
23.3015,1
23.6485,1
23.9243,1
24.1378,1
24.3780,1
24.7428,1
24.8229,1
24.8585,1
24.8941,1
24.9207,1
24.9474,1
24.9652,1
24.9741,1
24.9830,1
24.9919,1
25.0097,1
25.0275,1
25.0453,1
25.0542,1
25.0720,1
25.0809,1
25.0898,1
25.0987,1
25.1076,1
25.1165,1
25.1343,1
25.3122,1
28.2749,0
28.2660,0
28.2483,0
28.2305,0
28.2127,0
28.1860,0
26.6290,0
26.2286,0
25.5169,0
25.3389,0
25.3211,0
25.3122,0
25.3033,0
25.2944,0
25.2855,0
25.2855,0
25.2766,0
25.2677,0
25.2677,0
25.2588,0
25.2588,0
25.2499,0
19.4935,0
17.7942,0
17.1091,0
16.6020,0
16.1126,0
15.5699,0
15.1517,0
14.8937,0
14.2620,0
13.8172,0
13.2923,0
12.8830,0
12.5004,0
12.1801,0
11.8420,0
11.4683,0
11.0769,0
10.7566,0
10.4274,0
10.1961,0
10.0804,0
9.5911,0
9.4754,0
9.3686,0
8.9149,0
8.8081,0
8.7458,0
8.7014,0
8.6391,0
8.5590,0
7.6871,0
7.5892,0
7.5269,0
7.4647,0
6.8775,0
6.2636,0
6.2636,0
6.2636,0
6.2547,0
6.2547,0
6.2458,0
6.2369,0
6.1301,0
4.2706,0
5.5073,0
5.5073,0
5.5073,0
5.4984,0
5.4895,0
5.4806,0
5.4806,0
5.4717,0


