Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,1
0.0000,1
0.0267,1
0.0979,1
0.4004,1
1.0321,1
1.4413,1
1.7616,1
1.8239,1
1.8417,1
1.8595,1
1.8684,1
1.8773,1
1.8862,1
1.8951,1
1.8951,1
1.9040,1
1.9129,1
1.9218,1
1.9218,1
1.9307,1
2.2688,1
6.8508,1
7.0465,1
7.1355,1
8.1230,1
8.3366,1
8.7903,1
9.0039,1
9.3864,1
9.7512,1
9.9114,1
10.0003,1
10.0359,1
10.0537,1
10.0804,1
10.0893,1
10.1160,1
10.1427,1
10.1694,1
10.1961,1
10.2139,1
11.7175,1
13.5325,1
13.6748,1
14.2087,1
14.3866,1
14.7603,1
14.9827,1
15.3564,1
15.8101,1
16.2283,1
16.7888,1
17.3938,1
17.8920,1
18.1856,1
18.2568,1
18.3013,1
18.3280,1
18.3547,1
18.3725,1
18.3903,1
18.4081,1
18.4170,1
18.4259,1
18.7551,1
21.4776,1
21.6644,1
21.7445,1
21.8157,1
21.8957,1
22.7143,1
22.8210,1
22.8922,1
22.9367,1
22.9723,0
22.9545,0
22.9100,0
22.8922,0
22.8833,0
22.8744,0
22.8922,0
22.9545,0
20.4366,0
18.5504,0
18.5237,0
18.5059,0
18.4881,0
18.4437,0
14.7336,0
13.4168,0
12.9275,0
12.8919,0
12.5004,0
12.0022,0
11.4595,0
10.9879,0
10.1338,0
9.5644,0
9.5199,0
9.3153,0
7.4380,0
7.3045,0
7.2956,0
7.2600,0
7.2066,0
7.0910,0
6.5572,0
5.2137,0
5.2315,0
5.2226,0
5.2048,0
5.0891,0
4.8489,0
4.6265,0
4.4930,0
4.1727,0
3.4254,0
2.3043,0
0.5783,0
2.6068,0
2.6068,0
2.5891,0
1.6193,0
1.0765,0
-0.2758,0
1.5837,0
1.5837,0
1.5748,0
1.5659,0
1.5570,0
1.5570,0
1.5481,0
1.5481,0
1.5392,0
1.5392,0
1.5392,0
1.5303,0
1.5303,0
1.5303,0
1.5303,0
1.5214,0
1.5214,0
1.5214,0
1.5214,0
1.5125,0
1.5125,0
1.5125,0
1.5125,0
1.5125,1
1.5125,1
1.5125,1
1.5125,1
1.5036,1
1.5036,1
1.5036,1
