Force (g),Time (s)
0.0157,6.20
0.0181,6.40
0.0178,6.60
0.0188,6.80
0.0163,7.01
0.0159,7.21
0.0212,7.41
0.0220,7.61
0.0196,7.81
0.0200,8.01
0.0200,8.21
0.0243,8.41
0.0217,8.61
0.0218,8.81
0.0284,9.02
0.0239,9.22
0.0242,9.42
0.0318,9.62
0.0293,9.82
0.0280,10.02
0.0263,10.22
0.1337,10.42
1.5372,10.62
3.6289,10.82
6.3406,11.03
12.4456,11.23
16.8603,11.43
20.9868,11.63
24.7868,11.83
30.1231,12.03
33.2779,12.23
35.2817,12.43
38.4202,12.64
42.9038,12.84
45.4412,13.04
47.8636,13.24
49.9370,13.44
53.2851,13.64
55.5165,13.84
57.8221,14.04
60.2320,14.24
63.6114,14.44
65.9263,14.65
68.1247,14.85
69.2625,15.05
70.6745,15.25
71.6936,15.45
73.0719,15.65
74.5267,15.85
76.0171,16.05
76.6345,16.26
77.2317,16.46
77.8255,16.66
79.0456,16.86
79.4466,17.06
79.1353,17.26
78.6574,17.46
78.8035,17.66
78.8724,17.86
79.1291,18.07
79.5908,18.27
80.1370,18.47
80.6768,18.67
80.8189,18.87
80.6775,19.07
81.1676,19.27
81.4251,19.47
81.9589,19.67
82.5157,19.88
82.6834,20.08
82.6453,20.28
82.9786,20.48
83.8753,20.68
84.0497,20.88
79.5708,21.08
74.4994,21.28
69.6585,21.48
62.8508,21.69
58.5843,21.89
54.5335,22.09
50.8712,22.29
45.6161,22.49
42.1604,22.69
38.8131,22.89
35.7205,23.09
31.5714,23.30
29.0746,23.50
26.7449,23.70
24.3977,23.90
21.5669,24.10
19.7745,24.30
17.7889,24.50
15.9175,24.70
13.1539,24.90
11.5464,25.11
9.9596,25.31
8.0932,25.51
5.9289,25.71
4.8277,25.91
3.8474,26.11
3.0347,26.31
1.7031,26.51
1.1150,26.71
0.6717,26.92
0.2276,27.12
-0.2399,27.32
-0.4452,27.52
-0.6166,27.72
-0.7747,27.92
-0.9856,28.12
-1.1409,28.32
-1.2875,28.52
-1.4181,28.73
-1.5741,28.93
-1.6724,29.13
-1.7521,29.33
-1.8116,29.53
-1.8821,29.73
-1.9379,29.93
-1.9829,30.13
-2.0383,30.34
-2.1035,30.54
-2.1313,30.74
-2.1672,30.94
-2.2127,31.14
-2.2678,31.34
-2.3067,31.54
-2.3298,31.74
-2.3527,31.94
-2.3886,32.15
-2.4254,32.35
-2.4091,32.55
-2.4331,32.75
-2.4632,32.95
-2.4788,33.15
-2.4821,33.35
-2.4821,33.55
-2.4939,33.76
-2.4939,33.96
-2.5047,34.16
-2.5005,34.36
-2.5078,34.56
-2.5231,34.76
-2.5310,34.96
-2.5300,35.16
-2.5315,35.36
-2.5232,35.56
