Linear displacement (mm),Time (s)
0.0000,5.00
0.0000,5.20
0.0000,5.40
0.0000,5.60
0.0000,5.80
0.0000,6.01
0.0000,6.21
0.0000,6.41
0.0000,6.61
0.0000,6.81
0.0000,7.01
0.0000,7.21
0.0000,7.41
0.0000,7.61
0.0000,7.81
0.0000,8.02
0.0000,8.22
0.0000,8.42
0.0000,8.62
0.0000,8.82
0.0000,9.02
0.0000,9.22
0.0000,9.42
0.0000,9.62
0.0000,9.82
0.0000,10.03
0.0000,10.23
0.0000,10.43
0.0000,10.63
0.0000,10.83
0.0000,11.03
0.0000,11.23
0.0000,11.44
0.0000,11.64
0.0000,11.84
0.0000,12.04
0.0000,12.24
0.0000,12.44
0.0000,12.64
0.0000,12.84
0.0000,13.04
0.0000,13.25
0.0000,13.45
0.0000,13.65
0.0000,13.85
0.0000,14.05
0.0000,14.25
0.0000,14.45
0.0000,14.65
0.0000,14.85
0.0000,15.06
0.0000,15.26
0.0089,15.46
0.2580,15.66
1.4413,15.86
2.1887,16.06
2.9271,16.26
3.6745,16.46
4.3329,16.66
4.9646,16.86
5.6319,17.07
6.2813,17.27
6.9486,17.47
7.7761,17.67
8.5412,17.87
9.2085,18.07
9.9025,18.27
10.5964,18.47
11.2459,18.68
12.1089,18.88
12.8207,19.08
13.5592,19.28
14.3866,19.48
15.1695,19.68
16.0503,19.88
16.7799,20.08
17.4561,20.28
18.0255,20.49
18.3013,20.69
18.4970,20.89
18.6928,21.09
18.9063,21.29
19.0398,21.49
19.0932,21.69
19.1287,21.89
19.1287,22.09
19.1287,22.30
19.1198,22.50
19.1198,22.70
19.1198,22.90
19.1109,23.10
19.1021,23.30
18.8618,23.50
18.8618,23.70
17.7586,23.90
16.6642,24.11
18.2479,24.31
18.2212,24.51
18.2034,24.71
18.1679,24.91
16.5842,25.11
14.6713,25.31
15.6500,25.51
15.6322,25.72
15.6055,25.92
15.5699,26.12
14.6980,26.32
14.6001,26.52
13.8973,26.72
13.6303,26.92
13.0876,27.12
12.6517,27.32
12.2157,27.53
11.7708,27.73
11.3349,27.93
10.8900,28.13
10.4897,28.33
10.1160,28.53
9.8046,28.73
9.4843,28.93
9.1284,29.13
8.8615,29.34
8.5768,29.54
8.2921,29.74
8.1052,29.94
7.8917,30.14
7.6871,30.34
7.6159,30.54
7.5536,30.74
7.4913,30.94
7.0821,31.15
6.7084,31.35
6.5394,31.55
6.3703,31.75
6.1390,31.95
6.0411,32.15
5.9699,32.35
5.9166,32.56
5.8632,32.76
5.7742,32.96
5.2582,33.16
5.1870,33.36
5.1514,33.56
5.1247,33.76
5.0980,33.96
5.0713,34.16
5.0535,34.37
5.0446,34.57
5.0269,34.77
5.0180,34.97
5.0091,35.17
5.0002,35.37
3.9592,35.57
2.5980,35.77
2.6691,35.97
3.2563,36.18
3.2563,36.38
3.2563,36.58
3.2563,36.78
3.2563,36.98
3.2474,37.18
3.2474,37.38
3.2385,37.58
3.2385,37.78
3.2385,37.99
3.2296,38.19
3.2296,38.39
3.2296,38.59
3.2296,38.79
3.2207,38.99
3.2207,39.19
3.2207,39.39
3.2207,39.60
3.2207,39.80
3.2207,40.00
3.2207,40.20
3.2118,40.40
3.2118,40.60
