Time (s),Force (g),Ambient temperature (c)
6.19,0.0094,3.0391
6.40,0.0114,3.0625
6.60,0.0111,3.0000
6.80,0.0099,3.0703
7.00,0.0064,3.0469
7.20,0.0081,3.0625
7.40,0.0106,3.0625
7.60,0.0090,3.0000
7.80,0.0101,3.0625
8.00,0.0108,3.0156
8.20,0.0120,3.0391
8.41,0.0141,2.9844
8.61,0.0132,2.9844
8.81,0.0122,3.0703
9.01,0.0129,3.0156
9.21,0.0124,2.9531
9.41,0.0121,3.0469
9.61,0.0121,3.0391
9.81,0.0137,3.0156
10.02,0.0126,3.0000
10.22,0.0129,3.0391
10.42,0.7562,3.0000
10.62,2.5427,3.0000
10.82,3.6356,3.0234
11.02,4.4469,3.0000
11.22,5.3750,3.0703
11.42,5.8755,3.0000
11.62,6.3079,3.0156
11.82,6.8695,3.0000
12.03,7.1957,2.9766
12.23,7.4861,3.1250
12.43,7.5356,3.0156
12.63,7.8031,2.9766
12.83,8.0555,2.9609
13.03,8.2824,3.0000
13.23,8.5000,3.0469
13.43,8.7883,2.9609
13.64,8.9002,3.0469
13.84,9.0013,2.9531
14.04,9.1748,3.0234
14.24,9.4265,3.0469
14.44,9.5722,3.0859
14.64,9.7189,3.0000
14.84,9.9049,3.0234
15.04,10.0163,3.0000
15.24,10.1194,3.0156
15.45,10.2224,2.9844
15.65,10.3845,3.0156
15.85,10.4869,2.9375
16.05,10.5887,2.9844
16.25,10.6804,3.0156
16.45,10.8128,2.9609
16.65,10.8914,3.0469
16.85,10.9633,3.0156
17.05,11.0740,3.0469
17.26,11.1471,3.0625
17.46,11.2109,2.9141
17.66,11.2782,3.0391
17.86,11.3646,2.9531
18.06,11.4160,3.0234
18.26,11.4670,3.0156
18.46,11.5113,3.0469
18.66,11.5749,3.0000
18.86,11.6121,2.9844
19.07,11.6430,3.0469
19.27,11.6779,3.0156
19.47,11.7179,3.0000
19.67,11.7427,3.0391
19.87,11.7680,3.0156
20.07,11.8023,3.0469
20.27,11.8207,3.0000
20.47,11.8458,3.0859
20.67,11.8587,2.9766
20.88,11.8782,2.9766
21.08,11.8886,2.9844
21.28,11.9015,2.9609
21.48,11.9095,3.0469
21.68,11.9131,3.1484
21.88,11.9179,3.0000
22.08,11.9127,2.9766
22.28,11.9106,2.9766
22.49,11.9040,3.0391
22.69,11.8855,2.9844
22.89,11.8728,3.0469
23.09,11.8466,2.9609
23.29,11.8240,3.0859
23.49,11.8025,2.9844
23.69,11.7784,2.9766
23.89,11.7435,3.0156
24.09,11.7171,3.0156
24.30,11.6934,2.9375
24.50,11.6495,3.0000
24.70,11.6199,3.0156
24.90,11.5906,3.0469
25.10,11.5605,3.0859
25.30,11.5260,3.0625
25.50,10.8331,2.9844
25.70,8.6155,2.9766
25.90,7.3860,2.9844
26.11,6.0873,3.0469
26.31,5.4876,2.9766
26.51,5.0352,3.0000
26.71,4.6085,3.0156
26.91,4.0639,2.9766
27.11,3.7619,2.9766
27.31,3.4858,2.9844
27.51,3.1307,2.9844
27.71,2.9148,3.0000
27.92,2.7262,3.0469
28.12,2.5556,3.0703
28.32,2.3196,2.9766
28.52,2.1790,3.0234
28.72,2.0443,2.9297
28.92,1.9191,2.9297
29.12,1.7493,3.0859
29.32,1.6505,3.0156
29.53,1.5563,3.0625
29.73,1.4278,3.0391
29.93,1.3445,2.9766
30.13,1.2680,3.0000
30.33,1.1973,2.9766
30.53,1.0998,3.0234
30.73,1.0364,3.0000
30.93,0.9747,3.0469
31.13,0.9200,2.9297
31.34,0.8464,3.0156
31.54,0.7953,2.9531
31.74,0.7529,2.9844
31.94,0.7103,3.1016
32.14,0.6446,2.9609
32.34,0.6095,3.0156
32.54,0.5707,2.9609
32.74,0.5202,3.0000
32.95,0.4900,2.9297
33.15,0.4547,2.9766
33.35,0.4235,3.0391
33.55,0.3828,3.0625
33.75,0.3570,2.9844
33.95,0.3305,3.0000
34.15,0.3067,3.0000
34.35,0.2738,2.9766
34.55,0.2516,2.9766
34.76,0.2323,3.0000
34.96,0.1985,2.9766
35.16,0.1838,2.9766
35.36,0.1650,2.9844
35.56,0.1497,3.0469
35.76,0.1266,3.0625
35.96,0.1056,3.0000
36.16,0.0922,2.9844
36.36,0.0760,3.0000
36.57,0.0581,2.9766
36.77,0.0458,2.9844
36.97,0.0296,2.9844
37.17,0.0176,3.1328
37.37,0.0030,2.9766
37.57,-0.0119,2.9766
37.77,-0.0262,3.0234
37.97,-0.0389,2.9766
38.18,-0.0480,3.0234
38.38,-0.0604,3.0391
38.58,-0.0701,2.8750
38.78,-0.0847,2.9531
38.98,-0.0944,2.9531
39.18,-0.1010,2.9531
39.38,-0.1088,2.9766
39.58,-0.1234,2.9844
39.78,-0.1325,3.0000
39.99,-0.1396,2.9531
40.19,-0.1495,2.9297
40.39,-0.1550,3.0000
40.59,-0.1637,3.0000
40.79,-0.1696,2.9844
40.99,-0.1793,2.9766
41.19,-0.1871,2.9375
41.39,-0.1932,2.9844
41.59,-0.1967,2.9844
41.79,-0.2093,3.0234
