Time (s),Force (g),Ambient temperature (c)
6.19,-0.0808,3.1875
6.40,-0.0819,3.0625
6.60,-0.0884,3.1719
6.80,-0.0920,3.1484
7.00,-0.0910,3.1484
7.20,-0.0919,3.1719
7.40,-0.0964,3.0625
7.60,-0.1032,3.1250
7.80,-0.0982,3.1563
8.00,-0.1035,3.0859
8.20,-0.1073,3.1094
8.41,-0.1098,3.1484
8.61,-0.1106,3.1094
8.81,-0.1153,3.1250
9.01,-0.1195,3.0625
9.21,-0.1212,3.0703
9.41,-0.1225,3.1094
9.61,-0.1255,3.1094
9.81,-0.1281,3.0703
10.02,-0.1278,3.1328
10.22,-0.1302,3.1484
10.42,-0.0876,3.1016
10.62,1.0592,3.1016
10.82,2.6557,3.0391
11.02,3.6359,3.0625
11.22,4.7116,3.1016
11.42,5.2672,3.1250
11.62,5.7471,3.1016
11.82,6.1713,3.1250
12.03,6.7349,3.1094
12.23,7.0669,3.1250
12.43,7.3726,3.2734
12.63,7.7970,3.1094
12.83,8.0557,3.1875
13.03,8.3001,3.1250
13.23,8.5281,3.0625
13.43,8.8570,3.1719
13.64,9.0566,3.1719
13.84,9.2448,3.1094
14.04,9.4263,3.1250
14.24,9.6837,3.1094
14.44,9.8508,3.0625
14.64,10.0053,3.1953
14.84,10.2259,3.0859
15.04,10.3631,3.1328
15.24,10.4924,3.1484
15.45,10.6215,3.1250
15.65,10.8014,3.1250
15.85,10.9121,3.0859
16.05,11.0197,3.1328
16.25,11.1236,3.0625
16.45,11.2753,3.1563
16.65,11.3646,3.1328
16.85,11.4494,3.0859
17.05,11.5728,3.1563
17.26,11.6482,3.1328
17.46,11.7199,3.1875
17.66,11.7894,3.1484
17.86,11.8855,3.1250
18.06,11.9435,3.1484
18.26,12.0011,3.1328
18.46,12.0537,3.1016
18.66,12.1298,3.1563
18.86,12.1772,3.2109
19.07,12.2196,3.1094
19.27,12.2584,3.1328
19.47,12.3144,3.1328
19.67,12.3477,3.1563
19.87,12.3785,3.1563
20.07,12.4147,3.1953
20.27,12.4364,3.1094
20.47,12.4558,3.1875
20.67,12.4681,3.1094
20.88,12.4842,3.1563
21.08,12.4902,3.1094
21.28,12.4994,3.1484
21.48,12.5020,3.0703
21.68,12.5008,3.1719
21.88,12.4978,3.0703
22.08,12.4870,3.1328
22.28,12.4761,3.1484
22.49,12.4544,3.0703
22.69,12.4362,3.1484
22.89,12.4215,3.1484
23.09,12.3923,3.1094
23.29,12.3783,3.1719
23.49,12.3604,3.0859
23.69,12.3437,3.1875
23.89,12.3158,3.1094
24.09,12.2941,3.1719
24.30,12.2753,3.1875
24.50,12.2576,3.1953
24.70,12.2340,3.1250
24.90,12.2172,3.1719
25.10,12.2022,3.1484
25.30,12.1847,3.1484
25.50,12.0755,3.1094
25.70,10.0662,3.1484
25.90,8.6390,3.1484
26.11,7.2394,3.1875
26.31,6.5464,3.1719
26.51,5.9599,3.1719
26.71,5.4646,3.1094
26.91,4.8414,3.1875
27.11,4.4858,3.1016
27.31,4.1741,3.1719
27.51,3.7584,3.1953
27.71,3.5144,3.1563
27.92,3.2942,3.1719
28.12,3.0873,3.2188
28.32,2.8211,3.2109
28.52,2.6622,3.1563
28.72,2.5067,3.1719
28.92,2.3668,3.1250
29.12,2.1725,3.1563
29.32,2.0573,3.1719
29.53,1.9458,3.1953
29.73,1.8414,3.1250
29.93,1.7012,3.1250
30.13,1.6103,3.0703
30.33,1.5249,3.1953
30.53,1.4145,3.1563
30.73,1.3386,3.1094
30.93,1.2785,3.1250
31.13,1.2158,3.1953
31.34,1.1227,3.1875
31.54,1.0655,3.1719
31.74,1.0104,3.1484
31.94,0.9614,3.1953
32.14,0.8907,3.1953
32.34,0.8369,3.1484
32.54,0.7942,3.1484
32.74,0.7262,3.1563
32.95,0.6997,3.1719
33.15,0.6602,3.0859
33.35,0.6258,3.1719
33.55,0.5764,3.0703
33.75,0.5518,3.1719
33.95,0.5210,3.1719
34.15,0.4978,3.2109
34.35,0.4542,3.1484
34.55,0.4299,3.1953
34.76,0.4083,3.1484
34.96,0.3866,3.1250
35.16,0.3516,3.2188
35.36,0.3287,3.1484
35.56,0.3124,3.1719
35.76,0.2819,3.1953
35.96,0.2617,3.0625
36.16,0.2469,3.1484
36.36,0.2252,3.1719
36.57,0.2038,3.1328
36.77,0.1854,3.1719
36.97,0.1722,3.1719
37.17,0.1576,3.0859
37.37,0.1341,3.1250
37.57,0.1200,3.1719
37.77,0.1119,3.1953
37.97,0.0920,3.1719
38.18,0.0790,3.1016
38.38,0.0678,3.0625
38.58,0.0572,3.1719
38.78,0.0375,3.1563
38.98,0.0349,3.1328
39.18,0.0232,3.1953
39.38,0.0146,3.1094
39.58,-0.0013,3.1484
39.78,-0.0133,3.1016
39.99,-0.0196,3.1250
40.19,-0.0332,3.1484
40.39,-0.0420,3.0703
40.59,-0.0480,3.1563
40.79,-0.0579,3.0859
40.99,-0.0674,3.2422
41.19,-0.0743,3.1016
41.39,-0.0808,3.1875
41.59,-0.0867,3.1484
41.79,-0.1001,3.1484
