Time (s),Force (g),Ambient temperature (c)
6.19,0.0091,3.2969
6.40,0.0121,3.2188
6.60,0.0063,3.2578
6.80,0.0109,3.1328
7.00,0.0090,3.2578
7.20,0.0096,3.2109
7.40,0.0074,3.3281
7.60,0.0095,3.2734
7.80,0.0114,3.2734
8.00,0.0126,3.1953
8.20,0.0128,3.2188
8.41,0.0166,3.2188
8.61,0.0110,3.2734
8.81,0.0114,3.1875
9.01,0.0137,3.2969
9.21,0.0143,3.2578
9.41,0.0151,3.2578
9.61,0.0172,3.1953
9.81,0.0165,3.1484
10.02,0.0151,3.2969
10.22,0.0194,3.2109
10.42,0.0174,3.2109
10.62,0.0182,3.2422
10.82,0.0997,3.2188
11.02,1.4474,3.2734
11.22,3.4367,3.1875
11.42,4.2540,3.2109
11.62,4.9069,3.1875
11.82,5.4429,3.2578
12.03,6.1079,3.1953
12.23,6.4914,3.2578
12.43,6.8318,3.1875
12.63,7.2934,3.3047
12.83,7.5704,3.2969
13.03,7.8300,3.1953
13.23,8.0767,3.2422
13.43,8.4166,3.2578
13.64,8.6271,3.1953
13.84,8.8325,3.1953
14.04,9.0254,3.2188
14.24,9.2967,3.1875
14.44,9.4758,3.2578
14.64,9.6363,3.1484
14.84,9.7965,3.1953
15.04,10.0187,3.2109
15.24,10.1623,3.1719
15.45,10.3093,3.1875
15.65,10.5070,3.2422
15.85,10.6307,3.1953
16.05,10.7515,3.1250
16.25,10.8697,3.2188
16.45,11.0380,3.2969
16.65,11.1438,3.2344
16.85,11.2391,3.2813
17.05,11.3398,3.2734
17.26,11.4800,3.1328
17.46,11.5682,3.2109
17.66,11.6522,3.2344
17.86,11.7709,3.1484
18.06,11.8425,3.1484
18.26,11.9132,3.2188
18.46,11.9813,3.2188
18.66,12.0743,3.2109
18.86,12.1330,3.1875
19.07,12.1925,3.2109
19.27,12.2496,3.1328
19.47,12.3181,3.2344
19.67,12.3667,3.1953
19.87,12.4077,3.2188
20.07,12.4479,3.1875
20.27,12.5078,3.2734
20.47,12.5438,3.2109
20.67,12.5798,3.1875
20.88,12.6239,3.2344
21.08,12.6500,3.2188
21.28,12.6755,3.1563
21.48,12.6978,3.2344
21.68,12.7239,3.2344
21.88,12.7370,3.2109
22.08,12.7578,3.2734
22.28,12.7677,3.1875
22.49,12.7800,3.1875
22.69,12.7901,3.2969
22.89,12.7967,3.1953
23.09,12.7969,3.1875
23.29,12.7894,3.2344
23.49,12.7802,3.1953
23.69,12.7701,3.2188
23.89,12.7588,3.2188
24.09,12.7406,3.1719
24.30,12.7255,3.2109
24.50,12.7073,3.2109
24.70,12.6808,3.1875
24.90,12.6628,3.1875
25.10,12.6389,3.1484
25.30,12.6197,3.1563
25.50,12.5919,3.1875
25.70,12.2610,3.2578
25.90,10.0813,3.2188
26.11,8.2962,3.2188
26.31,7.4666,3.2813
26.51,6.7936,3.1953
26.71,6.2342,3.1875
26.91,5.5319,3.2422
27.11,5.1388,3.2109
27.31,4.7884,3.2578
27.51,4.4805,3.1953
27.71,4.0729,3.2422
27.92,3.8303,3.1719
28.12,3.6121,3.1563
28.32,3.3198,3.1953
28.52,3.1415,3.1875
28.72,2.9756,3.1484
28.92,2.8263,3.2578
29.12,2.6199,3.2109
29.32,2.4927,3.1875
29.53,2.3787,3.2422
29.73,2.2628,3.1875
29.93,2.1191,3.1719
30.13,2.0234,3.2188
30.33,1.9384,3.1875
30.53,1.8576,3.2422
30.73,1.7432,3.2188
30.93,1.6711,3.1563
31.13,1.6064,3.2109
31.34,1.5098,3.2422
31.54,1.4482,3.2188
31.74,1.3980,3.1484
31.94,1.3428,3.1250
32.14,1.2684,3.2422
32.34,1.2243,3.2578
32.54,1.1785,3.1875
32.74,1.1380,3.1484
32.95,1.0802,3.2578
33.15,1.0367,3.1328
33.35,1.0055,3.1328
33.55,0.9752,3.1953
33.75,0.9245,3.1719
33.95,0.8946,3.2344
34.15,0.8648,3.1875
34.35,0.8217,3.1484
34.55,0.7961,3.1563
34.76,0.7737,3.1875
34.96,0.7484,3.1563
35.16,0.7100,3.2578
35.36,0.6918,3.1875
35.56,0.6752,3.1719
35.76,0.6529,3.1719
35.96,0.6222,3.1484
36.16,0.6036,3.1328
36.36,0.5875,3.2188
36.57,0.5628,3.2188
36.77,0.5465,3.1953
36.97,0.5302,3.2344
37.17,0.5161,3.1953
37.37,0.4952,3.1953
37.57,0.4746,3.1875
37.77,0.4559,3.2109
37.97,0.4452,3.1875
38.18,0.4312,3.2734
38.38,0.4187,3.1953
38.58,0.4043,3.1563
38.78,0.3978,3.1094
38.98,0.3792,3.1484
39.18,0.3709,3.2344
39.38,0.3614,3.1875
39.58,0.3443,3.1563
39.78,0.3325,3.1328
39.99,0.3294,3.1563
40.19,0.3171,3.1719
40.39,0.3080,3.2578
