Time (s),Force (g),Ambient temperature (c)
6.19,0.0137,2.9375
6.40,0.0124,3.0156
6.60,0.0128,3.0000
6.80,0.0146,2.9766
7.00,0.0134,2.9766
7.20,0.0114,2.9844
7.40,0.0137,2.9297
7.60,0.0126,2.9375
7.80,0.0134,2.9844
8.00,0.0148,3.0625
8.20,0.0156,3.0234
8.41,0.0125,3.0000
8.61,0.0173,2.9609
8.81,0.0179,3.0625
9.01,0.0193,2.9375
9.21,0.0198,2.9609
9.41,0.0174,3.0469
9.61,0.0162,3.0234
9.81,0.0205,3.0000
10.02,0.0203,3.0156
10.22,0.0196,3.0391
10.42,0.0286,3.0156
10.62,0.6986,2.9844
10.82,2.4503,3.0234
11.02,3.4942,3.0469
11.22,4.6262,3.0703
11.42,5.2131,3.0469
11.62,5.7226,2.9766
11.82,6.3696,3.0469
12.03,6.7437,3.0625
12.23,7.0838,3.0156
12.43,7.3931,2.9297
12.63,7.8198,3.0469
12.83,8.0806,2.9766
13.03,8.3333,2.9766
13.23,8.5640,3.0469
13.43,8.8784,2.9766
13.64,9.0820,2.9531
13.84,9.2680,2.9844
14.04,9.4536,2.9766
14.24,9.7046,3.0156
14.44,9.8683,3.0391
14.64,10.0289,2.9844
14.84,10.2472,3.0156
15.04,10.3830,3.0859
15.24,10.5169,3.0234
15.45,10.6475,3.0469
15.65,10.8256,3.1016
15.85,10.9379,2.9766
16.05,11.0436,2.9609
16.25,11.1506,3.0625
16.45,11.2961,3.0156
16.65,11.3911,3.0469
16.85,11.4740,3.0469
17.05,11.5973,3.0156
17.26,11.6740,3.0469
17.46,11.7446,3.0156
17.66,11.8136,2.9766
17.86,11.9127,2.9375
18.06,11.9733,3.0000
18.26,12.0315,3.0859
18.46,12.0837,2.9766
18.66,12.1602,3.0000
18.86,12.2099,3.0625
19.07,12.2612,3.0391
19.27,12.3039,2.9844
19.47,12.3632,2.9844
19.67,12.3991,3.0156
19.87,12.4319,3.0234
20.07,12.4805,2.9844
20.27,12.5086,3.0391
20.47,12.5351,2.9531
20.67,12.5604,3.0469
20.88,12.5905,2.9844
21.08,12.6087,2.9766
21.28,12.6247,2.9531
21.48,12.6381,2.9766
21.68,12.6559,2.9375
21.88,12.6658,3.0469
22.08,12.6709,3.0000
22.28,12.6813,3.0234
22.49,12.6850,3.0469
22.69,12.6838,2.9844
22.89,12.6834,3.0234
23.09,12.6730,3.0391
23.29,12.6631,2.9844
23.49,12.6528,3.0391
23.69,12.6382,2.9375
23.89,12.6111,2.9766
24.09,12.5909,3.0859
24.30,12.5732,3.0703
24.50,12.5473,3.0234
24.70,12.5208,3.0000
24.90,12.4974,3.0469
25.10,12.4769,2.8984
25.30,12.4418,3.0156
25.50,12.4214,2.9766
25.70,12.4009,2.9844
25.90,11.4518,3.0859
26.11,8.8396,2.9766
26.31,7.8545,2.9844
26.51,7.0850,2.9531
26.71,6.4469,2.9766
26.91,5.6750,2.9844
27.11,5.2475,2.9375
27.31,4.8729,2.9609
27.51,4.3878,3.0391
27.71,4.1018,2.9609
27.92,3.8462,2.9609
28.12,3.6156,3.0156
28.32,3.2963,3.0156
28.52,3.1116,2.9141
28.72,2.9355,2.9531
28.92,2.7811,2.9844
29.12,2.5630,2.9844
29.32,2.4275,3.0703
29.53,2.3044,2.9531
29.73,2.1407,3.0156
29.93,2.0325,2.9531
30.13,1.9383,2.8906
30.33,1.8460,3.0000
30.53,1.7148,3.0000
30.73,1.6375,3.0234
30.93,1.5642,2.9375
31.13,1.4953,3.0859
31.34,1.3974,2.9297
31.54,1.3334,3.0234
31.74,1.2808,2.9766
31.94,1.2242,2.9531
32.14,1.1455,2.9844
32.34,1.0980,2.9375
32.54,1.0542,2.9844
32.74,0.9913,2.9375
32.95,0.9491,3.0469
33.15,0.9113,2.9844
33.35,0.8730,2.9844
33.55,0.8227,3.0234
33.75,0.7882,2.9766
33.95,0.7584,2.9766
34.15,0.7274,3.0391
34.35,0.6850,3.0156
34.55,0.6599,3.1016
34.76,0.6346,3.0156
34.96,0.5967,3.0391
35.16,0.5711,2.9297
35.36,0.5520,2.9297
35.56,0.5319,2.9375
35.76,0.5013,2.9766
35.96,0.4764,3.0391
36.16,0.4590,2.9531
36.36,0.4437,3.0469
36.57,0.4189,2.9766
36.77,0.4028,2.9844
36.97,0.3822,2.9531
37.17,0.3709,2.9766
37.37,0.3458,2.9531
37.57,0.3356,2.9609
37.77,0.3212,3.0469
37.97,0.2990,2.9766
38.18,0.2865,2.9766
38.38,0.2745,2.9297
38.58,0.2667,2.9766
38.78,0.2470,2.9375
38.98,0.2315,2.9766
39.18,0.2242,3.0000
39.38,0.2127,2.9297
39.58,0.1965,2.9766
39.78,0.1832,2.9609
39.99,0.1794,3.0469
40.19,0.1653,3.0156
40.39,0.1523,3.0156
40.59,0.1446,2.9766
40.79,0.1362,2.9531
40.99,0.1292,3.0234
41.19,0.1185,2.9531
41.39,0.1100,2.9297
41.59,0.1023,3.0000
41.79,0.0885,2.9297
42.00,0.0831,2.9141
42.20,0.0764,2.9844
42.40,0.0639,3.0156
42.60,0.0592,2.9375
42.80,0.0562,3.0156
43.00,0.0475,2.9844
43.20,0.0390,2.9844
