Time (s),Force (g),Ambient temperature (c)
6.19,-0.0027,6.4688
6.40,0.0014,6.4531
6.60,-0.0026,6.4688
6.80,0.0007,6.5547
7.00,-0.0006,6.4844
7.20,0.0012,6.5078
7.40,-0.0015,6.5078
7.60,-0.0025,6.4688
7.80,-0.0020,6.5313
8.00,-0.0017,6.4531
8.20,0.0007,6.4688
8.41,0.0001,6.5078
8.61,-0.0012,6.4219
8.81,-0.0017,6.4453
9.01,-0.0013,6.4297
9.21,-0.0020,6.4922
9.41,-0.0020,6.5703
9.61,-0.0018,6.5078
9.81,-0.0009,6.4922
10.02,-0.0002,6.5703
10.22,0.0440,6.4531
10.42,1.7638,6.5078
10.62,2.7762,6.5078
10.82,3.4751,6.5313
11.02,4.0234,6.4453
11.22,4.6991,6.4531
11.42,5.0895,6.5156
11.62,5.4233,6.4922
11.82,5.7208,6.5078
12.03,6.1252,6.5156
12.23,6.3818,6.4844
12.43,6.6331,6.5078
12.63,6.8816,6.4453
12.83,7.2253,6.4297
13.03,7.4302,6.5078
13.23,7.6259,6.4922
13.43,7.9027,6.4844
13.64,8.0717,6.4844
13.84,8.2288,6.5156
14.04,8.3748,6.5078
14.24,8.5792,6.4453
14.44,8.7017,6.4453
14.64,8.8175,6.5547
14.84,8.9241,6.5547
15.04,9.0726,6.4531
15.24,9.1615,6.4922
15.45,9.2487,6.4922
15.65,9.3567,6.5313
15.85,9.4230,6.4922
16.05,9.4808,6.4844
16.25,9.5376,6.5078
16.45,9.6040,6.5313
16.65,9.6361,6.4219
16.85,9.6574,6.5156
17.05,9.6800,6.4531
17.26,9.6982,6.4844
17.46,9.7020,6.4063
17.66,9.7055,6.4844
17.86,9.6994,6.5547
18.06,9.6797,6.5156
18.26,9.6655,6.4922
18.46,9.6391,6.4531
18.66,9.6004,6.4922
18.86,9.5767,6.4922
19.07,9.5463,6.5156
19.27,9.5225,6.4922
19.47,9.4837,6.5078
19.67,9.4604,6.4844
19.87,9.4351,6.4922
20.07,9.4198,6.4531
20.27,9.3913,6.4453
20.47,9.3765,6.5078
20.67,9.3581,6.4922
20.88,8.9589,6.4922
21.08,5.9200,6.4453
21.28,4.9411,6.5938
21.48,4.2030,6.4922
21.68,3.3809,6.4531
21.88,2.9576,6.5078
22.08,2.6112,6.4453
22.28,2.3244,6.3984
22.49,1.9697,6.4922
22.69,1.7686,6.4922
22.89,1.5962,6.4922
23.09,1.4414,6.4922
23.29,1.2347,6.4219
23.49,1.1221,6.4453
23.69,1.0157,6.4531
23.89,0.9231,6.4531
24.09,0.7944,6.4531
24.30,0.7201,6.4922
24.50,0.6516,6.5078
24.70,0.5569,6.5313
24.90,0.5110,6.5391
25.10,0.4629,6.5313
25.30,0.4219,6.4844
25.50,0.3625,6.4531
25.70,0.3286,6.4531
25.90,0.2974,6.4922
26.11,0.2638,6.4844
26.31,0.2245,6.3984
26.51,0.1993,6.4453
26.71,0.1770,6.4688
26.91,0.1458,6.5313
27.11,0.1268,6.4688
27.31,0.1109,6.4922
27.51,0.0915,6.5078
27.71,0.0686,6.5156
27.92,0.0525,6.4844
28.12,0.0422,6.5078
28.32,0.0332,6.5078
28.52,0.0161,6.5078
28.72,0.0090,6.4844
28.92,-0.0061,6.5313
29.12,-0.0152,6.4531
29.32,-0.0270,6.4531
29.53,-0.0336,6.4531
29.73,-0.0401,6.5703
29.93,-0.0514,6.4922
30.13,-0.0596,6.5156
30.33,-0.0661,6.4922
