Time (s),Force (g),Ambient temperature (c)
6.20,-0.0035,8.5859
6.40,-0.0033,8.6094
6.60,-0.0054,8.5859
6.80,-0.0048,8.6016
7.00,-0.0016,8.6094
7.20,-0.0071,8.6484
7.40,-0.0050,8.5859
7.60,-0.0026,8.6562
7.80,-0.0035,8.6250
8.01,-0.0038,8.5469
8.21,-0.0030,8.6484
8.41,-0.0014,8.6094
8.61,-0.0004,8.6953
8.81,-0.0040,8.5469
9.01,-0.0045,8.6562
9.21,-0.0045,8.6016
9.41,-0.0044,8.5859
9.61,-0.0072,8.6875
9.81,-0.0047,8.6094
10.02,-0.0074,8.6484
10.22,-0.0072,8.6328
10.42,-0.0062,8.5703
10.62,-0.0060,8.6484
10.82,-0.0030,8.6016
11.02,-0.0029,8.5859
11.22,-0.0020,8.5391
11.42,-0.0070,8.6016
11.62,-0.0008,8.6250
11.82,-0.0025,8.5703
12.03,-0.0062,8.6250
12.23,-0.0048,8.6094
12.43,0.0002,8.5859
12.63,-0.0046,8.6484
12.83,-0.0030,8.6328
13.03,-0.0029,8.6094
13.23,0.0020,8.5859
13.43,-0.0035,8.6094
13.64,-0.0001,8.6250
13.84,-0.0049,8.6328
14.04,-0.0071,8.6328
14.24,-0.0069,8.5469
14.44,-0.0060,8.6250
14.64,-0.0065,8.5859
14.84,-0.0067,8.6094
15.04,-0.0067,8.5703
15.24,-0.0052,8.5703
15.45,-0.0054,8.6562
15.65,-0.0053,8.5859
15.85,-0.0103,8.6484
16.05,-0.0050,8.6016
16.25,-0.0040,8.6562
16.45,-0.0072,8.5391
16.65,-0.0088,8.6094
16.85,-0.0072,8.6484
17.05,-0.0068,8.5703
17.26,-0.0063,8.5391
17.46,-0.0058,8.6562
17.66,-0.0066,8.5703
17.86,-0.0068,8.6328
18.06,-0.0090,8.6250
18.26,-0.0077,8.5859
18.46,-0.0038,8.6016
18.66,-0.0092,8.6719
18.86,-0.0067,8.6094
19.07,-0.0068,8.5859
19.27,-0.0073,8.6016
19.47,-0.0065,8.6094
19.67,-0.0059,8.6016
19.87,-0.0047,8.5859
20.07,-0.0061,8.6562
20.27,-0.0096,8.5391
20.47,-0.0083,8.6875
20.67,-0.0027,8.6016
20.88,0.4430,8.6094
21.08,4.3385,8.7187
21.28,6.3292,8.6328
21.48,7.9119,8.6016
21.68,9.2633,8.5625
21.88,11.0341,8.6094
22.08,12.1188,8.5703
22.28,13.1281,8.6719
22.49,14.0493,8.5469
22.69,15.3311,8.6328
22.89,13.9769,8.6250
23.09,12.1855,8.6016
23.29,11.0069,8.6250
23.49,9.7221,8.6016
23.69,9.0409,8.6328
23.89,8.4178,8.6562
24.09,7.6097,8.6094
24.30,7.1660,8.6094
24.50,6.7487,8.6328
24.70,6.3890,8.6484
24.90,5.9037,8.6328
25.10,5.6160,8.6328
25.30,5.3560,8.6562
25.50,5.1182,8.6328
25.70,4.7833,8.5469
25.90,4.5841,8.7109
26.11,4.4070,8.6016
26.31,4.2379,8.6016
26.51,4.3928,8.5859
26.71,6.6262,8.5469
26.91,8.7967,8.6875
27.11,11.2891,8.6562
27.31,12.7471,8.6484
27.51,14.0752,8.6094
27.71,15.3027,8.7109
27.92,16.9825,8.6328
28.12,17.8462,8.5703
28.32,18.4623,8.6328
28.52,19.4298,8.6016
28.72,20.1680,8.6328
28.92,17.7617,8.6016
29.12,15.9141,8.7109
29.32,14.5309,8.5703
29.53,12.9152,8.5625
29.73,12.0327,8.7344
29.93,11.2733,8.6484
30.13,10.3009,8.5859
30.33,9.7427,8.6562
30.53,9.2455,8.5703
30.73,8.7179,8.5703
30.93,8.0863,8.6250
31.13,7.6989,8.6016
31.34,7.3560,8.6953
31.54,7.0380,8.6094
31.74,6.5902,8.6875
31.94,6.3161,8.6562
32.14,6.0617,8.6484
32.34,5.8231,8.6562
32.54,5.4891,8.6328
32.74,5.2821,8.6562
32.95,5.0842,8.6562
33.15,4.8228,8.6328
33.35,5.1398,8.6562
33.55,7.5388,8.6250
33.75,9.7498,8.6016
33.95,12.2745,8.5703
34.15,11.5008,8.6562
34.35,10.1803,8.5156
34.55,9.3439,8.6094
34.76,8.4516,8.6250
34.96,7.9643,8.6562
35.16,7.5436,8.6484
35.36,7.1620,8.5859
35.56,6.6185,8.5703
35.76,6.3255,8.5234
35.96,6.0563,8.6016
36.16,5.6822,8.6094
36.36,5.4583,8.5625
36.57,5.2472,8.5391
36.77,5.0492,8.6875
36.97,4.7731,8.5469
37.17,4.6040,8.6953
37.37,4.4437,8.5703
37.57,4.2936,8.6016
37.77,4.4278,8.5859
37.97,6.6890,8.6328
38.18,9.0149,8.6328
38.38,10.8072,8.5703
38.58,13.1437,8.6016
38.78,14.5288,8.6328
38.98,15.3389,8.6094
39.18,12.6552,8.5625
39.38,11.6080,8.5859
39.58,10.7629,8.5469
39.78,10.0791,8.6016
39.99,9.2322,8.6562
40.19,8.7456,8.6328
40.39,8.2748,8.5469
40.59,7.8804,8.5703
40.79,7.3476,8.6094
40.99,7.0142,8.6484
41.19,6.7223,8.5234
41.39,6.4443,8.5625
41.59,6.0655,8.5859
41.79,5.8339,8.6094
42.00,5.6180,8.6484
42.20,5.3266,8.6484
42.40,5.8798,8.6250
42.60,8.4167,8.6016
42.80,10.5259,8.5859
43.00,13.0490,8.6094
43.20,14.5331,8.5859
43.40,15.8988,8.6562
43.61,17.1695,8.6016
43.81,18.9555,8.5391
44.01,20.0709,8.6094
44.21,20.3506,8.5703
44.41,18.0644,8.5703
44.61,15.7795,8.6016
44.81,14.6645,8.5859
45.01,13.7217,8.5859
45.22,12.5089,8.6094
45.42,11.8208,8.6016
45.62,11.2098,8.6484
45.82,10.6493,8.5859
46.02,9.8670,8.6484
46.22,9.4322,8.6328
46.42,9.0218,8.5703
46.62,8.6166,8.6094
46.82,8.1129,8.6562
47.03,7.8111,8.6250
47.23,7.5193,8.6328
47.43,7.2484,8.6328
47.63,6.8632,8.5391
47.83,6.6223,8.6094
48.03,6.3900,8.6016
48.23,6.0694,8.6016
48.43,5.8707,8.6094
48.63,5.6811,8.6484
48.84,5.5056,8.6484
49.04,5.2510,8.6094
49.24,5.0918,8.5625
49.44,4.9398,8.6016
49.64,4.7915,8.5703
49.84,4.5824,8.5469
50.04,4.4509,8.5391
50.24,4.3235,8.6562
50.44,4.2007,8.6484
50.65,4.0291,8.6016
50.85,3.9195,8.6562
51.05,3.8128,8.6328
51.25,3.6637,8.6094
