Time (s),Force (g),Ambient temperature (c)
6.20,-0.1507,8.5859
6.40,-0.1523,8.5625
6.60,-0.1598,8.5469
6.80,-0.1675,8.6016
7.00,-0.1719,8.5703
7.20,-0.1721,8.6484
7.40,-0.1772,8.5703
7.60,-0.1821,8.5703
7.80,-0.1883,8.6094
8.00,-0.1910,8.6328
8.21,-0.1986,8.6484
8.41,-0.2033,8.5703
8.61,-0.2037,8.5859
8.81,-0.2071,8.6328
9.01,-0.2163,8.5859
9.21,-0.2176,8.6484
9.41,-0.2215,8.5234
9.61,-0.2234,8.6094
9.81,-0.2312,8.5391
10.02,-0.2348,8.5000
10.22,-0.2373,8.6094
10.42,-0.2476,8.5469
10.62,-0.2460,8.5625
10.82,-0.2501,8.5234
11.02,-0.2547,8.5625
11.22,-0.2582,8.5469
11.42,-0.2609,8.6328
11.62,-0.2689,8.5859
11.82,-0.2653,8.6094
12.03,-0.2710,8.6250
12.23,-0.2750,8.5391
12.43,-0.2784,8.5703
12.63,-0.2828,8.6094
12.83,-0.2884,8.6094
13.03,-0.2902,8.5859
13.23,-0.2962,8.5469
13.43,-0.2983,8.5703
13.64,-0.3056,8.5234
13.84,-0.3085,8.5469
14.04,-0.3116,8.5703
14.24,-0.3155,8.6016
14.44,-0.3210,8.6328
14.64,-0.3226,8.5000
14.84,-0.3278,8.5469
15.04,-0.0915,8.5703
15.24,1.9633,8.5859
15.45,4.4494,8.6016
15.65,6.1191,8.5625
15.85,8.1527,8.6016
16.05,9.4056,8.5234
16.25,10.5823,8.5703
16.45,11.0632,8.6328
16.65,8.4416,8.6016
16.85,7.5205,8.6484
17.05,6.7829,8.5469
17.26,5.8757,8.6094
17.46,5.3870,8.5859
17.66,4.9548,8.5625
17.86,4.5806,8.5234
18.06,4.1083,8.5703
18.26,3.8380,8.5859
18.46,3.5855,8.5625
18.66,3.3589,8.6328
18.86,3.0616,8.6094
19.07,2.8783,8.6094
19.27,2.7156,8.6328
19.47,2.5638,8.5469
19.67,2.3574,8.6562
19.87,2.6378,8.6250
20.07,4.8962,8.5859
20.27,7.1031,8.6016
20.47,9.6124,8.6016
20.67,11.0790,8.6016
20.88,12.3971,8.5703
21.08,14.1863,8.5156
21.28,15.2915,8.6562
21.48,16.3356,8.5625
21.68,17.2743,8.6016
21.88,18.4437,8.6328
22.08,19.3907,8.6016
22.28,20.2961,8.6562
22.49,21.0242,8.6094
22.69,17.8754,8.6016
22.89,16.1364,8.5703
23.09,14.7650,8.5000
23.29,13.6197,8.6094
23.49,12.1615,8.6328
23.69,11.3412,8.6484
23.89,10.6079,8.5703
24.09,9.6353,8.6328
24.30,9.0231,8.6016
24.50,8.5040,8.5625
24.70,8.0515,8.5469
24.90,7.4368,8.5859
25.10,7.0638,8.6094
25.30,6.7295,8.5703
25.50,6.4056,8.6484
25.70,5.9666,8.6328
25.90,5.6901,8.5391
26.11,5.4414,8.6094
26.31,5.2046,8.6016
26.51,4.8717,8.5625
26.71,4.8313,8.5469
26.91,6.5354,8.6875
27.11,9.9785,8.6016
27.31,11.7354,8.5859
27.51,13.2969,8.6016
27.71,14.7139,8.6250
27.92,16.6743,8.6016
28.12,17.8812,8.6484
28.32,19.0147,8.6094
28.52,20.1043,8.6016
28.72,21.6312,8.5234
28.92,20.4612,8.5469
29.12,18.1843,8.6328
29.32,16.6148,8.5703
29.53,14.7747,8.5000
