Time (s),Force (g),Ambient temperature (c)
6.20,-0.0224,7.3984
6.40,-0.0223,7.4219
6.60,-0.0222,7.3750
6.80,-0.0239,7.4609
7.00,-0.0260,7.3125
7.20,-0.0268,7.3906
7.40,-0.0222,7.3750
7.60,-0.0300,7.4453
7.80,-0.0263,7.4141
8.00,-0.0313,7.4375
8.21,-0.0327,7.4844
8.41,-0.0362,7.3984
8.61,-0.0334,7.3984
8.81,-0.0318,7.3984
9.01,-0.0354,7.4219
9.21,-0.0330,7.4375
9.41,-0.0333,7.3984
9.61,-0.0344,7.3906
9.81,-0.0380,7.4844
10.02,-0.0387,7.3516
10.22,-0.0418,7.3984
10.42,-0.0077,7.4453
10.62,2.7962,7.5078
10.82,5.5623,7.4141
11.02,7.5944,7.4141
11.22,9.9544,7.4375
11.42,11.5551,7.3516
11.62,12.9855,7.3984
11.82,14.2860,7.3984
12.03,16.0620,7.3906
12.23,17.0586,7.4375
12.43,18.1661,7.4766
12.63,19.3517,7.3750
12.83,20.5877,7.4375
13.03,21.4834,7.4375
13.23,22.3108,7.3906
13.43,23.1009,7.4375
13.64,24.0016,7.4375
13.84,24.7683,7.4375
14.04,25.5584,7.4453
14.24,26.0731,7.4844
14.44,26.6599,7.4453
14.64,27.2896,7.3984
14.84,27.8566,7.4141
15.04,29.0611,7.5234
15.24,29.8754,7.3750
15.45,30.6647,7.3984
15.65,31.3521,7.3750
15.85,32.4646,7.4609
16.05,33.0550,7.3984
16.25,33.6045,7.4453
16.45,34.1803,7.4844
16.65,35.1169,7.4453
16.85,35.7415,7.3750
17.05,36.3273,7.4141
17.26,37.1748,7.4375
17.46,37.7475,7.3125
17.66,38.3382,7.4375
17.86,38.9153,7.3594
18.06,39.6782,7.3984
18.26,40.0956,7.3750
18.46,40.5162,7.3750
18.66,40.9919,7.3750
18.86,41.4604,7.4141
19.07,41.9226,7.3906
19.27,42.4039,7.3906
19.47,42.8389,7.3516
19.67,43.4352,7.4453
19.87,43.7469,7.4219
20.07,44.0702,7.3750
20.27,44.6368,7.3984
20.47,44.9749,7.4375
20.67,43.3486,7.4141
20.88,36.9508,7.4141
21.08,30.5184,7.3906
21.28,27.3309,7.4141
21.48,25.0201,7.3906
21.68,22.5781,7.3984
21.88,19.5382,7.3594
22.08,17.7993,7.4453
22.28,16.1294,7.4375
22.49,14.6007,7.4219
22.69,12.6406,7.3984
22.89,11.8573,7.4219
23.09,10.7737,7.3984
23.29,9.2588,7.3516
23.49,8.3676,7.3984
23.69,7.5837,7.4453
23.89,7.0270,7.4453
24.09,6.2415,7.4453
24.30,5.7496,7.4141
24.50,5.1717,7.3984
24.70,4.7795,7.4219
24.90,4.1806,7.5078
25.10,3.7451,7.4609
25.30,3.4417,7.4453
25.50,3.2591,7.4375
25.70,2.8212,7.4844
25.90,2.5597,7.4375
26.11,2.3283,7.4766
26.31,2.0397,7.3984
26.51,1.8661,7.4766
26.71,1.7074,7.4453
26.91,1.5466,7.4141
27.11,1.3219,7.4609
27.31,1.3357,7.4453
27.51,1.1667,7.5000
27.71,1.0152,7.4219
27.92,0.8155,7.4375
28.12,0.7095,7.4453
28.32,0.6256,7.4766
28.52,0.5661,7.4453
28.72,0.4698,7.4219
28.92,0.4024,7.4453
29.12,0.3253,7.3984
29.32,0.2057,7.5000
29.53,0.1270,7.4609
29.73,0.0543,7.4141
29.93,-0.0095,7.3906
30.13,-0.0984,7.4453
30.33,-0.1605,7.4375
30.53,-0.2193,7.4609
30.73,-0.2722,7.3906
30.93,-0.3504,7.4844
31.13,-0.4001,7.4453
31.34,-0.4424,7.3984
31.54,-0.4871,7.4141
31.74,-0.5455,7.4219
31.94,-0.5839,7.4844
32.14,-0.6216,7.4766
32.34,-0.6662,7.4766
32.54,-0.6915,7.4375
32.74,-0.7176,7.3984
