Time (s),Force (g),Ambient temperature (c)
6.20,0.0027,17.7969
6.40,0.0044,17.6953
6.60,0.0040,17.7109
6.80,0.0056,17.6641
7.00,0.0053,17.7812
7.20,0.0043,17.7578
7.40,0.0062,17.7812
7.60,0.0043,17.6875
7.80,0.0047,17.7187
8.00,0.0101,17.7422
8.21,0.0086,17.7422
8.41,0.0081,17.7187
8.61,0.0086,17.7578
8.81,0.0097,17.7734
9.01,0.0082,17.7344
9.21,0.0135,17.7109
9.41,0.0101,17.6719
9.61,0.0074,17.7734
9.81,0.0120,17.6875
10.02,0.0103,17.6719
10.22,0.0095,17.6719
10.42,0.2023,17.7344
10.62,1.5003,17.7344
10.82,2.4568,17.7187
11.02,3.1488,17.7734
11.22,3.9436,17.7578
11.42,4.3696,17.7422
11.62,4.7411,17.7109
11.82,5.0683,17.8047
12.03,5.4947,17.7578
12.23,5.7495,17.6719
12.43,5.9842,17.7187
12.63,6.1945,17.6953
12.83,6.4845,17.7344
13.03,6.6738,17.7734
13.23,6.8393,17.7422
13.43,7.0735,17.7109
13.64,7.2165,17.7109
13.84,7.3521,17.7578
14.04,7.4815,17.7109
14.24,7.6607,17.7812
14.44,7.7712,17.8203
14.64,7.8742,17.6953
14.84,7.9717,17.8281
15.04,8.1129,17.7578
15.24,8.1988,17.7422
15.45,8.2787,17.7734
15.65,8.3509,17.7422
15.85,8.4528,17.7578
16.05,8.5127,17.7969
16.25,8.5759,17.7734
16.45,8.6534,17.7344
16.65,8.6979,17.8047
16.85,8.7443,17.7578
17.05,8.7842,17.7734
17.26,8.8345,17.8047
17.46,8.8595,17.7969
17.66,8.8889,17.8047
17.86,8.9111,17.7344
18.06,8.9384,17.8672
18.26,8.9589,17.8437
18.46,8.9651,17.7109
18.66,8.9814,17.7734
18.86,8.9850,17.8047
19.07,8.9846,17.8047
19.27,8.9863,17.6953
19.47,8.9782,17.7969
19.67,8.9787,17.7344
19.87,8.9644,17.7187
20.07,8.9568,17.7109
20.27,8.9414,17.7344
20.47,8.9280,17.7734
20.67,7.8511,17.6875
20.88,6.5925,17.7578
21.08,5.4986,17.7187
21.28,4.9573,17.6953
21.48,4.4999,17.7812
21.68,3.9439,17.7734
21.88,3.6288,17.7734
22.08,3.3554,17.6953
22.28,3.1063,17.7422
22.49,2.7808,17.7187
22.69,2.5938,17.7578
22.89,2.4162,17.6953
23.09,2.2604,17.8047
23.29,2.0474,17.7578
23.49,1.9173,17.8203
23.69,1.8009,17.8281
23.89,1.6961,17.7578
24.09,1.5412,17.7187
24.30,1.4489,17.7734
24.50,1.3627,17.6953
24.70,1.2498,17.7734
24.90,1.1781,17.7109
25.10,1.1082,17.7344
25.30,1.0456,17.6641
25.50,0.9565,17.7734
25.70,0.9020,17.7344
25.90,0.8521,17.7578
26.11,0.8038,17.7812
26.31,0.7381,17.7187
26.51,0.6935,17.7578
26.71,0.6554,17.7422
26.91,0.6139,17.8047
27.11,0.5639,17.7578
27.31,0.5280,17.7734
27.51,0.4986,17.7187
27.71,0.4544,17.6953
27.92,0.4286,17.7734
28.12,0.4025,17.7344
28.32,0.3748,17.7109
28.52,0.3399,17.7109
28.72,0.3211,17.7109
28.92,0.2976,17.7109
29.12,0.2766,17.7422
29.32,0.2479,17.7187
29.53,0.2322,17.6953
29.73,0.2139,17.7187
29.93,0.1877,17.7109
30.13,0.1785,17.7734
30.33,0.1571,17.6875
30.53,0.1466,17.7422
30.73,0.1258,17.7344
30.93,0.1137,17.6719
31.13,0.1080,17.7344
