Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,1
0.0356,1
0.9431,1
2.5001,1
3.8169,1
5.1603,1
6.3258,1
7.5447,1
8.7280,1
9.8046,1
10.7388,1
11.4950,1
12.3759,1
13.4079,1
14.0129,1
15.0094,1
16.0681,1
17.1358,1
18.2034,1
19.1109,1
19.6448,1
20.2765,1
21.4954,1
22.0648,1
22.9990,1
23.9421,1
25.2855,1
27.2073,1
27.9280,1
28.3906,1
28.9689,1
29.7964,1
30.6416,1
31.3711,1
32.3409,1
33.3730,1
34.5385,1
35.8909,1
37.2521,1
38.6668,1
40.0903,1
41.0957,1
42.0654,1
42.9107,1
43.7114,1
44.5032,1
45.3841,1
46.3271,1
47.1991,1
47.8752,1
48.5069,1
49.3077,1
49.9838,1
50.4999,1
51.2561,1
51.8433,1
52.2971,1
52.7597,1
53.3292,1
53.6850,1
54.0053,1
54.2278,1
54.4680,1
54.7349,1
54.8950,1
55.2153,1
55.3043,1
55.3399,1
55.3577,1
55.3577,1
55.3666,1
55.3755,1
55.3755,1
56.2207,1
57.4218,1
57.4218,1
57.4218,1
57.4218,1
57.4307,1
57.7065,1
58.4806,1
59.0589,1
59.0589,1
59.0589,1
59.5660,1
59.6995,1
60.0554,1
60.0998,1
60.0020,1
60.0020,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
59.9931,1
60.2422,1
60.9895,1
60.5180,1
60.1799,1
60.1710,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1621,1
60.1532,1
60.1532,1
60.1532,1
60.1532,1
60.1532,1
60.1532,1
60.1443,1
60.1176,1
60.1354,1
60.1265,0
60.1265,0
60.1176,0
60.1176,0
60.1087,0
60.0998,0
60.0998,0
60.0909,0
57.6620,0
53.1245,0
51.3985,0
49.3877,0
47.1546,0
45.2239,0
43.4712,0
41.6117,0
39.6365,0
38.6223,0
37.9372,0
37.1009,0
36.3713,0
33.5420,0
29.7430,0
28.4173,0
27.4831,0
26.4599,0
25.1343,0
24.1200,0
23.0790,0
22.0559,0
20.9526,0
19.8939,0
18.8796,0
18.0166,0
17.0201,0
16.1749,0
15.2852,0
14.5378,0
13.6659,0
12.9008,0
12.2246,0
11.5128,0
10.8989,0
10.4007,0
9.8758,0
9.4220,0
8.9861,0
8.6213,0
8.2832,0
7.8828,0
7.3935,0
7.0465,0
6.7351,0
6.5394,0
6.3169,0
5.9699,0
5.7742,0
5.6585,0
5.5874,0
5.5696,0
5.5429,0
4.5464,0
1.5570,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5659,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5570,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5481,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
1.5392,0
