Force (g),Input Signal
0.0056,0
0.0028,0
-0.0075,0
-0.0087,0
-0.0098,0
-0.0043,0
-0.0018,0
-0.0071,0
-0.0090,0
-0.0123,0
-0.0127,0
-0.0081,0
-0.0086,0
-0.0082,0
-0.0141,0
-0.0163,0
-0.0149,0
-0.0181,0
-0.0210,0
-0.0233,0
-0.0296,0
-0.0199,0
-0.0224,0
-0.0190,0
-0.0193,0
-0.0178,0
-0.0252,0
-0.0219,0
-0.0201,0
-0.0225,0
-0.0193,0
-0.0249,0
-0.0279,0
-0.0350,0
-0.0390,0
-0.0333,0
-0.0397,0
-0.0382,0
-0.0416,0
-0.0463,0
-0.0388,0
-0.0437,0
-0.0461,0
-0.0397,0
-0.0379,0
-0.0380,0
-0.0407,0
-0.0376,0
-0.0431,0
-0.0371,0
-0.0437,0
-0.0487,0
-0.0429,0
-0.0446,0
-0.0478,0
-0.0499,0
-0.0487,0
-0.0496,0
-0.0526,0
-0.0519,0
-0.0527,0
-0.0536,0
-0.0513,0
-0.0566,0
-0.0555,0
-0.0537,0
-0.0564,0
-0.0587,0
-0.0579,0
-0.0633,0
-0.0705,0
-0.0732,0
-0.0687,0
-0.0742,0
-0.0759,0
-0.0782,0
-0.0764,0
-0.0690,0
-0.0733,0
-0.0704,0
-0.0746,0
-0.0704,0
-0.0670,0
-0.0676,0
-0.0663,0
-0.0726,0
-0.0668,0
-0.0653,0
-0.0589,0
-0.0578,0
-0.0599,0
-0.0556,0
-0.0520,0
-0.0510,0
-0.0490,0
-0.0552,0
-0.0533,0
-0.0533,0
-0.0592,0
-0.0503,0
-0.0547,0
-0.0509,0
-0.0546,0
-0.0497,0
-0.0528,0
-0.0543,0
-0.0527,0
-0.0552,0
-0.0551,0
-0.0590,0
-0.0524,0
-0.0551,0
-0.0613,0
-0.0537,0
-0.0517,0
-0.0533,0
-0.0614,0
-0.0577,0
-0.0521,0
-0.0546,1
0.1475,1
0.4747,1
0.8997,1
1.1719,1
1.4199,1
1.6501,1
1.9661,1
2.1162,1
2.2909,1
2.4940,1
2.8806,1
3.1157,1
3.3432,1
3.4934,1
3.8589,1
4.1581,1
4.3853,1
4.6214,1
4.8657,1
4.9996,1
5.1660,1
5.3328,1
5.6561,1
5.9461,1
6.1540,1
6.2631,1
6.1271,1
6.1259,1
6.2428,1
6.3353,1
6.4205,1
6.2481,1
6.4869,1
6.8151,1
7.0380,1
7.2484,1
7.3702,1
7.4231,1
7.1240,1
6.9926,1
6.9324,1
6.8202,1
6.9431,1
7.0152,1
6.9623,1
6.8049,1
6.7531,1
6.8400,1
6.9499,1
7.0734,1
7.3303,1
7.5099,1
7.7927,1
8.1266,1
8.6497,1
8.7976,1
8.8737,1
8.8510,1
9.0790,1
9.2833,1
9.2304,1
9.2434,1
9.3261,1
9.4511,1
9.4256,1
9.4302,1
9.5195,1
9.5666,1
9.5366,1
9.4300,1
9.1364,1
8.9454,1
8.8236,1
8.7209,1
8.7667,1
8.9696,1
9.3324,1
9.7492,1
10.3672,1
10.7287,1
11.0310,1
11.2596,1
11.6215,1
11.6349,1
11.5052,1
11.4458,1
11.6666,1
11.8744,1
11.9627,1
11.9239,1
11.8810,1
11.8846,1
11.9308,1
11.7904,1
11.4566,1
11.2910,1
11.0666,1
10.9430,1
11.3245,1
11.5743,1
11.6340,1
11.7468,1
12.2540,1
12.6096,1
12.9202,1
13.1739,1
13.1244,1
12.7620,1
12.1550,1
11.7167,1
11.4748,1
11.2165,1
10.9599,1
10.7446,1
10.4001,1
10.5497,1
10.6602,1
10.5491,1
10.5611,1
10.5760,1
10.4783,1
10.2113,1
10.2807,1
10.3413,1
10.0925,1
9.7228,1
9.5186,1
9.2521,1
8.8810,1
8.7329,1
8.7099,1
8.8410,1
8.9161,1
8.4664,1
7.9781,1
7.7877,1
7.6780,1
7.4989,1
7.3342,1
7.3482,1
7.3476,1
7.4731,1
7.8365,1
7.9717,1
8.1353,1
8.2962,1
8.3467,1
8.3419,1
8.4081,0
8.1523,0
6.4484,0
5.1027,0
4.1410,0
3.4322,0
2.4741,0
1.9556,0
1.6277,0
1.4075,0
1.0401,0
0.8162,0
0.6347,0
0.4547,0
0.0954,0
-0.0280,0
-0.1198,0
-0.2027,0
-0.3616,0
-0.4335,0
-0.5214,0
-0.5906,0
-0.6630,0
-0.7108,0
-0.7514,0
-0.7909,0
-0.8328,0
-0.8688,0
-0.8935,0
-0.9043,0
-0.9205,0
-0.9428,0
-0.9574,0
-0.9780,0
-0.9863,0
-1.0078,0
-1.0143,0
-1.0317,0
-1.0324,0
-1.0389,0
-1.0484,0
-1.0556,0
-1.0626,0
-1.0665,0
-1.0689,0
-1.0716,0
-1.0782,0
-1.0852,0
-1.0833,0
-1.0822,0
-1.0804,0
-1.0884,0
-1.0869,0
-1.0907,0
-1.0896,0
-1.0920,0
-1.0939,0
-1.0928,0
-1.0965,0
-1.0899,0
-1.0866,0
-1.0897,0
-1.0898,0
-1.0880,0
-1.0896,0
-1.0839,0
-1.0857,0
-1.0820,0
-1.0836,0
-1.0849,0
-1.0834,0
-1.0829,0
-1.0826,0
-1.0820,0
-1.0831,0
-1.0862,0
-1.0847,0
-1.0845,0
-1.0844,0
-1.0827,0
-1.0807,0
-1.0833,0
-1.0804,0
-1.0781,0
-1.0843,0
-1.0757,0
