Force (g),Input Signal
-0.0019,0
-0.0001,0
0.0048,0
0.0045,0
0.0081,0
0.0078,0
0.0055,0
0.0075,0
0.0005,0
0.0087,0
0.0112,0
0.0074,0
0.0114,0
0.0134,0
0.0178,0
0.0160,0
0.0198,0
0.0264,0
0.0249,0
0.0221,0
0.0202,0
0.0210,0
0.0189,0
0.0169,0
0.0193,0
0.0237,0
0.0284,0
0.0316,0
0.0341,0
0.0314,0
0.0382,0
0.0423,0
0.0408,0
0.0426,0
0.0469,0
0.0488,0
0.0569,0
0.0575,0
0.0592,0
0.0620,0
0.0622,0
0.0663,0
0.0698,0
0.0725,0
0.0796,0
0.0787,0
0.0784,0
0.0785,0
0.0793,0
0.0833,0
0.0847,0
0.0930,0
0.0900,0
0.0888,0
0.0962,0
0.0946,0
0.0954,0
0.0943,0
0.0990,0
0.0941,0
0.0918,0
0.0984,0
0.1022,0
0.0970,0
0.0911,0
0.1028,0
0.1026,0
0.1055,0
0.1046,0
0.1004,0
0.1051,0
0.1113,0
0.1113,0
0.1092,0
0.1140,0
0.1115,0
0.1127,0
0.1133,0
0.1184,0
0.1163,0
0.1181,0
0.1171,0
0.1187,0
0.1183,0
0.1200,0
0.1204,0
0.1215,0
0.1289,0
0.1312,0
0.1322,0
0.1344,0
0.1307,0
0.1350,0
0.1291,0
0.1388,0
0.1407,0
0.1369,0
0.1423,0
0.1426,0
0.1419,0
0.1371,0
0.1384,0
0.1387,0
0.1378,0
0.1359,0
0.1363,0
0.1372,0
0.1296,0
0.1322,0
0.1343,0
0.1296,0
0.1340,0
0.1269,0
0.1293,0
0.1340,0
0.1302,0
0.1291,0
0.1274,0
0.1225,0
0.1258,1
0.5399,1
1.6387,1
2.3532,1
2.9431,1
3.6063,1
4.4234,1
5.9934,1
7.1578,1
8.3327,1
9.4646,1
11.0833,1
12.1153,1
13.0735,1
13.9917,1
15.2901,1
16.1155,1
16.9337,1
17.7184,1
18.8051,1
19.4878,1
20.1029,1
20.5875,1
21.2001,1
21.6510,1
22.1322,1
22.6378,1
23.5466,1
24.1785,1
24.8040,1
25.3928,1
26.1955,1
26.6837,1
27.1801,1
27.6844,1
28.3878,1
28.8722,1
29.3993,1
29.9601,1
30.8399,1
31.4283,1
31.9583,1
32.4793,1
33.2892,1
33.8057,1
34.3131,1
34.7628,1
35.1225,1
35.2546,1
35.4519,1
35.7613,1
36.1654,1
36.4760,1
36.8067,1
37.0550,1
37.2862,1
37.4975,1
37.8486,1
38.2463,1
38.7306,1
38.8487,1
38.8734,1
39.0229,1
39.3240,1
39.5484,1
39.8073,1
40.0530,1
40.3722,1
40.6382,1
40.9151,1
41.1460,1
41.4631,1
41.5489,1
41.5990,1
41.6160,1
41.7057,1
41.6607,1
41.5284,1
41.4044,1
41.2771,1
41.2422,1
41.1250,1
40.9965,1
40.9930,1
41.0490,1
41.1909,1
41.2360,1
41.1318,1
41.0966,1
41.1019,1
41.1384,1
41.2416,1
41.3335,1
41.4246,1
41.5828,1
41.8346,1
41.5735,1
41.4581,1
41.5596,1
41.9248,1
42.1260,1
42.3024,1
42.4341,1
42.6554,1
42.9410,1
43.2504,1
43.4562,1
43.4275,1
43.0254,1
42.3556,1
41.7725,1
41.1307,1
40.7272,1
40.3695,1
40.1335,1
39.8022,1
39.5333,1
39.1803,1
38.8187,1
38.2583,1
37.9049,1
37.5919,1
37.1698,1
36.2980,1
35.8151,1
35.5051,1
35.3122,1
35.2079,1
35.0961,1
34.8633,1
34.5899,1
34.3655,1
34.3943,1
34.5116,1
34.6372,1
34.9881,1
35.1922,1
35.2605,1
35.3478,1
35.6258,1
35.7966,1
35.9819,1
36.1846,1
36.4741,1
36.6087,1
36.5887,1
36.5710,1
36.5950,1
36.5760,1
36.5457,0
35.8363,0
32.5719,0
30.4974,0
28.5509,0
26.8110,0
24.4754,0
23.0345,0
21.6316,0
20.2171,0
18.1710,0
16.8340,0
15.5981,0
14.3934,0
12.4314,0
11.1775,0
10.0046,0
8.8501,0
7.1665,0
6.1129,0
5.1462,0
4.2917,0
3.1686,0
2.4582,0
1.8498,0
1.3463,0
0.7897,0
0.4965,0
0.2459,0
0.0262,0
-0.2463,0
-0.4102,0
-0.5678,0
-0.7030,0
-0.8794,0
-0.9814,0
-1.0758,0
-1.1480,0
-1.2427,0
-1.3128,0
-1.3778,0
-1.4357,0
-1.4804,0
-1.4946,0
-1.5038,0
-1.5099,0
-1.5141,0
-1.5157,0
-1.5193,0
-1.5146,0
-1.5171,0
-1.5199,0
-1.5221,0
-1.5192,0
-1.5163,0
-1.5222,0
-1.5144,0
-1.5196,0
-1.5122,0
-1.5160,0
-1.5140,0
-1.5096,0
-1.5082,0
-1.5131,0
-1.5084,0
-1.5141,0
-1.5113,0
-1.5122,0
-1.5098,0
-1.5133,0
-1.5099,0
-1.5106,0
-1.5069,0
-1.5057,0
-1.5021,0
-1.5009,0
-1.5063,0
-1.5075,0
-1.5032,0
-1.5053,0
-1.5101,0
-1.5022,0
-1.5084,0
-1.5059,0
-1.5016,0
-1.5080,0
-1.5020,0
-1.5072,0
-1.5090,0
-1.5081,0
-1.5094,0
-1.5046,0
-1.5059,0
-1.5019,0
-1.5057,0
-1.5096,0
-1.5082,0
-1.5072,0
-1.5090,0
-1.5089,0
-1.5089,0
-1.5074,0
-1.5091,0
-1.5044,0
-1.5037,0
-1.5054,0
-1.5052,0
-1.5015,0
-1.5013,0
-1.4999,0
-1.5010,0
