Force (g),Input Signal
0.0125,0
0.0081,0
0.0175,0
0.0151,0
0.0166,0
0.0240,0
0.0269,0
0.0315,0
0.0328,0
0.0373,0
0.0354,0
0.0361,0
0.0324,0
0.0331,0
0.0331,0
0.0297,0
0.0316,0
0.0296,0
0.0329,0
0.0341,0
0.0338,0
0.0357,0
0.0358,0
0.0311,0
0.0414,0
0.0419,0
0.0355,0
0.0430,0
0.0480,0
0.0448,0
0.0440,0
0.0465,0
0.0471,0
0.0413,0
0.0478,0
0.0464,0
0.0449,0
0.0400,0
0.0433,0
0.0454,0
0.0422,0
0.0394,0
0.0431,0
0.0404,0
0.0416,0
0.0417,0
0.0381,0
0.0387,0
0.0422,0
0.0419,0
0.0385,0
0.0494,0
0.0427,0
0.0546,0
0.0549,0
0.0556,0
0.0535,0
0.0534,0
0.0548,0
0.0566,0
0.0513,0
0.0509,0
0.0504,0
0.0507,0
0.0495,0
0.0446,0
0.0506,0
0.0467,0
0.0409,0
0.0498,0
0.0422,0
0.0495,0
0.0435,0
0.0425,0
0.0449,0
0.0463,0
0.0419,0
0.0466,0
0.0511,0
0.0510,0
0.0540,0
0.0517,0
0.0575,0
0.0538,0
0.0606,0
0.0606,0
0.0606,0
0.0564,0
0.0517,0
0.0548,0
0.0560,0
0.0541,0
0.0578,0
0.0552,0
0.0564,0
0.0604,0
0.0610,0
0.0562,0
0.0584,0
0.0588,0
0.0591,0
0.0618,0
0.0587,0
0.0613,0
0.0654,0
0.0578,0
0.0564,0
0.0572,0
0.0598,0
0.0587,0
0.0597,0
0.0619,0
0.0675,0
0.0565,0
0.0614,0
0.0643,0
0.0628,0
0.0608,0
0.0593,0
0.0624,1
0.1708,1
0.4707,1
0.6412,1
0.7893,1
0.9347,1
1.1016,1
1.1769,1
1.2362,1
1.2889,1
1.4008,1
1.4506,1
1.4868,1
1.5422,1
1.6004,1
1.6118,1
1.6334,1
1.6662,1
1.6478,1
1.7087,1
1.7896,1
1.8432,1
1.9011,1
1.8944,1
1.8858,1
1.8918,1
1.9211,1
1.9488,1
1.9989,1
2.0109,1
2.0061,1
1.9775,1
1.9507,1
1.9366,1
1.8789,1
1.8240,1
1.8190,1
1.8193,1
1.8398,1
1.8588,1
1.8948,1
1.9424,1
1.9763,1
1.9451,1
1.9412,1
1.9081,1
1.8977,1
1.9292,1
1.9446,1
1.9556,1
1.9217,1
1.9066,1
1.9149,1
1.9040,1
1.8615,1
1.8673,1
1.8654,1
1.8560,1
1.8309,1
1.8116,1
1.8347,1
1.8533,1
1.9069,1
1.9627,1
2.0224,1
2.0466,1
2.1037,1
2.1588,1
2.2116,1
2.2566,1
2.3179,1
2.3166,1
2.2853,1
2.2563,1
2.2128,1
2.1958,1
2.1952,1
2.2258,1
2.2760,1
2.3113,1
2.3128,1
2.2710,1
2.2634,1
2.2571,1
2.2295,1
2.1893,1
2.1519,1
2.2110,1
2.2579,1
2.2896,1
2.2866,1
2.2549,1
2.2363,1
2.2865,1
2.3706,1
2.3987,1
2.4148,1
2.4447,1
2.4905,1
2.4819,1
2.3940,1
2.3255,1
2.2691,1
2.2342,1
2.2112,1
2.1709,1
2.1345,1
2.0905,1
2.0510,1
1.9910,1
2.0112,1
2.0237,1
2.0200,1
2.0085,1
1.9671,1
1.9769,1
1.9846,1
1.9633,1
1.9426,1
1.9263,1
1.8937,1
1.8640,1
1.9223,1
1.9633,1
1.9524,1
1.9601,1
1.9499,1
1.9837,1
2.0727,1
2.1480,1
2.2445,1
2.2445,1
2.2257,1
2.2089,1
2.2060,1
2.2032,1
2.1787,1
2.1627,1
2.1706,1
2.1634,1
2.1337,1
2.0843,1
2.0710,1
2.0604,1
2.0537,1
2.0228,1
2.0204,1
2.0577,1
2.0993,1
2.1519,0
2.0670,0
1.8046,0
1.5704,0
1.3651,0
1.1009,0
0.9612,0
0.8299,0
0.7140,0
0.5774,0
0.5021,0
0.4454,0
0.3910,0
0.3143,0
0.2728,0
0.2457,0
0.2205,0
0.1739,0
0.1481,0
0.1249,0
0.0915,0
0.0669,0
0.0575,0
0.0460,0
0.0335,0
0.0076,0
0.0017,0
-0.0069,0
-0.0125,0
-0.0158,0
-0.0277,0
-0.0297,0
-0.0337,0
-0.0482,0
-0.0499,0
-0.0551,0
-0.0587,0
-0.0640,0
-0.0657,0
-0.0698,0
-0.0694,0
-0.0729,0
-0.0770,0
-0.0766,0
-0.0778,0
-0.0837,0
-0.0834,0
-0.0808,0
-0.0758,0
-0.0768,0
-0.0800,0
-0.0765,0
-0.0787,0
-0.0824,0
-0.0790,0
-0.0777,0
-0.0804,0
-0.0796,0
-0.0800,0
-0.0810,0
-0.0793,0
-0.0787,0
-0.0784,0
-0.0752,0
-0.0743,0
-0.0777,0
-0.0751,0
-0.0790,0
-0.0801,0
-0.0785,0
-0.0754,0
-0.0711,0
-0.0712,0
-0.0774,0
-0.0741,0
-0.0706,0
-0.0765,0
-0.0730,0
-0.0669,0
-0.0697,0
-0.0661,0
-0.0631,0
-0.0721,0
-0.0678,0
-0.0643,0
-0.0642,0
-0.0638,0
-0.0636,0
-0.0637,0
