Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,1
0.0089,1
0.0267,1
0.0445,1
0.0534,1
0.0534,1
0.0534,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
0.0623,1
0.0712,1
0.0712,1
0.0712,1
0.0712,1
0.0712,1
0.0712,1
0.0712,1
0.0801,1
0.0979,1
1.5659,1
4.3863,1
4.6710,1
5.1158,1
5.3916,1
5.6674,1
5.9166,1
6.0144,1
6.0500,1
6.0589,1
6.0678,1
6.0767,1
6.0767,1
6.0856,1
6.1034,1
6.1390,1
7.1888,1
7.5091,1
7.5981,1
7.6248,1
7.6782,1
7.6960,1
7.7049,1
7.7316,1
8.2565,1
8.7369,1
8.7725,1
8.7725,1
8.7903,1
8.8437,1
8.8526,1
8.8615,1
8.8615,1
8.8971,1
9.2619,1
10.0359,1
10.3829,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4096,1
10.4185,1
10.4274,1
10.4363,1
10.4363,1
10.4363,1
10.5164,1
10.8100,1
11.1925,1
11.1925,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2014,1
11.2103,1
11.5217,1
11.8153,1
12.2157,1
12.2157,1
12.2157,1
12.2157,1
12.2157,1
12.2157,1
12.2157,1
12.2246,1
12.2246,1
12.2246,1
12.2246,1
12.2246,1
12.2335,1
12.2602,1
12.2691,1
12.2691,1
12.2780,1
12.2780,1
12.2869,1
12.2869,1
12.2869,1
12.2958,1
12.2958,1
12.3225,1
12.9542,1
13.2389,1
13.2389,1
13.2389,1
13.2478,1
13.2478,1
13.2478,1
13.2478,1
13.3545,1
13.7549,1
14.1820,1
14.4845,1
14.4845,1
14.4845,1
14.4845,1
14.4845,1
14.4845,1
14.4845,1
14.5023,1
14.5200,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,1
14.5112,0
14.5023,0
14.4845,0
14.4756,0
14.4756,0
14.4667,0
14.4667,0
14.4667,0
14.4578,0
14.4667,0
14.6090,0
12.5449,0
9.3153,0
9.0572,0
9.0216,0
9.0128,0
8.9950,0
8.9950,0
8.9861,0
8.9505,0
8.9149,0
8.9149,0
8.9149,0
8.9149,0
8.9149,0
8.3099,0
7.2778,0
5.3472,0
5.1514,0
5.0802,0
5.0713,0
5.0535,0
4.4663,0
4.4130,0
4.3685,0
4.3596,0
4.3507,0
3.9770,0
3.7546,0
3.7101,0
3.6923,0
3.6834,0
3.6745,0
3.6745,0
3.6745,0
3.6478,0
3.2563,0
3.2118,0
3.1941,0
3.1763,0
3.1763,0
3.1407,0
3.1229,0
3.0962,0
3.1051,0
3.1051,0
3.1051,0
3.1051,0
3.1051,0
3.1051,0
3.1051,0
3.1051,0
3.1051,0
2.8293,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
1.2456,0
