Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,1
0.0089,1
0.0267,1
0.0712,1
0.2936,1
1.4858,1
2.6068,1
3.9058,1
5.1692,1
6.3525,1
7.5803,1
8.7280,1
9.9647,1
11.1125,1
12.4470,1
14.0307,1
15.2140,1
16.4596,1
17.7586,1
19.2355,1
21.0238,1
22.6342,1
24.1200,1
25.5969,1
26.9226,1
28.6219,1
29.7786,1
30.7394,1
31.8694,1
32.9281,1
34.2093,1
35.5261,1
37.0030,1
38.6490,1
40.4017,1
41.9409,1
43.2665,1
43.9961,1
44.2452,1
44.2630,1
44.2630,1
44.2630,1
44.2630,1
44.2541,1
44.2452,1
44.2185,1
44.2096,1
44.2096,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1829,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.1918,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2007,1
44.2096,1
44.2096,1
44.2096,1
44.2096,1
44.2096,0
44.2096,0
44.2096,0
44.2007,0
44.2007,0
44.2007,0
44.2007,0
44.1918,0
44.1829,0
44.1829,0
44.1829,0
44.1829,0
44.1829,0
39.6899,0
37.2966,0
36.5848,0
35.8286,0
35.1079,0
34.2182,0
33.4620,0
32.7146,0
31.9406,0
31.3622,0
30.8373,0
30.0455,0
29.4583,0
29.0134,0
28.4796,0
28.0258,0
27.6077,0
27.2073,0
26.7980,0
26.3176,0
25.8905,0
25.4813,0
25.0631,0
24.6538,0
24.1022,0
23.6574,0
23.2748,0
22.8210,0
22.3317,0
21.8601,0
21.4331,0
20.9615,0
20.5167,0
20.0540,0
19.6893,0
19.3156,0
19.0131,0
18.6394,0
18.1145,0
17.8565,0
17.7942,0
17.7764,0
17.7675,0
17.7586,0
17.7586,0
17.7497,0
17.7408,0
17.7408,0
17.7319,0
17.7319,0
17.7319,0
17.7230,0
17.7230,0
17.7230,0
17.6340,0
12.6428,0
12.4025,0
12.3047,0
12.2602,0
12.2424,0
12.2246,0
12.2157,0
12.1979,0
12.1890,0
12.1890,0
11.8242,0
10.0181,0
9.8313,0
9.7957,0
9.7779,0
9.7601,0
9.7512,0
9.7512,0
9.7423,0
9.7423,0
9.7334,0
9.6800,0
9.6889,0
9.6889,0
9.6800,0
7.6337,0
7.4736,0
7.4291,0
7.4202,0
7.4113,0
7.4024,0
7.4024,0
7.3935,0
7.3935,0
7.3935,0
7.3846,0
7.3846,0
7.3846,0
7.3846,0
7.3846,0
7.3757,0
7.3757,0
7.3757,0
7.3757,0
7.3757,0
7.3757,0
7.3757,0
7.3757,0
7.3668,0
7.3668,0
7.3668,0
7.3401,0
7.3312,0
7.3312,0
5.8454,0
5.6497,0
5.6230,0
5.6141,0
5.6052,0
5.6052,0
5.6052,0
5.5963,0
5.5963,0
5.5963,0
5.5963,0
5.5874,0
