Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0089,1
0.0267,1
0.0712,1
0.0890,1
0.4004,1
1.7082,1
2.7047,1
3.0606,1
3.2563,1
3.2919,1
3.3097,1
3.3275,1
3.3364,1
3.3453,1
3.3542,1
3.3542,1
3.4699,1
4.7066,1
5.6852,1
6.4326,1
6.7885,1
7.1444,1
7.3223,1
7.5536,1
7.6960,1
7.7672,1
8.0341,1
8.1675,1
8.1942,1
8.2120,1
8.2209,1
8.2209,1
8.2298,1
8.2298,1
8.2387,1
8.2654,1
8.8348,1
9.5199,1
9.6089,1
9.6267,1
9.9469,1
10.3918,1
10.4185,1
10.4274,1
10.4363,1
10.4630,1
10.9345,1
11.8331,1
12.0467,1
12.0733,1
12.1000,1
12.1356,1
12.3314,1
14.5912,1
18.1768,1
19.4223,1
19.7960,1
19.8939,1
19.9206,1
19.9740,1
20.9793,1
21.1484,1
21.1751,1
21.1840,1
21.8601,1
22.4118,1
22.4385,1
22.4563,1
22.4563,1
22.4563,1
22.5630,1
23.2214,1
23.4705,1
23.4883,1
23.4972,1
23.5061,1
23.5150,1
23.5951,1
23.9510,1
25.8016,1
25.8016,1
25.8016,1
25.8283,1
25.8371,1
25.8816,1
26.3532,1
26.4955,1
26.5400,1
26.5756,1
26.5845,1
26.6112,1
26.6468,1
27.6611,1
28.4529,1
28.5330,1
28.5774,1
28.6041,1
28.5597,1
27.7411,1
29.3426,1
30.2056,1
30.3658,1
30.4458,1
30.4814,1
30.4992,1
30.3925,1
30.3836,1
30.3391,1
31.2199,1
31.6825,1
31.8872,1
31.9850,1
32.0028,1
31.6736,1
31.7448,1
32.3498,1
32.8392,1
32.8747,1
32.9014,1
32.9370,1
33.0527,1
33.7022,1
33.9246,1
35.0189,1
35.0456,1
35.0545,1
35.2325,1
35.3837,1
35.4460,1
35.3837,1
34.8410,1
35.9175,1
36.3179,1
36.4603,1
36.5137,1
36.5314,1
36.4247,1
36.6204,1
37.3322,1
37.5101,1
37.5635,1
37.4567,1
37.1809,1
37.9817,1
38.2130,1
38.3820,1
38.4621,1
38.4977,1
38.5244,1
38.5333,0
37.9906,0
38.0084,0
37.9995,0
37.9817,0
37.9639,0
38.0884,0
37.9995,0
34.9745,0
33.9691,0
32.7324,0
31.5847,0
30.3480,0
29.1024,0
27.5810,0
25.9439,0
24.5738,0
23.3549,0
22.2516,0
21.2285,0
20.1875,0
19.4134,0
18.5771,0
17.7942,0
17.1625,0
16.3973,0
15.6500,0
14.9204,0
14.1375,0
13.3367,0
12.4203,0
11.6819,0
10.9434,0
10.1872,0
9.5733,0
8.8793,0
8.3099,0
7.6960,0
7.1977,0
6.7262,0
6.3169,0
6.0055,0
5.5518,0
5.0624,0
4.5820,0
4.1727,0
3.8435,0
3.4877,0
3.1941,0
2.9005,0
2.5090,0
2.2599,0
2.1709,0
2.1353,0
2.0552,0
1.4146,0
1.2990,0
1.2456,0
0.6228,0
-0.9164,0
-0.9164,0
-0.9164,0
-0.9164,0
-1.3968,0
-2.5891,0
-2.5891,0
-2.5891,0
-2.5891,0
-2.5891,0
-2.5891,0
-2.5891,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.5980,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
-2.6068,0
