Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,1
0.0445,1
0.8363,1
2.0196,1
3.2474,1
4.4219,1
5.4895,1
6.2813,1
7.2155,1
8.0786,1
8.8437,1
9.5555,1
10.2494,1
10.9256,1
11.6641,1
12.3225,1
12.9453,1
13.7193,1
14.4489,1
14.9916,1
15.4098,1
16.0326,1
16.7977,1
17.9988,1
18.4881,1
18.6928,1
19.2711,1
19.6537,1
20.2320,1
20.8103,1
21.1395,1
21.2018,1
21.2196,1
21.2196,1
21.2196,1
21.2285,1
21.2462,1
21.2640,1
21.2729,1
21.2818,1
21.2907,1
21.2907,1
21.2907,1
21.3085,1
24.5649,1
27.5365,1
27.6877,1
28.0970,1
28.2127,1
28.2660,1
28.2749,1
28.2927,1
28.3016,1
28.3728,1
30.7661,1
31.3178,1
31.6292,1
31.6825,1
31.7003,1
32.0206,1
32.1719,1
32.2075,1
32.2253,1
32.2253,1
32.2342,1
32.2342,1
32.2342,1
32.2608,1
32.3142,1
32.7057,1
34.2449,1
34.5118,1
34.6097,1
34.6453,1
34.6631,1
34.6720,1
34.6720,1
34.6720,1
34.6720,1
34.7342,1
35.0990,1
35.5350,1
35.7307,1
35.7574,1
35.7663,1
35.7841,1
35.7841,1
35.7930,1
35.8464,1
35.8375,1
35.8553,1
36.3446,1
36.5937,1
36.6649,1
36.6827,1
36.6916,1
36.6916,1
36.7628,1
37.0920,1
37.1453,1
37.1542,1
37.1542,1
37.1631,1
37.1631,1
37.1720,1
37.2343,1
37.2788,1
37.2610,1
37.2699,1
38.1952,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1596,1
38.1685,1
38.1685,1
38.1685,1
38.1685,1
38.1774,1
38.1774,1
38.1774,1
38.1774,1
38.1774,1
38.1774,1
38.1774,1
38.1774,1
38.3642,1
38.4532,1
38.6934,1
38.7735,1
38.7557,1
38.9604,1
39.2362,1
39.2006,1
39.2006,1
39.2006,1
39.2006,1
39.2006,1
39.2006,1
39.2006,1
39.2006,1
39.2006,1
39.2006,0
39.2006,0
39.1917,0
39.1828,0
39.1828,0
39.1739,0
39.1650,0
39.1650,0
39.1650,0
39.1472,0
39.1472,0
39.1205,0
39.1205,0
36.9229,0
32.4388,0
32.4121,0
32.3943,0
31.4156,0
30.5615,0
27.0294,0
26.0774,0
25.3122,0
24.4314,0
23.7374,0
22.9367,0
21.9135,0
21.0861,0
20.3032,0
19.5825,0
18.8084,0
17.9454,0
17.2604,0
16.4240,0
15.8101,0
15.1251,0
14.4044,0
13.9239,0
13.4079,0
12.9720,0
12.4203,0
11.9310,0
11.4328,0
11.1303,0
10.6142,0
10.2494,0
10.0181,0
9.6000,0
9.3864,0
9.3241,0
9.2619,0
9.1551,0
8.8259,0
8.6836,0
7.8205,0
7.5269,0
7.4469,0
7.4202,0
7.4024,0
7.3935,0
7.3935,0
7.3846,0
7.3846,0
7.3757,0
7.3668,0
7.3223,0
7.2600,0
5.8098,0
5.6230,0
5.5785,0
5.5607,0
5.5429,0
5.5340,0
5.5251,0
5.4806,0
5.4539,0
4.8400,0
4.7777,0
4.7599,0
4.7510,0
4.7510,0
4.7421,0
4.7421,0
4.7333,0
4.7333,0
4.7333,0
4.7244,0
4.7244,0
4.7244,0
4.7155,0
4.7155,0
4.7155,0
4.7155,0
4.7155,0
4.7066,0
4.7066,0
4.7066,0
4.7066,0
4.7066,0
4.7066,0
4.7066,0
4.6977,0
4.6977,0
4.6977,0
4.6977,0
