Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0356,0
-0.0267,1
0.1335,1
1.9040,1
3.3008,1
4.6799,1
5.9522,1
6.8686,1
7.9362,1
8.8437,1
9.9914,1
10.7833,1
11.6997,1
12.6428,1
13.8706,1
14.6179,1
15.5788,1
16.2016,1
16.7087,1
17.4205,1
18.2390,1
18.8974,1
19.1999,1
19.2622,1
19.2800,1
19.2978,1
19.3067,1
19.3245,1
19.3334,1
19.3423,1
19.3512,1
19.4046,1
20.1252,1
22.5630,1
23.1324,1
23.8264,1
24.4581,1
24.9919,1
25.6147,1
25.8816,1
26.1130,1
26.5578,1
26.6379,1
26.6735,1
26.6824,1
26.7091,1
27.0116,1
28.0080,1
28.3194,1
28.4707,1
28.4974,1
28.5241,1
28.5419,1
28.5419,1
28.5508,1
28.5508,1
28.6041,1
28.7020,1
29.8319,1
30.4369,1
30.5348,1
30.5882,1
30.5971,1
30.6060,1
30.6060,1
30.6594,1
32.4566,1
32.6345,1
32.7057,1
32.7502,1
32.7769,1
32.8036,1
32.8303,1
32.8392,1
32.8392,1
32.8481,1
32.8570,1
32.8658,1
32.8747,1
33.5776,1
36.4692,1
39.2095,1
40.9266,1
41.6562,1
42.1188,1
42.7238,1
43.5868,1
44.3698,1
44.9481,1
45.6332,1
46.5318,1
47.1546,1
48.0265,1
48.5781,1
49.1386,1
49.9572,1
50.7312,1
51.5586,1
52.8131,1
54.1566,1
55.6157,1
56.5677,1
57.1193,1
57.7510,1
58.3471,1
58.8809,1
59.2279,1
59.3881,1
59.4859,1
59.5660,1
59.6194,1
61.2476,1
61.5501,1
62.2351,1
62.8490,1
63.2405,1
63.6587,1
64.0857,1
64.3971,1
64.6374,1
65.0377,1
65.2157,1
65.2779,1
65.3046,1
65.3135,1
65.3224,1
65.3313,1
65.3402,1
65.3402,1
65.3491,1
65.3491,1
65.3491,1
65.4203,1
66.8171,1
67.0129,1
67.3777,1
67.8937,1
68.5343,1
69.0592,1
69.6998,1
70.3226,1
70.7319,1
71.0255,1
71.3991,1
71.7194,1
72.0753,1
72.3867,1
72.6714,1
72.9383,1
73.3565,1
73.4010,0
73.4010,0
73.3832,0
73.3565,0
73.3476,0
73.3387,0
73.3387,0
73.2942,0
73.2497,0
70.5183,0
62.3508,0
60.2333,0
58.2137,0
55.9271,0
53.0800,0
49.9394,0
46.5941,0
43.6847,0
41.6562,0
39.8857,0
38.3376,0
36.3802,0
34.4050,0
31.8872,0
29.5294,0
27.6433,0
26.1130,0
24.5916,0
23.3282,0
22.2961,0
21.2640,0
20.2142,0
19.1999,0
18.0522,0
17.1625,0
16.0859,0
15.1428,0
14.2442,0
13.5325,0
12.7406,0
11.8865,0
11.3260,0
10.8189,0
10.2850,0
9.8669,0
9.4576,0
9.1195,0
8.8437,0
8.4789,0
7.5269,0
7.5269,0
7.5180,0
6.4148,0
6.4148,0
6.4148,0
6.4148,0
6.4148,0
6.4059,0
5.2760,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
4.2172,0
3.3987,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
2.7314,0
