Force (g),Input Signal
0.0072,0
0.0086,0
0.0086,0
0.0184,0
0.0084,0
0.0152,0
0.0125,0
0.0146,0
0.0173,0
0.0169,0
0.0193,0
0.0149,0
0.0196,0
0.0210,0
0.0172,0
0.0145,0
0.0233,0
0.0205,0
0.0246,0
0.0213,0
0.0276,0
0.0282,0
0.0281,0
0.0256,0
0.0291,0
0.0270,0
0.0281,0
0.0328,0
0.0359,0
0.0278,0
0.0307,0
0.0328,0
0.0358,0
0.0344,0
0.0344,0
0.0392,0
0.0421,0
0.0454,0
0.0466,0
0.0453,0
0.0437,0
0.0515,0
0.0544,0
0.0513,0
0.0510,0
0.0525,0
0.0529,0
0.0610,0
0.0543,0
0.0604,0
0.0555,0
0.0643,0
0.0583,0
0.0610,0
0.0586,0
0.0626,0
0.0687,0
0.0585,0
0.0627,0
0.0630,0
0.0658,0
0.0650,0
0.0643,0
0.0681,0
0.0669,0
0.0753,0
0.0714,0
0.0737,0
0.0734,0
0.0681,0
0.0770,0
0.0834,0
0.0787,0
0.0763,0
0.0793,0
0.0807,0
0.0813,0
0.0802,0
0.0863,0
0.0875,0
0.0885,0
0.0870,0
0.0884,0
0.0919,0
0.0927,0
0.0957,0
0.0940,0
0.0956,0
0.0982,0
0.0999,0
0.0981,0
0.1017,0
0.0996,0
0.1019,0
0.0991,0
0.1038,0
0.0985,0
0.1087,0
0.1031,0
0.1119,0
0.1068,0
0.1087,0
0.1040,0
0.1065,0
0.1086,0
0.1082,0
0.1090,0
0.1119,0
0.1116,0
0.1090,0
0.1120,0
0.1128,0
0.1112,0
0.1118,0
0.1111,0
0.1101,0
0.1104,0
0.1106,0
0.1104,0
0.1091,1
0.2638,1
0.5219,1
0.8757,1
1.0922,1
1.2796,1
1.4959,1
1.8076,1
2.0080,1
2.1984,1
2.3910,1
2.6770,1
2.8651,1
3.0554,1
3.2375,1
3.4908,1
3.6572,1
3.8249,1
3.9763,1
4.2017,1
4.3359,1
4.4766,1
4.6093,1
4.8368,1
5.0022,1
5.1569,1
5.2996,1
5.5151,1
5.7323,1
5.9287,1
6.0922,1
6.3416,1
6.5063,1
6.6772,1
6.8303,1
7.0537,1
7.1929,1
7.3316,1
7.4866,1
7.6425,1
7.7482,1
7.8733,1
7.9931,1
8.1734,1
8.2931,1
8.4079,1
8.5027,1
8.6387,1
8.7229,1
8.7670,1
8.7515,1
8.6927,1
8.6549,1
8.6272,1
8.6257,1
8.6217,1
8.6157,1
8.6069,1
8.6059,1
8.6050,1
8.5774,1
8.5427,1
8.5243,1
8.4757,1
8.4527,1
8.4258,1
8.3769,1
8.3142,1
8.2871,1
8.2408,1
8.1890,1
8.1435,1
8.1030,1
8.0628,1
8.0237,1
7.9984,1
7.9674,1
7.9182,1
7.8662,1
7.7855,1
7.7649,1
7.7863,1
7.7846,1
7.7116,1
7.7025,1
7.7116,1
7.7269,1
7.7320,1
7.7335,1
7.7472,1
7.8149,1
7.9592,1
8.0656,1
8.1601,1
8.2251,1
8.2290,1
8.2353,1
8.2890,1
8.3799,1
8.5417,1
8.6477,1
8.7272,1
8.8292,1
8.9832,1
9.0857,1
9.1595,1
9.2140,1
9.2784,1
9.3038,1
9.3272,1
9.3423,1
9.3661,1
9.3792,1
9.3985,1
9.4188,1
9.4725,1
9.5246,1
9.5646,1
9.5760,1
9.5517,1
9.5544,1
9.5602,1
9.5819,1
9.6755,1
9.7264,1
9.7607,1
9.8104,1
9.8728,1
9.8676,1
9.8420,1
9.8528,1
9.8696,1
9.9360,1
9.9799,1
9.9653,1
9.9237,1
9.9522,1
9.9847,1
10.0085,1
10.0230,1
9.9929,1
9.9449,1
9.8826,1
9.8160,1
9.6915,1
9.6183,1
9.5580,1
9.4884,1
9.4439,1
9.4001,0
9.1054,0
8.4198,0
7.4751,0
6.8967,0
6.3784,0
5.9003,0
5.2727,0
4.9182,0
4.5779,0
4.2436,0
3.7852,0
3.5103,0
3.2712,0
3.0512,0
2.7330,0
2.5422,0
2.3823,0
2.2392,0
2.0489,0
1.9243,0
1.8134,0
1.7132,0
1.5578,0
1.4607,0
1.3721,0
1.2934,0
1.1848,0
1.1184,0
1.0572,0
0.9941,0
0.9036,0
0.8546,0
0.7975,0
0.7468,0
0.6884,0
0.6421,0
0.5988,0
0.5556,0
0.4900,0
0.4508,0
0.4053,0
0.3622,0
0.2979,0
0.2596,0
0.2162,0
0.1751,0
0.1337,0
0.1069,0
0.0822,0
0.0584,0
0.0231,0
0.0023,0
-0.0179,0
-0.0457,0
-0.0770,0
-0.0891,0
