Force (g),Input Signal
-0.0677,0
-0.0046,0
-0.0194,0
-0.0696,0
-0.0760,0
-0.0390,0
-0.0308,0
-0.0263,0
-0.0284,0
-0.0210,0
-0.0076,0
-0.0295,0
-0.3749,0
-0.0751,0
-0.0666,0
-0.0891,0
-0.0822,0
-0.0786,0
-0.0825,0
-0.0891,0
-0.0942,0
-0.0866,0
-0.0882,0
-0.0813,0
-0.0620,0
-0.0513,0
-0.0634,0
-0.0783,0
-0.0826,0
-0.0933,0
-0.0989,0
-0.1025,0
-0.1034,0
-0.0714,0
-0.0866,0
-0.0784,0
-0.0690,0
-0.0630,0
-0.0631,0
-0.0873,0
-0.0954,0
-0.0957,0
-0.0869,0
-0.0881,0
-0.1801,0
-0.1121,0
-0.1043,0
-0.0951,0
-0.0822,0
-0.0861,0
-0.0884,0
-0.0834,0
-0.0871,0
-0.0910,0
-0.0837,0
-0.0899,0
-0.0850,0
-0.0797,0
-0.0843,0
-0.0816,0
-0.0864,0
-0.0845,0
-0.0838,0
-0.0880,0
-0.0874,0
-0.0832,0
-0.0803,0
-0.0752,0
-0.0722,0
-0.0742,0
-0.0701,0
-0.0722,0
-0.0625,0
-0.0640,0
-0.0616,0
-0.0582,0
-0.0532,0
-0.0624,0
-0.0625,0
-0.0569,0
-0.0556,0
-0.0680,0
-0.0678,0
-0.0706,0
-0.0760,0
-0.0768,0
-0.0772,0
-0.0751,0
-0.0772,0
-0.0716,0
-0.0732,0
-0.0756,0
-0.0728,0
-0.0690,0
-0.0659,0
-0.0645,0
-0.0634,0
-0.0653,0
-0.0645,0
-0.0696,0
-0.0664,0
-0.0689,0
-0.0667,0
-0.0707,0
-0.0699,0
-0.0772,0
-0.0770,0
-0.0760,0
-0.0789,0
-0.0744,0
-0.0686,0
-0.0675,0
-0.0678,0
-0.0608,0
-0.0673,0
-0.0680,0
-0.0719,0
-0.0742,0
-0.0649,0
-0.0656,1
0.2175,1
0.9140,1
1.3478,1
1.7272,1
2.0890,1
2.4134,1
2.8972,1
3.2704,1
3.7550,1
4.3934,1
5.5364,1
6.3916,1
7.2659,1
8.1363,1
9.3715,1
10.1543,1
10.8898,1
11.6093,1
12.7083,1
13.4420,1
14.1652,1
14.8378,1
15.7378,1
16.2796,1
16.7777,1
17.2596,1
17.9243,1
18.3548,1
18.7219,1
19.0085,1
19.3891,1
19.6349,1
19.8957,1
20.1908,1
20.4146,1
20.2422,1
20.3615,1
20.5160,1
20.8724,1
21.1089,1
21.3404,1
21.6267,1
21.8776,1
22.0004,1
22.2593,1
22.5628,1
23.1724,1
23.6141,1
24.0219,1
24.3565,1
24.9359,1
25.2287,1
25.4699,1
25.7560,1
26.1709,1
26.3835,1
26.5169,1
26.6681,1
26.8158,1
26.9238,1
27.0530,1
27.1507,1
27.1698,1
27.0667,1
26.9178,1
26.7303,1
26.5205,1
26.4030,1
26.3826,1
26.3966,1
26.2787,1
26.1028,1
25.8760,1
25.7294,1
25.4125,1
25.1704,1
25.1067,1
25.0823,1
25.1175,1
25.1540,1
25.1790,1
25.2414,1
25.2690,1
25.2079,1
25.1891,1
25.1822,1
25.2046,1
25.2864,1
25.6916,1
26.1964,1
26.7448,1
27.1531,1
27.5663,1
27.9669,1
28.5510,1
28.8781,1
29.1296,1
29.3890,1
30.0407,1
30.4551,1
30.7341,1
30.8147,1
30.7416,1
30.7956,1
30.9643,1
31.0708,1
31.0248,1
30.8598,1
30.5946,1
30.3148,1
29.8863,1
29.6681,1
29.6525,1
29.8328,1
30.2825,1
30.6150,1
30.9005,1
31.1127,1
31.4358,1
31.5883,1
31.7163,1
31.8907,1
32.2017,1
32.4825,1
32.6772,1
32.7253,1
32.5518,1
32.4547,1
32.3730,1
32.3769,1
32.3381,1
32.3261,1
32.2852,1
32.2107,1
32.1150,1
32.0944,1
32.0505,1
31.9995,1
31.9649,1
31.9602,1
32.0201,1
32.1684,1
32.4187,1
32.5114,1
32.5837,1
32.5903,1
32.6777,1
32.8366,1
33.0084,0
32.6060,0
30.2892,0
28.7553,0
27.2237,0
25.7392,0
23.6717,0
22.4535,0
21.3478,0
20.2725,0
18.6883,0
17.6523,0
16.6447,0
15.6583,0
14.2178,0
13.2948,0
12.4260,0
11.5637,0
10.3151,0
9.5966,0
8.9043,0
8.1921,0
7.2077,0
6.5987,0
6.0128,0
5.4331,0
4.6147,0
4.1184,0
3.6220,0
3.1806,0
2.6204,0
2.2924,0
1.9850,0
1.6981,0
1.3174,0
1.0882,0
0.8570,0
0.6419,0
0.3860,0
0.2412,0
0.1174,0
0.0004,0
-0.1410,0
-0.2528,0
-0.3601,0
-0.4605,0
-0.5814,0
-0.6521,0
-0.7243,0
-0.7825,0
-0.8784,0
-0.9349,0
-0.9853,0
-1.0169,0
-1.0478,0
-1.0631,0
-1.0753,0
-1.0798,0
-1.0928,0
-1.0967,0
-1.0983,0
-1.0996,0
-1.0985,0
-1.1049,0
-1.1044,0
-1.1107,0
-1.1117,0
-1.1085,0
-1.1093,0
-1.1188,0
-1.1175,0
-1.1159,0
-1.1204,0
-1.1226,0
-1.1178,0
-1.1196,0
-1.1278,0
-1.1276,0
-1.1290,0
-1.1270,0
-1.1300,0
-1.1261,0
-1.1222,0
-1.1245,0
-1.1235,0
-1.1236,0
-1.1210,0
-1.1220,0
-1.1187,0
-1.1187,0
-1.1143,0
-1.1198,0
-1.1223,0
-1.1168,0
-1.1172,0
-1.1199,0
-1.1167,0
-1.1181,0
