Force (g),Input Signal
-0.0022,0
-0.0028,0
-0.0029,0
-0.0040,0
0.0007,0
-0.0030,0
-0.0025,0
0.0046,0
0.0024,0
0.0034,0
0.0037,0
0.0051,0
0.0055,0
0.0124,0
0.0108,0
0.0108,0
0.0116,0
0.0160,0
0.0199,0
0.0225,0
0.0179,0
0.0253,0
0.0240,0
0.0257,0
0.0301,0
0.0351,0
0.0350,0
0.0378,0
0.0376,0
0.0369,0
0.0404,0
0.0443,0
0.0484,0
0.0435,0
0.0473,0
0.0487,0
0.0501,0
0.0464,0
0.0481,0
0.0537,0
0.0582,0
0.0549,0
0.0581,0
0.0553,0
0.0535,0
0.0550,0
0.0587,0
0.0551,0
0.0634,0
0.0634,0
0.0633,0
0.0578,0
0.0549,0
0.0529,0
0.0553,0
0.0543,0
0.0609,0
0.0523,0
0.0590,0
0.0533,0
0.0520,0
0.0507,0
0.0484,0
0.0519,0
0.0525,0
0.0434,0
0.0452,0
0.0462,0
0.0447,0
0.0401,0
0.0425,0
0.0390,0
0.0404,0
0.0333,0
0.0340,0
0.0338,0
0.0363,0
0.0397,0
0.0343,0
0.0351,0
0.0342,0
0.0343,0
0.0350,0
0.0320,0
0.0339,0
0.0325,0
0.0328,0
0.0343,0
0.0297,0
0.0352,0
0.0360,0
0.0339,0
0.0346,0
0.0343,0
0.0311,0
0.0348,0
0.0282,0
0.0280,0
0.0236,0
0.0241,0
0.0308,0
0.0306,0
0.0307,0
-0.0554,0
-0.0572,0
-0.0575,0
-0.0426,0
-0.0394,0
-0.0371,0
-0.0279,0
-0.0336,0
-0.0203,0
0.1128,0
0.7568,0
0.0837,0
0.0743,0
0.0851,0
0.0618,0
0.2344,0
0.4166,1
0.7430,1
1.4455,1
2.2613,1
2.8201,1
3.3694,1
3.8176,1
4.9076,1
5.7027,1
6.5452,1
7.4831,1
8.9164,1
9.8266,1
10.6557,1
11.4492,1
12.6604,1
13.4636,1
14.2409,1
14.9337,1
15.7688,1
16.3021,1
16.8819,1
17.4234,1
18.2316,1
18.7192,1
19.1119,1
19.5213,1
20.2552,1
20.8419,1
21.3712,1
21.8640,1
22.6460,1
23.1523,1
23.6703,1
24.2289,1
25.0201,1
25.3879,1
25.6791,1
25.9426,1
26.3761,1
26.6896,1
26.9957,1
27.3025,1
27.7285,1
28.0075,1
28.3431,1
28.7733,1
29.4357,1
29.8012,1
30.0872,1
30.2846,1
30.4846,1
30.5525,1
30.6387,1
30.7136,1
30.9646,1
31.1707,1
31.3436,1
31.5534,1
31.8030,1
31.8935,1
31.9739,1
32.2157,1
32.6399,1
32.6359,1
32.5439,1
32.4339,1
32.2608,1
32.2742,1
32.4066,1
32.5156,1
32.6589,1
32.8178,1
32.9766,1
33.1697,1
33.3782,1
33.2952,1
33.0413,1
32.8581,1
32.6696,1
32.6071,1
32.5766,1
32.5679,1
32.7493,1
32.9499,1
33.2690,1
33.5835,1
33.6806,1
33.6769,1
33.7152,1
33.9081,1
34.3487,1
34.5994,1
34.8496,1
35.0697,1
35.2855,1
35.4223,1
35.5244,1
35.5628,1
35.4403,1
35.2019,1
35.0016,1
34.8782,1
34.8169,1
34.6948,1
34.5169,1
34.4108,1
34.3569,1
34.4251,1
34.4683,1
34.3742,1
34.1988,1
34.1507,1
34.2154,1
34.3288,1
34.7183,1
35.0552,1
35.3447,1
35.5940,1
35.9501,1
36.1757,1
36.3580,1
36.4907,1
36.7769,1
37.0437,1
37.2163,1
37.2644,1
37.2291,1
37.0803,1
36.8671,1
36.7661,1
36.6543,1
36.6046,1
36.5755,1
36.6113,1
36.5528,1
36.6045,1
36.7281,1
36.8568,1
36.9789,1
37.0693,1
37.1899,1
37.3669,1
37.5732,1
37.6541,1
37.7055,1
37.7052,1
37.8662,1
38.0872,1
38.3415,0
38.0298,0
35.9009,0
34.5118,0
33.1509,0
31.8329,0
30.0156,0
28.9047,0
27.8051,0
26.6816,0
24.9705,0
23.8537,0
22.7863,0
21.7531,0
20.2375,0
19.1873,0
18.2224,0
17.2671,0
15.7121,0
14.6918,0
13.6900,0
12.7156,0
11.2892,0
10.3656,0
9.4149,0
8.4619,0
6.9749,0
6.0961,0
5.3272,0
4.6400,0
3.6387,0
2.9855,0
2.4360,0
1.9798,0
1.3795,0
1.0437,0
0.7284,0
0.4563,0
0.2006,0
0.3075,0
0.1907,0
0.1160,0
-0.0463,0
-0.1306,0
-0.1966,0
-0.2533,0
-0.3584,0
-0.3990,0
-0.4363,0
-0.4780,0
-0.5119,0
-0.5364,0
-0.5496,0
-0.5529,0
-0.5536,0
-0.5584,0
-0.5591,0
-0.5625,0
-0.5662,0
-0.5680,0
-0.5675,0
-0.5685,0
-0.5758,0
-0.5777,0
-0.8005,0
-0.8755,0
-0.9435,0
-0.9337,0
-0.9280,0
-0.9259,0
-0.9249,0
-0.9203,0
-0.9206,0
-0.9208,0
-0.9184,0
-0.9175,0
-0.9187,0
-0.9158,0
-0.9155,0
-0.9113,0
-0.9137,0
-0.9157,0
-0.9115,0
