Force (g),Input Signal
0.0187,0
0.0156,0
0.0186,0
0.0190,0
0.0169,0
0.0166,0
0.0173,0
0.0151,0
0.0175,0
0.0193,0
0.0219,0
0.0218,0
0.0233,0
0.0257,0
0.0228,0
0.0243,0
0.0202,0
0.0260,0
0.0231,0
0.0188,0
0.0166,0
0.0122,0
0.0172,0
0.0130,0
0.0095,0
0.0151,0
0.0136,0
0.0116,0
0.0089,0
0.0090,0
0.0101,0
0.0098,0
0.0140,0
0.0160,0
0.0106,0
0.0089,0
0.0119,0
0.0196,0
0.0201,0
0.0175,0
0.0190,0
0.0190,0
-0.0047,0
0.0091,0
0.0058,0
-0.0211,0
-0.0366,0
-0.0284,0
-0.0239,0
-0.0245,0
-0.0204,0
-0.0225,0
-0.0173,0
-0.0201,0
-0.0182,0
-0.0210,0
-0.0169,0
-0.0154,0
-0.0158,0
-0.0191,0
-0.0181,0
-0.0163,0
-0.0117,0
-0.0157,0
-0.0112,0
-0.0147,0
-0.0105,0
-0.0147,0
-0.0125,0
-0.0150,0
-0.0077,0
-0.0126,0
-0.0087,0
-0.0099,0
-0.0128,0
-0.0091,0
-0.0152,0
-0.0147,0
-0.0149,0
-0.0107,0
-0.0096,0
-0.0096,0
-0.0128,0
-0.0093,0
-0.0094,0
-0.0157,0
-0.0151,0
-0.0157,0
-0.0097,0
-0.0122,0
-0.0090,0
-0.0114,0
-0.0069,0
-0.0114,0
-0.0061,0
-0.0055,0
-0.0110,0
-0.0108,0
-0.0077,0
-0.0041,0
-0.0114,0
-0.0042,0
-0.0051,0
0.0021,0
-0.0005,0
0.0000,0
-0.0019,0
-0.0021,0
0.0034,0
0.0015,0
0.0030,0
0.0041,0
0.0066,0
0.0049,0
0.0031,0
0.0078,0
0.0042,0
0.0025,0
0.0037,0
0.0045,1
0.2491,1
0.9148,1
1.3230,1
1.7244,1
2.1621,1
2.9022,1
3.4543,1
3.9925,1
4.3932,1
4.9288,1
5.2317,1
5.8038,1
6.4076,1
7.1839,1
7.4618,1
8.0204,1
8.7626,1
9.9610,1
10.6804,1
11.2320,1
11.8383,1
13.3440,1
13.9177,1
14.2089,1
14.4109,1
14.5946,1
15.1157,1
15.7120,1
16.5976,1
17.6514,1
18.1001,1
17.9854,1
17.6998,1
17.8382,1
18.3961,1
18.4632,1
18.1425,1
19.1571,1
19.8813,1
20.3429,1
20.5157,1
20.2078,1
20.0357,1
19.9434,1
19.8773,1
20.3328,1
20.1475,1
20.5409,1
20.8265,1
21.1726,1
21.9139,1
22.4137,1
22.2165,1
22.4666,1
22.3045,1
21.2871,1
20.5963,1
20.3976,1
20.9363,1
21.2970,1
21.6605,1
22.0951,1
22.3887,1
21.9641,1
21.1540,1
20.3931,1
19.5633,1
18.9848,1
19.0246,1
18.9773,1
18.7947,1
18.7223,1
18.4695,1
19.1844,1
19.8337,1
20.5667,1
20.9069,1
19.8912,1
19.6965,1
19.4010,1
19.0916,1
19.0019,1
18.9372,1
18.8872,1
19.0543,1
19.3498,1
19.2052,1
19.1426,1
19.2700,1
19.9576,1
20.7596,1
21.6843,1
21.9872,1
20.8559,1
20.5579,1
20.6637,1
20.5225,1
20.6455,1
21.0332,1
21.3631,1
21.9434,1
22.9590,1
23.7596,1
23.9840,1
23.3760,1
22.4673,1
22.1954,1
21.8688,1
21.7888,1
22.3947,1
22.5366,1
22.7145,1
22.9290,1
23.8078,1
24.2019,1
24.4423,1
24.8558,1
25.0189,1
25.2310,1
25.4241,1
24.8021,1
24.1437,1
23.8598,1
23.6775,1
22.9431,1
22.4171,1
21.9212,1
21.7410,1
21.4938,1
21.4537,1
21.8091,1
21.7525,1
21.9613,1
22.3544,1
21.8966,1
21.8544,1
21.7441,1
21.9257,1
21.8357,1
21.0462,1
20.7193,1
20.8436,1
20.8963,1
21.0999,1
20.7582,1
20.5726,1
20.8488,1
20.9495,1
20.6587,0
19.5115,0
15.7468,0
13.3883,0
11.5060,0
9.9191,0
7.8725,0
6.7924,0
5.6504,0
4.7227,0
3.7181,0
2.6646,0
1.7307,0
1.0890,0
0.5704,0
0.3516,0
0.1296,0
-0.0613,0
-0.2678,0
-0.3718,0
-0.4438,0
-0.5192,0
-0.6225,0
-0.6752,0
-0.7166,0
-0.7709,0
-0.8629,0
-0.8987,0
-0.9142,0
-0.9415,0
-0.9644,0
-0.9672,0
-0.9710,0
-0.9700,0
-0.9716,0
-0.9778,0
-0.9771,0
-0.9758,0
-0.9760,0
-0.9721,0
-0.9752,0
-0.9727,0
-0.9704,0
-0.9740,0
-0.9675,0
-0.9684,0
-0.9713,0
-0.9679,0
-0.9662,0
-0.9678,0
-0.9656,0
-0.9633,0
-0.9642,0
-0.9641,0
-0.9704,0
-0.9677,0
-0.9628,0
-0.9669,0
-0.9716,0
-0.9854,0
-0.9779,0
-0.9825,0
-0.9804,0
-0.9760,0
-0.9783,0
-0.9793,0
-0.9736,0
-0.9738,0
-0.9747,0
-0.9779,0
-0.9761,0
-0.9740,0
-0.9750,0
-0.9728,0
-0.9684,0
-0.9717,0
-0.9671,0
-0.9697,0
-0.9654,0
-0.9655,0
-0.9687,0
-0.9724,0
-0.9668,0
-0.9630,0
-0.9660,0
-0.9670,0
-0.9666,0
-0.9662,0
-0.9663,0
-0.9680,0
