Force (g),Input Signal
0.0232,0
0.0160,0
0.0175,0
0.0215,0
0.0238,0
0.0228,0
0.0249,0
0.0272,0
0.0276,0
0.0289,0
0.0325,0
0.0246,0
0.0281,0
0.0240,0
0.0224,0
0.0266,0
0.0275,0
0.0257,0
0.0251,0
0.0295,0
0.0266,0
0.0340,0
0.0330,0
0.0303,0
0.0294,0
0.0311,0
0.0343,0
0.0322,0
0.0333,0
0.0346,0
0.0325,0
0.0318,0
0.0357,0
0.0338,0
0.0360,0
0.0318,0
0.0336,0
0.0299,0
0.0316,0
0.0318,0
0.0303,0
0.0325,0
0.0346,0
0.0343,0
0.0322,0
0.0337,0
0.0338,0
0.0313,0
0.0318,0
0.0341,0
0.0330,0
0.0307,0
0.0295,0
0.0336,0
0.0347,0
0.0341,0
0.0359,0
0.0321,0
0.0356,0
0.0351,0
0.0382,0
0.0369,0
0.0351,0
0.0399,0
0.0392,0
0.0413,0
0.0370,0
0.0411,0
0.0358,0
0.0373,0
0.0389,0
0.0370,0
0.0349,0
0.0353,0
0.0401,0
0.0373,0
0.0381,0
0.0385,0
0.0374,0
0.0410,0
0.0378,0
0.0413,0
0.0375,0
0.0440,0
0.0428,0
0.0454,0
0.0436,0
0.0469,0
0.0521,0
0.0468,0
0.0497,0
0.0514,0
0.0542,0
0.0515,0
0.0554,0
0.0534,0
0.0529,0
0.0588,0
0.0544,0
0.0610,0
0.0628,0
0.0519,0
0.0593,0
0.0610,0
0.0604,0
0.0569,0
0.0612,0
0.0572,0
0.0619,0
0.0585,0
0.0574,0
0.0610,0
0.0582,0
0.0649,0
0.0599,0
0.0643,0
0.0622,0
0.0568,0
0.0593,0
0.0593,1
0.1608,1
0.4634,1
0.6419,1
0.8027,1
0.9365,1
1.0907,1
1.1809,1
1.2637,1
1.3243,1
1.4292,1
1.5062,1
1.5869,1
1.6336,1
1.6808,1
1.6883,1
1.6978,1
1.6942,1
1.7550,1
1.8212,1
1.8687,1
1.9204,1
1.9324,1
1.8996,1
1.9282,1
1.9832,1
2.0209,1
2.0185,1
2.0174,1
2.0210,1
2.0000,1
1.9937,1
1.9811,1
1.9923,1
1.9753,1
2.0261,1
2.0931,1
2.1399,1
2.1782,1
2.1991,1
2.1944,1
2.1822,1
2.1801,1
2.1917,1
2.2065,1
2.2324,1
2.2909,1
2.2900,1
2.2651,1
2.2487,1
2.2193,1
2.1993,1
2.1883,1
2.1821,1
2.1819,1
2.1807,1
2.2056,1
2.2454,1
2.2970,1
2.3312,1
2.3789,1
2.4251,1
2.4966,1
2.5140,1
2.5221,1
2.5159,1
2.4558,1
2.4452,1
2.4272,1
2.3937,1
2.3777,1
2.3812,1
2.4169,1
2.4208,1
2.4038,1
2.3920,1
2.3751,1
2.4254,1
2.4757,1
2.4949,1
2.5184,1
2.5056,1
2.4636,1
2.4559,1
2.4313,1
2.3853,1
2.3628,1
2.3654,1
2.3452,1
2.2777,1
2.1853,1
2.1543,1
2.1713,1
2.1943,1
2.2471,1
2.2813,1
2.3160,1
2.3602,1
2.3815,1
2.3567,1
2.3417,1
2.3778,1
2.4042,1
2.4587,1
2.5231,1
2.5908,1
2.5931,1
2.6010,1
2.5868,1
2.5622,1
2.5227,1
2.5015,1
2.4932,1
2.4751,1
2.4175,1
2.3934,1
2.3575,1
2.3111,1
2.3135,1
2.3443,1
2.3825,1
2.4200,1
2.4336,1
2.3743,1
2.3627,1
2.3637,1
2.3760,1
2.3980,1
2.4325,1
2.4296,1
2.3997,1
2.3741,1
2.3613,1
2.3343,1
2.2714,1
2.2124,1
2.1960,1
2.2011,1
2.0566,1
1.9920,1
1.9531,1
1.9201,1
1.8913,1
1.8908,1
1.9593,1
2.0210,1
2.0224,1
1.9926,1
1.9649,1
1.9672,0
1.7831,0
1.5375,0
1.3379,0
