Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,1
-0.0089,1
-0.0089,1
-0.0089,1
0.0000,1
0.0000,1
0.0089,1
0.0089,1
0.0178,1
0.0267,1
0.0445,1
0.0623,1
0.0890,1
0.0979,1
0.1068,1
0.4893,1
0.7029,1
0.8808,1
0.9342,1
0.9520,1
0.9698,1
0.9698,1
0.9787,1
0.9876,1
0.9876,1
0.9965,1
0.9965,1
0.9965,1
0.9965,1
1.0054,1
1.0054,1
1.0054,1
1.0054,1
1.0054,1
1.0143,1
1.5125,1
2.8916,1
3.2474,1
3.3008,1
3.3186,1
3.3275,1
3.3542,1
3.3631,1
3.3631,1
3.3898,1
3.3898,1
3.3898,1
3.3898,1
3.3898,1
3.3898,1
3.3898,1
3.3898,1
3.3898,1
3.7635,1
4.5286,1
4.9290,1
5.0091,1
5.0269,1
5.0358,1
5.0802,1
5.0802,1
5.1069,1
5.7297,1
5.7386,1
5.7475,1
5.7564,1
5.7653,1
5.7742,1
5.7831,1
5.7831,1
5.7831,1
5.7831,1
5.7920,1
5.7920,1
5.8187,1
5.8543,1
5.8543,1
5.8632,1
6.4415,1
6.5216,1
6.5394,1
6.5572,1
6.6194,1
6.9486,1
7.1444,1
7.1622,1
7.1800,1
7.1888,1
7.1888,1
7.2422,1
7.4202,1
7.6426,1
7.6515,1
7.6515,1
7.6515,1
7.6515,1
7.6515,1
7.6515,1
7.6515,1
7.6515,1
7.8561,1
7.9540,1
8.4344,1
8.5412,1
8.5412,1
8.5412,1
8.5412,1
8.5412,1
8.5946,1
8.6480,1
8.7280,1
8.9683,1
8.9683,1
8.9683,1
8.9683,1
8.9683,1
8.9683,1
8.9683,1
8.9683,1
9.0128,1
9.3508,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,1
9.4220,0
9.4220,0
9.4220,0
9.4220,0
9.4220,0
9.4220,0
9.4131,0
9.4131,0
9.4042,0
9.4042,0
9.3953,0
9.3864,0
9.3864,0
9.3775,0
9.3686,0
9.3597,0
9.3597,0
9.3508,0
9.3419,0
9.3597,0
9.3508,0
9.3508,0
9.3419,0
9.3241,0
9.3508,0
9.3508,0
9.3419,0
9.3419,0
9.2886,0
8.5857,0
5.4628,0
4.7155,0
4.6532,0
4.6354,0
4.1282,0
3.1407,0
3.1318,0
3.1051,0
3.0873,0
1.7883,0
1.7883,0
1.7883,0
1.7883,0
1.7883,0
1.7794,0
1.7794,0
1.1210,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6673,0
0.6406,0
0.3292,0
0.3292,0
0.3292,0
0.3292,0
0.3203,0
0.3203,0
0.3203,0
0.3203,0
0.3114,0
0.3114,0
0.3114,0
0.3025,0
0.3025,0
0.2936,0
0.2936,0
0.2936,0
0.2847,0
0.2847,0
0.2847,0
0.2847,0
0.2847,0
0.2847,0
0.2758,0
0.2758,0
0.2758,0
0.2758,0
0.2758,0
0.2758,0
0.2758,0
0.2758,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2669,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
0.2580,0
