Linear displacement (mm),Input Signal
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0267,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,1
-0.0356,1
-0.0178,1
0.0089,1
0.0356,1
0.0445,1
0.0534,1
0.0623,1
0.0712,1
0.0801,1
0.0979,1
0.1157,1
0.1335,1
0.1424,1
0.1513,1
0.1513,1
0.1601,1
0.1601,1
0.1601,1
0.1779,1
0.9698,1
9.8046,1
9.8046,1
9.8669,1
10.7210,1
11.1569,1
11.8331,1
12.4559,1
12.9631,1
13.4880,1
