Linear displacement (mm),Input Signal
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,1
0.0089,1
0.0178,1
0.0445,1
0.0712,1
0.0890,1
0.0979,1
0.0979,1
0.1068,1
0.1335,1
0.4004,1
0.6317,1
0.9253,1
1.2990,1
1.6460,1
1.9307,1
2.3310,1
2.7314,1
3.0784,1
3.2118,1
3.2385,1
3.2830,1
3.2919,1
3.3008,1
3.3008,1
3.3097,1
3.3097,1
3.3097,1
3.3097,1
3.7813,1
4.2973,1
4.4663,1
4.5108,1
4.5375,1
4.5642,1
5.2671,1
5.2760,1
5.2938,1
5.3027,1
5.3294,1
5.3472,1
5.3560,1
5.3560,1
5.3560,1
5.3649,1
5.4094,1
6.6105,1
7.2956,1
7.2956,1
7.2956,1
7.2956,1
7.2956,1
7.2956,1
7.2956,1
7.2956,1
7.3490,1
7.9184,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.1497,1
8.2743,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6569,1
8.6658,1
8.8971,1
9.1017,1
9.1017,1
9.1017,1
9.1017,1
9.8491,1
9.8847,1
10.2672,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.4185,1
10.3651,1
10.7477,1
11.3794,1
11.3794,1
11.3794,1
11.3794,1
11.3794,1
11.3705,1
11.3794,1
11.6463,1
12.1890,1
12.2068,1
12.5449,1
12.5271,1
12.5271,1
12.5271,1
12.5271,1
12.5271,1
12.5271,1
12.5271,1
12.5271,1
12.5182,1
12.5182,1
12.5182,1
12.5182,1
12.4915,1
12.4648,1
12.4737,1
12.4915,1
13.0520,0
13.0342,0
13.0164,0
13.0075,0
12.9986,0
9.9825,0
7.6070,0
6.8241,0
6.2013,0
5.5874,0
5.5518,0
5.5340,0
5.4005,0
3.6567,0
3.4966,0
2.9538,0
2.6513,0
2.5090,0
2.0730,0
1.8417,0
1.6104,0
1.4235,0
1.3168,0
0.4360,0
0.4360,0
0.4271,0
0.4004,0
0.3737,0
-0.7385,0
-1.1655,0
-1.1655,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1744,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1833,0
-1.1922,0
-1.1922,0
-1.2011,0
-1.2011,0
-1.2011,0
-1.2100,0
-1.2100,0
-1.2100,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2278,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
-1.2367,0
