Linear displacement (mm),Input Signal
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0089,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,0
-0.0178,1
-0.0089,1
0.0000,1
0.0445,1
0.6940,1
0.8541,1
1.0232,1
2.0552,1
2.0997,1
2.1264,1
2.1620,1
2.6068,1
4.0838,1
4.6532,1
4.7155,1
4.7244,1
5.3027,1
6.5216,1
6.8419,1
7.2066,1
7.5892,1
7.6070,1
7.6693,1
8.1141,1
8.6302,1
8.8615,1
9.3153,1
9.5021,1
9.5822,1
9.6089,1
9.7156,1
10.4452,1
10.4897,1
10.6142,1
11.4506,1
11.6552,1
11.7975,1
12.0822,1
12.5983,1
12.6428,1
12.6606,1
13.1232,1
13.1855,1
13.2300,1
14.0040,1
14.0663,1
14.0841,1
14.1019,1
14.6446,1
15.0539,1
15.0806,1
15.3297,1
15.8635,1
16.0326,1
16.0592,1
16.0770,1
16.1660,1
16.4863,1
17.0379,1
17.1180,1
17.1358,1
17.5984,1
17.5984,1
17.5984,1
17.6340,1
17.9365,1
17.9632,1
18.0166,1
18.5682,1
18.9419,1
18.9419,1
18.9419,1
19.1643,1
19.4046,1
19.5024,1
20.4633,1
20.5256,1
20.5256,1
20.5256,1
20.4722,1
20.4455,1
20.4455,1
20.4455,1
20.6146,1
21.1395,1
21.4153,1
21.4153,1
21.4153,1
21.4331,1
22.3317,1
22.6342,1
22.6164,1
22.6164,1
22.5986,1
20.8370,1
20.8993,1
20.8904,1
20.8904,1
21.3441,1
21.3708,1
21.3352,1
21.3352,1
21.3975,1
21.4064,1
21.4153,1
21.4153,1
21.4598,1
21.4954,1
21.4954,1
21.6021,1
21.7712,1
21.7712,1
21.8157,1
22.0470,1
22.0470,1
22.0470,1
22.0470,1
22.0025,1
22.3139,1
22.7410,1
23.3815,1
23.6929,1
24.8585,1
25.0631,1
25.0631,1
25.0631,1
25.0631,1
25.6236,1
26.6913,1
29.6451,1
29.5545,1
28.7911,1
28.3926,1
28.3785,1
28.2130,1
27.2340,1
27.2251,1
27.2251,1
27.2073,1
27.1895,1
27.1895,1
27.1895,1
27.1806,1
27.1806,1
27.1717,1
27.1717,1
27.1628,1
27.1628,1
27.1628,1
27.1628,0
25.2321,0
23.4438,0
22.2783,0
21.1128,0
20.3121,0
19.1376,0
18.1145,0
16.8244,0
15.9525,0
15.0628,0
14.3510,0
13.5236,0
12.8118,0
12.1890,0
11.1747,0
10.3117,0
9.3597,0
8.6658,0
8.0964,0
7.3223,0
6.8152,0
6.3614,0
6.0233,0
5.6497,0
5.3560,0
5.2760,0
5.2493,0
4.2350,0
4.1194,0
4.1105,0
4.0482,0
4.0215,0
4.0126,0
4.0126,0
4.0037,0
3.5499,0
2.8827,0
2.7848,0
2.7492,0
2.7314,0
2.7225,0
2.7136,0
2.6869,0
0.6406,0
0.6406,0
0.6406,0
0.6406,0
0.6317,0
0.6317,0
0.6317,0
0.6317,0
0.6317,0
0.6317,0
0.6317,0
0.6228,0
0.6228,0
0.6228,0
0.6228,0
0.6228,0
0.6139,0
0.6139,0
0.6050,0
-0.4715,0
-0.6406,0
-1.1032,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
-1.6104,0
