Linear displacement (mm),Input Signal
-0.0267,0
-0.0267,0
-0.0267,0
-0.0712,0
-0.0534,0
-0.0534,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0534,0
-0.0178,0
-0.0356,0
-0.0356,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,0
-0.0178,0
-0.0178,0
0.0979,0
0.0534,0
0.1957,0
0.1513,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1424,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,0
0.1335,1
0.1424,1
0.1601,1
0.1779,1
0.2936,1
0.8897,1
1.7082,1
2.4556,1
3.1763,1
3.9503,1
4.6087,1
5.3827,1
6.1390,1
7.0020,1
7.9629,1
8.6836,1
9.3153,1
9.4131,1
9.4487,1
9.4843,1
9.4932,1
9.5021,1
9.5110,1
9.5199,1
9.5377,1
9.5466,1
9.5644,1
9.5733,1
9.5733,1
9.5822,1
9.5822,1
9.5911,1
9.5911,1
9.5911,1
9.5911,1
9.6000,1
9.6000,1
9.6711,1
14.8759,1
16.7532,1
16.7977,1
16.9401,1
17.7764,1
18.2123,1
18.5415,1
18.9419,1
19.4579,1
20.0540,1
20.4900,1
20.7391,1
21.1306,1
21.6288,1
21.9135,1
21.9758,1
21.9936,1
22.0025,1
22.0114,1
22.0203,1
22.0292,1
22.0381,1
22.0470,1
22.0470,1
22.0559,1
22.0559,1
22.0559,1
22.0648,1
22.0826,1
22.0826,1
22.0915,1
22.1093,1
25.0186,1
26.9849,1
27.6611,1
28.1059,1
28.3194,1
28.7643,1
29.2180,1
29.8319,1
30.3124,1
30.5882,1
30.6149,1
30.6238,1
30.6327,1
30.6327,1
30.6327,1
30.6327,1
30.6416,1
30.6416,1
30.6327,1
30.6594,1
30.6594,1
30.6594,1
30.6416,1
30.7661,1
32.4922,1
32.8392,1
33.1683,1
33.4797,1
33.5865,1
33.6043,1
33.6221,1
33.6310,1
33.6310,1
33.6310,1
33.6310,1
33.6310,1
33.6310,1
33.6310,1
33.6310,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6399,1
33.6755,1
34.2449,1
35.1079,1
35.1257,1
35.1346,1
35.1613,1
35.1880,1
35.2058,1
35.2147,1
35.2236,1
35.2236,1
35.2236,1
35.2236,1
35.2325,1
35.2325,1
35.2325,1
35.2414,1
35.2414,1
35.2503,1
35.2503,1
35.2592,1
35.2592,1
35.2592,1
35.2592,1
35.2592,1
35.2592,1
35.2592,0
35.2770,0
35.3036,0
35.2681,0
35.3036,0
35.3036,0
35.3481,0
35.3570,0
35.3659,0
35.7396,0
35.7040,0
29.2892,0
27.7411,0
26.5667,0
24.8318,0
23.4527,0
22.2694,0
21.1484,0
20.0985,0
19.1287,0
18.3191,0
17.4917,0
16.9223,0
16.2817,0
15.7478,0
15.2763,0
14.8403,0
14.3243,0
13.8083,0
13.3723,0
12.9809,0
12.5894,0
12.1356,0
11.7442,0
11.4239,0
11.0858,0
10.7032,0
10.3206,0
9.8847,0
9.5288,0
9.3064,0
9.0839,0
8.6747,0
8.5679,0
8.5412,0
8.5234,0
8.5145,0
8.4433,0
7.8116,0
7.4202,0
7.2066,0
7.1266,0
7.1088,0
7.0910,0
7.0910,0
7.0821,0
7.0732,0
7.0732,0
7.0732,0
7.0287,0
7.0287,0
7.0287,0
7.0287,0
7.0287,0
6.9931,0
6.9931,0
6.9753,0
6.2191,0
5.4717,0
5.1603,0
5.0713,0
5.0446,0
5.0358,0
4.9824,0
4.7333,0
4.4752,0
4.4130,0
4.3952,0
4.3863,0
4.3863,0
4.3863,0
3.9592,0
3.8702,0
3.8435,0
3.8257,0
3.8169,0
3.8169,0
3.1318,0
3.1051,0
3.0873,0
3.0695,0
