Force (g),Input Signal
-0.0024,0
-0.0057,0
-0.0046,0
0.0010,0
0.0024,0
0.0039,0
0.0040,0
-0.0007,0
-0.0019,0
0.0049,0
0.0049,0
0.0054,0
0.0069,0
0.0029,0
0.0072,0
0.0053,0
0.0057,0
0.0032,0
0.0048,0
0.0028,0
0.0010,0
0.0028,0
0.0001,0
0.0022,0
0.0004,0
0.0031,0
0.0023,0
0.0037,0
0.0031,0
0.0026,0
0.0037,0
0.0069,0
-0.0040,0
0.0055,0
0.0040,0
0.0041,0
0.0074,0
0.0018,0
0.0016,0
0.0065,0
0.0050,0
-0.0028,0
0.0046,0
0.0053,0
0.0055,0
0.0053,0
0.0028,0
0.0060,0
0.0066,0
0.0077,0
0.0070,0
0.0045,0
0.0044,0
-0.0001,0
0.0070,0
0.0028,0
0.0003,0
0.0051,0
0.0022,0
-0.0031,0
0.0052,0
-0.0025,0
0.0075,0
0.0012,0
-0.0001,0
0.0016,0
-0.0006,0
-0.0012,0
0.0007,0
-0.0007,0
-0.0009,0
-0.0054,0
0.0024,0
0.0000,0
-0.0060,0
0.0002,0
0.0007,0
0.0053,0
-0.0040,0
-0.0025,0
-0.0030,0
-0.0014,0
-0.0033,0
-0.0028,0
-0.0040,0
-0.0110,0
-0.0141,0
-0.0142,0
-0.0094,0
-0.0125,0
-0.0126,0
-0.0084,0
-0.0113,0
-0.0181,0
-0.0138,0
-0.0121,0
-0.0201,0
-0.0167,0
-0.0122,0
-0.0198,0
-0.0199,0
-0.0231,0
-0.0245,0
-0.0213,0
-0.0216,0
-0.0245,0
-0.0274,0
-0.0249,0
-0.0253,0
-0.0284,0
-0.0224,0
-0.0299,0
-0.0304,0
-0.0241,0
-0.0280,0
-0.0204,0
-0.0151,0
-0.0185,0
-0.0148,0
-0.0071,1
0.3857,1
0.9829,1
1.7837,1
2.1325,1
2.6380,1
3.1768,1
4.2495,1
5.1326,1
6.0566,1
7.0087,1
8.4661,1
9.4138,1
10.2933,1
11.1653,1
12.4952,1
13.3968,1
14.2863,1
15.1833,1
16.4708,1
17.3307,1
18.2134,1
19.0108,1
20.0610,1
20.7043,1
21.3772,1
21.9962,1
22.9358,1
23.5950,1
24.2086,1
24.7283,1
25.4122,1
25.9031,1
26.5038,1
27.0813,1
27.6723,1
28.0284,1
28.3684,1
28.7704,1
29.4087,1
29.8492,1
30.3178,1
30.8001,1
31.4725,1
31.8624,1
32.2182,1
32.5128,1
32.9084,1
33.1757,1
33.4704,1
33.8083,1
34.2819,1
34.5703,1
34.8843,1
35.1381,1
35.2180,1
35.2429,1
35.2325,1
35.2205,1
35.3859,1
35.5746,1
35.8762,1
36.2119,1
36.5523,1
36.7799,1
36.9462,1
37.0760,1
37.1853,1
37.2310,1
37.2869,1
37.3297,1
37.4010,1
37.5045,1
37.5540,1
37.5794,1
37.7005,1
37.8748,1
37.9299,1
37.9651,1
37.9721,1
37.9367,1
37.9612,1
38.0803,1
38.3590,1
38.6295,1
38.9387,1
39.2416,1
39.7966,1
40.1684,1
40.5416,1
40.8616,1
41.1245,1
41.4360,1
41.1801,1
40.9799,1
41.2034,1
41.6369,1
41.8939,1
42.0337,1
42.1062,1
42.0707,1
41.8446,1
41.6309,1
41.6404,1
41.6897,1
41.6772,1
41.6022,1
41.3677,1
40.8745,1
40.5091,1
40.1841,1
39.8756,1
39.5387,1
39.4828,1
39.3470,1
39.1934,1
39.0771,1
38.8781,1
38.4055,1
38.0742,1
38.0384,1
37.8878,1
37.7081,1
37.7169,1
37.9119,1
38.2750,1
38.7738,1
39.1765,1
39.4872,1
39.7155,1
39.8668,1
39.8402,1
39.7179,1
39.6844,1
39.6352,1
39.5706,1
39.3286,1
39.0919,1
38.8372,1
38.6463,1
38.3114,1
37.9826,1
37.8866,1
37.9613,1
38.1907,1
38.3760,1
38.5066,1
38.3635,1
38.1310,1
38.1469,0
37.3341,0
35.2859,0
32.3734,0
30.7827,0
29.3148,0
27.9191,0
25.9590,0
24.7346,0
23.5759,0
22.5163,0
20.9484,0
19.9668,0
19.0039,0
18.0310,0
16.6704,0
15.7031,0
14.5694,0
13.4038,0
11.6372,0
10.4796,0
9.4054,0
8.4469,0
7.1275,0
6.3025,0
5.5596,0
4.8687,0
3.9587,0
3.4473,0
2.9743,0
2.4875,0
1.9175,0
1.5966,0
1.3157,0
1.0469,0
0.7020,0
0.5250,0
0.3684,0
0.2197,0
0.0358,0
-0.0582,0
-0.1517,0
-0.2616,0
-0.4057,0
-0.4869,0
-0.5657,0
-0.6320,0
-0.6999,0
-0.7219,0
-0.7395,0
-0.7451,0
-0.7606,0
-0.7678,0
-0.7703,0
-0.7690,0
-0.7707,0
-0.7731,0
-0.7796,0
-0.7804,0
-0.7840,0
-0.7838,0
-0.7785,0
-0.7827,0
-0.7820,0
-0.7794,0
-0.7804,0
-0.7813,0
-0.7795,0
-0.7793,0
-0.7797,0
-0.7804,0
-0.7830,0
-0.7766,0
-0.7769,0
-0.7756,0
-0.7693,0
-0.7725,0
-0.7699,0
-0.7739,0
-0.7754,0
-0.7708,0
-0.7707,0
