Force (g),Input Signal
0.0275,0
0.0200,0
0.0251,0
0.0271,0
0.0219,0
0.0222,0
0.0210,0
0.0199,0
0.0216,0
0.0210,0
0.0238,0
0.0198,0
0.0257,0
0.0279,0
0.0239,0
0.0314,0
0.0366,0
0.0357,0
0.0381,0
0.0390,0
0.0413,0
0.0368,0
0.0372,0
0.0382,0
0.0390,0
0.0414,0
0.0395,0
0.0393,0
0.0372,0
0.0464,0
0.0426,0
0.0396,0
0.0392,0
0.0367,0
0.0406,0
0.0409,0
0.0390,0
0.0364,0
0.0376,0
0.0393,0
0.0403,0
0.0400,0
0.0364,0
0.0375,0
0.0448,0
0.0391,0
0.0403,0
0.0439,0
0.0441,0
0.0490,0
0.0516,0
0.0556,0
0.0560,0
0.0525,0
0.0531,0
0.0529,0
0.0546,0
0.0565,0
0.0547,0
0.0633,0
0.0565,0
0.0590,0
0.0587,0
0.0602,0
0.0598,0
0.0651,0
0.0627,0
0.0670,0
0.0684,0
0.0692,0
0.0681,0
0.0701,0
0.0701,0
0.0687,0
0.0706,0
0.0751,0
0.0701,0
0.0704,0
0.0771,0
0.0727,0
0.0746,0
0.0728,0
0.0734,0
0.0753,0
0.0724,0
0.0740,0
0.0746,0
0.0787,0
0.0811,0
0.0764,0
0.0743,0
0.0756,0
0.0764,0
0.0781,0
0.0786,0
0.0713,0
0.0797,0
0.0793,0
0.0828,0
0.0873,0
0.0847,0
0.0855,0
0.0850,0
0.0876,0
0.0910,0
0.0943,0
0.0913,0
0.0940,0
0.0873,0
0.0873,0
0.0875,0
0.0891,0
0.0928,0
0.0878,0
0.0883,0
0.0921,0
0.0898,0
0.0939,0
0.0922,0
0.0901,1
0.2593,1
0.6991,1
0.9828,1
1.2720,1
1.5845,1
2.1096,1
2.5334,1
3.0254,1
3.4813,1
4.0724,1
4.5106,1
4.9091,1
5.1831,1
5.4356,1
5.7454,1
5.9254,1
6.1396,1
6.4934,1
6.6381,1
6.7990,1
6.8954,1
7.1099,1
7.2198,1
7.6093,1
7.9110,1
8.2919,1
8.3752,1
8.6290,1
8.6144,1
8.1804,1
8.2459,1
8.3152,1
8.4281,1
8.4834,1
8.5696,1
8.5226,1
8.6166,1
8.8753,1
9.0125,1
9.0656,1
9.2422,1
9.6769,1
9.7278,1
9.8281,1
9.8335,1
9.9013,1
9.8698,1
10.0393,1
10.2500,1
10.3792,1
10.2909,1
10.3818,1
10.5249,1
10.8111,1
10.8820,1
11.0533,1
11.0929,1
10.8946,1
11.1132,1
11.3757,1
11.5914,1
11.4487,1
11.2052,1
11.1121,1
10.8600,1
10.7051,1
10.6524,1
10.6219,1
10.6569,1
10.7025,1
10.8048,1
11.0816,1
11.5499,1
12.1143,1
12.2000,1
11.8669,1
11.0284,1
10.5613,1
10.6437,1
10.6922,1
10.8097,1
11.2478,1
11.4295,1
11.6956,1
11.7463,1
11.4775,1
11.2049,1
11.3575,1
11.5824,1
11.6448,1
11.9341,1
12.3162,1
12.3873,1
12.5344,1
12.5242,1
12.5779,1
12.7135,1
12.9569,1
12.7357,1
12.6704,1
12.8335,1
13.2313,1
13.2774,1
13.6434,1
13.9331,1
14.0776,1
13.9368,1
13.5498,1
13.0300,1
12.4281,1
12.2470,1
12.1493,1
12.0490,1
12.0201,1
12.2804,1
12.5321,1
12.5759,1
12.8234,1
12.8318,1
12.6680,1
12.7022,1
12.9548,1
13.1407,1
13.4005,1
13.7649,1
14.1431,1
14.1271,1
13.8928,1
13.6499,1
13.5282,1
13.6599,1
14.0163,1
14.3946,1
14.2917,1
13.9831,1
13.5887,1
13.5169,1
13.7939,1
13.9089,1
13.9469,1
14.0941,1
13.4716,1
13.2037,1
12.5257,1
11.6995,1
11.1510,1
11.0162,1
11.0313,1
10.8222,0
9.8988,0
8.5514,0
7.1636,0
5.7146,0
4.5248,0
3.2784,0
2.6923,0
2.2054,0
1.8322,0
1.4303,0
1.2299,0
1.0610,0
0.9187,0
0.7309,0
0.6066,0
0.5050,0
0.3476,0
0.2723,0
0.2235,0
0.1906,0
0.1335,0
0.0938,0
0.0551,0
0.0331,0
-0.0048,0
-0.0424,0
-0.0699,0
-0.0938,0
-0.1164,0
-0.1425,0
-0.1508,0
-0.1609,0
-0.1643,0
-0.1806,0
-0.1833,0
-0.1907,0
-0.1913,0
-0.2048,0
-0.2066,0
-0.2121,0
-0.2134,0
-0.2211,0
-0.2260,0
-0.2307,0
-0.2359,0
-0.2375,0
-0.2435,0
-0.2433,0
-0.2433,0
-0.2522,0
-0.2546,0
-0.2577,0
-0.2591,0
-0.2648,0
-0.2653,0
-0.2610,0
-0.2643,0
-0.2660,0
-0.2698,0
-0.2711,0
-0.2671,0
-0.2698,0
-0.2713,0
-0.2733,0
-0.2648,0
-0.2640,0
-0.2687,0
-0.2703,0
-0.2659,0
-0.2693,0
-0.2725,0
-0.2695,0
-0.2690,0
-0.2681,0
-0.2685,0
-0.2603,0
-0.2653,0
-0.2610,0
-0.2588,0
-0.2539,0
-0.2585,0
-0.2616,0
-0.2563,0
-0.2569,0
-0.2556,0
-0.2531,0
-0.2561,0
-0.2459,0
-0.2454,0
-0.2446,0
-0.2400,0
-0.2387,0
-0.2381,0
-0.2360,0
-0.2384,0
