Force (g),Input Signal
0.0065,0
0.0047,0
0.0063,0
0.0104,0
0.0097,0
0.0099,0
0.0106,0
0.0153,0
0.0190,0
0.0229,0
0.0219,0
0.0216,0
0.0225,0
0.0249,0
0.0331,0
0.0296,0
0.0310,0
0.0272,0
0.0242,0
0.0260,0
0.0247,0
0.0244,0
0.0270,0
0.0248,0
0.0266,0
0.0240,0
0.0258,0
0.0193,0
0.0176,0
0.0225,0
0.0213,0
0.0194,0
0.0220,0
0.0214,0
0.0233,0
0.0246,0
0.0244,0
0.0177,0
0.0252,0
0.0219,0
0.0204,0
0.0190,0
0.0231,0
0.0222,0
0.0240,0
0.0187,0
0.0176,0
0.0228,0
0.0178,0
0.0228,0
0.0199,0
0.0246,0
0.0232,0
0.0225,0
0.0241,0
0.0216,0
0.0222,0
0.0207,0
0.0206,0
0.0228,0
0.0199,0
0.0228,0
0.0190,0
0.0219,0
0.0190,0
0.0187,0
0.0196,0
0.0241,0
0.0252,0
0.0275,0
0.0272,0
0.0266,0
0.0272,0
0.0248,0
0.0242,0
0.0266,0
0.0278,0
0.0249,0
0.0251,0
0.0230,0
0.0266,0
0.0257,0
0.0257,0
0.0255,0
0.0278,0
0.0260,0
0.0266,0
0.0231,0
0.0284,0
0.0272,0
0.0231,0
0.0243,0
0.0252,0
0.0264,0
0.0281,0
0.0251,0
0.0243,0
0.0254,0
0.0291,0
0.0225,0
0.0323,0
0.0297,0
0.0302,0
0.0281,0
0.0253,0
0.0237,0
0.0258,0
0.0269,0
0.0243,0
0.0260,0
0.0314,0
0.0281,0
0.0280,0
0.0299,0
0.0275,0
0.0317,0
0.0281,0
0.0266,0
0.0314,1
0.1909,1
2.0807,1
5.0534,1
6.8651,1
9.0601,1
10.5547,1
13.0928,1
14.6143,1
16.1321,1
17.4530,1
19.4010,1
20.7225,1
22.0745,1
23.3870,1
24.9653,1
26.1720,1
27.4539,1
28.4743,1
29.6450,1
30.4084,1
30.9919,1
31.6313,1
32.6627,1
33.5238,1
34.5714,1
35.5983,1
36.5523,1
37.0425,1
37.5123,1
38.0822,1
39.1125,1
39.6912,1
40.4230,1
40.8857,1
41.5454,1
42.0208,1
42.4963,1
42.9616,1
43.5916,1
44.1474,1
44.5617,1
45.0172,1
45.3025,1
45.4792,1
45.4207,1
45.5366,1
46.3952,1
46.7854,1
46.9979,1
47.1201,1
47.5084,1
47.8074,1
47.6793,1
47.3864,1
47.6113,1
48.0763,1
48.4534,1
48.5537,1
48.7276,1
48.8998,1
49.1484,1
49.2693,1
49.3573,1
49.5197,1
49.8204,1
50.2400,1
50.4247,1
50.4897,1
50.7031,1
51.4513,1
52.0344,1
52.5087,1
52.9807,1
53.4940,1
54.3530,1
54.8409,1
55.2895,1
55.6582,1
55.6472,1
55.5537,1
55.4249,1
55.3493,1
55.4439,1
55.3824,1
55.1601,1
54.8278,1
54.7917,1
54.8346,1
54.9364,1
55.0951,1
55.1354,1
55.0835,1
55.0931,1
54.9439,1
54.3622,1
54.2378,1
54.5966,1
55.1662,1
55.3031,1
55.1365,1
54.5233,1
54.0010,1
53.2060,1
52.5669,1
52.1391,1
52.0472,1
52.1704,1
52.6367,1
53.4372,1
54.3359,1
55.2908,1
55.7514,1
56.0881,1
56.4872,1
56.9595,1
57.4837,1
57.7736,1
57.8237,1
57.9869,1
57.8699,1
57.7658,1
57.8657,1
58.4600,1
58.9018,1
59.0808,1
59.7700,1
60.3807,1
60.5754,1
60.8105,1
60.6484,1
59.5931,1
59.5775,1
59.9969,1
59.7816,1
59.7246,1
59.6660,1
59.6698,1
59.4030,1
59.2845,1
59.4200,1
59.3645,1
59.4322,1
59.7740,1
60.0825,1
60.4790,1
60.9487,1
61.0376,1
61.2082,1
61.3909,1
61.6110,1
61.5375,1
61.2634,1
60.9751,1
60.8393,1
60.7246,1
60.8198,1
60.8377,1
60.1343,1
59.9223,1
60.0693,1
60.4295,1
60.9790,1
61.1974,1
61.1367,1
60.9843,1
60.7552,1
60.7588,1
60.8805,1
60.9426,1
60.7559,1
60.6975,1
60.6665,1
60.5091,1
60.6040,1
60.8298,1
61.0590,1
61.1593,1
61.3844,1
61.4539,1
61.6515,1
61.9121,1
62.2207,1
62.2298,1
62.2051,1
62.2016,1
62.2938,1
62.3824,1
61.8458,1
61.3094,1
60.6519,1
60.2857,1
60.2013,1
60.2251,1
60.2975,1
60.4994,1
60.8578,1
61.2566,1
61.5211,1
61.4566,1
61.4945,1
61.5293,1
61.3989,1
60.7847,1
60.1636,1
59.5304,1
59.0443,1
58.7125,1
58.5613,1
58.3890,1
58.1435,1
58.1643,1
57.9041,1
57.1986,1
56.6028,1
56.2896,1
55.9145,1
55.2605,1
54.9620,1
55.2059,1
55.3057,1
55.1405,1
54.7605,1
54.3327,1
54.2494,1
54.1690,1
54.6172,1
54.8964,1
55.1776,1
55.1744,1
54.0565,1
53.4675,1
53.1391,1
53.1373,1
53.2040,1
53.5766,1
53.9545,1
53.9202,1
53.7377,1
53.5390,1
53.7887,1
54.3342,1
54.3398,1
54.2172,1
54.0656,1
53.9884,1
53.8131,1
53.5294,1
53.1916,1
52.9365,1
52.9904,1
53.2790,1
53.5879,1
53.9593,1
54.3759,1
54.4836,1
54.7218,1
55.0466,1
55.3857,1
55.6148,1
55.6758,1
55.5403,1
55.5954,1
55.7073,1
55.7968,1
55.8881,1
55.7553,1
55.5999,1
55.4931,1
55.3327,1
55.4357,1
55.1478,1
54.8568,1
54.8407,1
55.1104,1
55.1713,1
55.2725,1
55.1715,1
54.8344,1
54.8404,1
55.0205,1
55.1166,1
54.9160,1
54.7928,1
54.4159,1
53.9696,1
53.4701,1
53.2246,1
53.0480,1
52.8933,1
52.6169,1
52.6492,1
52.8795,1
53.2492,1
53.5212,1
53.7490,1
54.0551,1
54.3124,1
53.9984,1
53.5876,1
53.4478,1
53.4472,1
53.9063,1
54.4528,1
54.9884,1
55.2082,1
54.5698,1
53.7548,1
52.9896,1
52.4466,1
52.1569,1
52.3549,1
52.4616,1
52.5963,1
52.5023,1
52.2141,1
52.0778,1
52.3093,1
52.5731,1
52.4403,1
51.6860,1
51.0966,1
50.4217,1
49.8918,1
49.2459,1
48.7033,1
48.5697,1
48.5556,1
48.4137,1
48.1307,1
47.8423,1
48.0996,1
48.4475,1
48.8473,1
49.2183,1
49.6005,1
49.5906,1
49.2545,1
49.0917,1
48.9878,1
48.9933,1
49.2246,1
50.0397,1
50.6451,1
51.1577,1
51.6087,1
52.1870,1
52.7049,1
53.2800,1
53.7495,1
53.6845,1
53.6159,1
53.6595,1
53.7507,1
53.9255,1
53.7337,1
53.4240,1
53.2009,1
52.7566,1
52.3801,1
52.2103,1
52.1628,1
51.9758,1
51.3424,1
50.4689,1
49.9119,1
49.4522,1
49.4815,1
49.1612,1
46.4522,1
42.2808,1
39.9690,1
37.7716,1
35.7180,1
32.7176,1
30.8420,1
28.9768,1
27.0846,1
23.7258,1
21.5304,1
19.7816,1
18.2793,1
16.0925,1
14.7617,1
13.2764,1
11.8298,1
9.5935,1
7.8802,1
6.3038,1
5.1101,1
3.3241,1
2.4613,1
1.6407,1
0.8233,1
-0.3266,1
-0.8758,1
-1.4016,1
-1.7080,1
-2.2212,1
-2.4092,1
-2.5482,1
-2.7067,1
-2.9555,1
-3.0693,1
-3.1765,1
-3.2029,1
-3.1907,1
-3.2887,1
-3.3726,1
-3.4433,1
-3.5225,1
-3.5666,1
-3.6011,1
-3.6129,1
-3.6501,1
-3.6498,1
-3.6490,1
-3.6868,1
-3.7411,1
-3.7698,1
-3.7954,1
-3.8262,1
-3.8703,1
-3.8939,1
-3.9199,1
-3.9383,1
-3.9575,1
-3.9729,1
-3.9028,1
-3.8063,1
-3.8445,1
-3.8578,1
