Force (g),Input Signal
0.0096,0
0.0093,0
0.0057,0
0.0064,0
0.0118,0
0.0060,0
0.0096,0
0.0119,0
0.0101,0
0.0093,0
0.0128,0
0.0122,0
0.0116,0
0.0210,0
0.0189,0
0.0216,0
0.0207,0
0.0208,0
0.0214,0
0.0193,0
0.0240,0
0.0269,0
0.0299,0
0.0267,0
0.0213,0
0.0256,0
0.0217,0
0.0207,0
0.0270,0
0.0196,0
0.0252,0
0.0278,0
0.0253,0
0.0282,0
0.0352,0
0.0287,0
0.0305,0
0.0314,0
0.0317,0
0.0303,0
0.0331,0
0.0337,0
0.0309,0
0.0395,0
0.0350,0
0.0402,0
0.0386,0
0.0324,0
0.0396,0
0.0435,0
0.0425,0
0.0404,0
0.0433,0
0.0447,0
0.0398,0
0.0459,0
0.0462,0
0.0495,0
0.0434,0
0.0506,0
0.0467,0
0.0457,0
0.0434,0
0.0442,0
0.0498,0
0.0496,0
0.0494,0
0.0538,0
0.0431,0
0.0472,0
0.0499,0
0.0502,0
0.0568,0
0.0569,0
0.0582,0
0.0573,0
0.0572,0
0.0593,0
0.0566,0
0.0563,0
0.0579,0
0.0540,0
0.0631,0
0.0629,0
0.0622,0
0.0670,0
0.0640,0
0.0634,0
0.0591,0
0.0719,0
0.0693,0
0.0763,0
0.0769,0
0.0788,0
0.0770,0
0.0805,0
0.0807,0
0.0849,0
0.0904,0
0.0856,0
0.0880,0
0.0885,0
0.0869,0
0.0873,0
0.0919,0
0.0900,0
0.0909,0
0.0922,0
0.0958,0
0.0946,0
0.0964,0
0.0925,0
0.0980,0
0.0901,0
0.0966,0
0.0931,0
0.0916,0
0.1017,0
0.1004,0
0.1024,1
0.2572,1
0.6645,1
0.9353,1
1.2240,1
1.5609,1
2.1172,1
2.5240,1
3.0283,1
3.5885,1
4.4631,1
4.9788,1
5.4954,1
6.0354,1
6.9745,1
7.4128,1
7.6877,1
7.9780,1
8.2972,1
8.5507,1
8.8159,1
9.1072,1
9.5220,1
9.9534,1
10.2843,1
10.4654,1
10.9785,1
11.2971,1
11.6172,1
12.0423,1
12.5912,1
12.7981,1
12.8646,1
12.9546,1
12.8460,1
12.6066,1
12.4998,1
12.3241,1
12.1350,1
11.9913,1
12.0737,1
12.3669,1
12.4799,1
12.7069,1
12.7333,1
12.7084,1
12.3719,1
12.1648,1
12.1007,1
12.2235,1
12.4572,1
12.6630,1
12.8428,1
12.9035,1
13.2862,1
13.7091,1
13.8994,1
13.8235,1
13.6890,1
13.7527,1
13.9640,1
14.2339,1
14.6159,1
14.9208,1
15.2067,1
15.3828,1
15.4966,1
15.7918,1
16.0578,1
16.2685,1
16.3833,1
15.7925,1
15.4051,1
14.9334,1
14.8394,1
15.0115,1
15.2080,1
15.4039,1
15.5034,1
15.2390,1
14.8525,1
14.4360,1
13.8918,1
13.6829,1
13.7075,1
13.9975,1
14.2754,1
14.3093,1
14.4387,1
14.7780,1
14.8099,1
14.4201,1
14.3970,1
14.7592,1
14.8638,1
14.5685,1
14.2129,1
13.6410,1
12.7819,1
12.5619,1
12.3157,1
12.4238,1
12.7523,1
12.6419,1
12.4504,1
12.2724,1
12.1138,1
12.0783,1
11.8480,1
11.5199,1
11.8418,1
12.1613,1
12.2857,1
12.5416,1
12.4443,1
12.2902,1
12.2027,1
12.3104,1
12.4810,1
12.8220,1
13.0651,1
13.4769,1
13.9543,1
14.1233,1
14.3096,1
14.5887,1
14.9963,1
14.9766,1
14.3186,1
13.9282,1
13.9769,1
14.1747,1
14.2675,1
14.1520,1
14.1256,1
14.2513,1
14.5283,1
14.9196,1
15.4389,1
15.7213,1
15.9160,1
16.1862,1
16.7121,1
16.8985,1
16.7625,1
16.6022,1
16.2721,1
16.1336,1
16.0414,1
15.9907,0
14.4881,0
12.2416,0
10.2846,0
8.6725,0
6.5995,0
5.5489,0
4.6566,0
3.9404,0
3.0326,0
2.5220,0
2.1023,0
1.7709,0
1.3667,0
1.1284,0
0.9378,0
0.7855,0
0.6022,0
0.4979,0
0.3966,0
0.3091,0
0.2043,0
0.1512,0
0.0978,0
0.0612,0
0.0037,0
-0.0255,0
-0.0453,0
-0.0710,0
-0.1072,0
-0.1327,0
-0.1431,0
-0.1513,0
-0.1645,0
-0.1783,0
-0.1794,0
-0.1872,0
-0.1948,0
-0.1992,0
-0.2036,0
-0.2060,0
-0.2163,0
-0.2224,0
-0.2262,0
-0.2201,0
-0.2244,0
-0.2219,0
-0.2247,0
-0.2253,0
-0.2309,0
-0.2346,0
-0.2290,0
-0.2273,0
-0.2310,0
-0.2326,0
-0.2351,0
-0.2359,0
-0.2388,0
-0.2410,0
-0.2416,0
-0.2431,0
-0.2373,0
-0.2393,0
-0.2367,0
-0.2337,0
-0.2378,0
-0.2333,0
-0.2384,0
-0.2349,0
-0.2339,0
-0.2369,0
-0.2289,0
-0.2293,0
-0.2261,0
-0.2245,0
-0.2257,0
-0.2275,0
-0.2213,0
-0.2192,0
-0.2213,0
-0.2179,0
-0.2130,0
-0.2060,0
-0.2075,0
-0.2081,0
-0.2032,0
-0.2091,0
-0.1999,0
-0.1999,0
-0.2003,0
-0.1973,0
-0.1907,0
-0.1910,0
-0.1875,0
-0.1888,0
-0.1910,0
-0.1872,0
-0.1785,0
-0.1827,0
-0.1791,0
-0.1869,0
-0.1740,0
-0.1699,0
-0.1719,0
